PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
6070995;"Jardines Gregorio Ordóñez";"Los jardines en memoria de Gregorio Ordóñez cuentan con dos amplias áreas de juegos infantiles, diseñadas para el disfrute de los más pequeños. En su centro, se encuentra un encantador estanque rodeado de diversas especies de palmeras, que aportan un toque exótico y natural al entorno.";"";"Zonas infantiles";"Metro: Núñez de Balboa (líneas 5 y 9) Bus: 1, 29, 52, 74  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación:  Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.    Superficie: 3.975 m&amp;sup2;.    Vegetación predominante:      Ejemplares arbóreos: ciruelo rojo (Prunus cerasifera), plátano de sombra (Platanus &amp;times; hispanica), liquidámbar (Liquidambar styraciflua) y cinamomo (Melia azedarach).    Arbustos: palmito (Chamaerops humilis) y palmito de la China (Trachycarpus fortunei).   Macizos arbustivos: rosas (Rosa spp.) y madroño (Arbutus unedo).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2fba3c8f758ff210VgnVCM2000000c205a0aRCRD";"PRINCIPE DE VERGARA";"CALLE";"V";"68";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442443";"4476090";"40.43346186779773";"-3.6785954778654113";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
6010361;"Jardines San Francisco el Grande";"Los jardines de San Francisco el Grande están situados en el lugar donde se encontraba el antiguo convento de San Francisco, cuyas ruinas fueron demolidas en 1961. El Parque de la Cornisa se sitúa a los pies de la Basílica de San Francisco el Grande, en lo que fue el patio del antiguo convento. En 2007, el Ayuntamiento de Madrid transformó los jardines de San Francisco en un jardín temático dedicado a las dalias, conocido como la antigua Dalieda de San Francisco. Posteriormente, en 2016, se modificó la composición de las plantaciones, optando por una colección de rosales debido a su notable capacidad de adaptación al clima madrileño y su abundante floración. En la actualidad, los Jardines de San Francisco el Grande albergan 21 variedades de rosales, que alcanzan su máximo esplendor durante los meses de mayo y junio. El parque cuenta con uno de los miradores más transitados para ver puestas de sol en la ciudad. Antecede al mirador el grupo escultórico San Isidro Labrador, esta fue una de las esculturas que realizó Santiago Costa en 1952 para homenajear al arquitecto Juan de Villanueva. El parque de la Cornisa se desarrolla en pendiente descendente desde la Gran Vía de San Francisco hasta la Ronda de Segovia, y accediéndose al mismo por la Calle del Rosario. Dispone de zonas deportivas e infantiles con estancias y pequeños caminos de terrizo. El arbolado está formado por magnolios, ciruelos rojos, acacias de Constantinopla, plátanos de sombra, arces negundos, arces del azúcar, moreras, almeces, madroños, palmeras de Fortune, arizónicas, álamos, además de distintos macizos de arbustos con abelias, rosales y juníperos entre otros. Existen también algunas zonas con césped. Destaca, paralela a la calle del Rosario una preciosa alineación de liquidambar con algún madroño intercalado. Se han realizado mejoras en 2016 y en 2022.";"";"";"Bus: 3, 60 y 148.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.  Superficie: 4.346 m&amp;sup2;.  Vegetación predominantes:    Árboles: liquidámbar (Liquidambar styraciflua), magnolio (Magnolia spp.), cerezo silvestre (Prunus avium), entre otros.  Macizos arbustivos: escalonias (Escallonia spp.), juníperos (Juniperus spp.), forsitias (Forsythia spp.) y cotoneaster horizontal (Cotoneaster horizontalis).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ffe7a3575e2ee210VgnVCM2000000c205a0aRCRD";"GRAN VIA DE SAN FRANCISCO";"AVENIDA";"V";"25";"";"";"";"";"MADRID";"MADRID";"28005";"1";"PALACIO";"1";"CENTRO";"439572";"4473192";"40.41002249621306";"-3.7144199127869557";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas"
5964519;"Jardines de Andrés Saborit";"Los Jardines de Andrés Saborit se encuentran en la calle Raimundo Fernández Villaverde, entre las calles Alenza y Alonso Cano. Esta amplia zona verde cuenta con áreas infantiles, equipamientos de entrenamiento para mayores y zonas estanciales. Está rodeada de césped, árboles que brindan sombra, y pequeños grupos de macizos arbustivos. Hasta abril de 2018, estos jardines eran conocidos como Jardines de Raimundo Fernández Villaverde. Con el cambio de denominación, se instaló una placa en homenaje a Andrés Saborit, concejal socialista en el Ayuntamiento de Madrid durante la II República. Saborit fue el artífice de importantes logros sociales, como la apertura de la Casa de Campo, la ampliación del Metro, la municipalización de servicios y la construcción de alrededor de 200 escuelas infantiles.";"";"Zonas infantiles Zonas adulto mayor Circuito Biosaludable";"Metro: Nuevos Ministerios (líneas 6, 8 y 10) Bus: 5, 68, 149, C1, C2 RENFE: Nuevos Ministerios  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.  Superficie: 8.491 m&amp;sup2;.  Vegetación predominante:   Ejemplares arbóreos: plátano de sombra (Platanus x hispanica), aligustre del Japón (Ligustrum japonicum), ciruelo rojo (Prunus cerasifera) y castaño de Indias (Aesculus hippocastanum).   Arbustos: evónimo (Euonymus spp.), pitosporo (Pittosporum spp.) y cotoneaster horizontal (Cotoneaster horizontalis).  Macizos arbustivos: junípero horizontal (Juniperus horizontalis), palmito (Chamaerops humilis) y rosa canina (Rosa canina).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1c51eadb333e210VgnVCM2000000c205a0aRCRD";"RAIMUNDO FERNANDEZ VILLAVERDE";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28003";"5";"RIOS ROSAS";"7";"CHAMBERI";"440726";"4477510";"40.44613326792272";"-3.6989699295578347";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
5896013;"Jardines de El Buen Retiro";"El Parque del Buen Retiro, conocido simplemente como El Retiro, es uno de los lugares más emblemáticos de Madrid y un oasis verde en el corazón de la ciudad. Con una extensión de 125 hectáreas, este parque histórico ha sido durante siglos un punto de encuentro para madrileños y visitantes. Creado en el siglo XVII como un espacio de recreo para la realeza española, El Retiro ofrece una impresionante mezcla de jardines paisajísticos, fuentes, estanques y monumentos históricos. Con sus amplias avenidas y rincones tranquilos, es un espacio perfecto tanto para actividades recreativas como para pasear y relajarse.   Historia del Parque:  El Parque del Buen Retiro fue construido en 1630 por orden del Conde-Duque de Olivares, como parte del Real Sitio del Buen Retiro, un palacio y jardines destinados al ocio de Felipe IV. Originalmente fue un jardín privado de la corte española, pero con el tiempo, y tras la destrucción del palacio en el siglo XIX, fue abierto al público y pasó a ser gestionado por el Ayuntamiento de Madrid.  Principales Atractivos   Estanque Grande: El Retiro alberga un estanque monumental donde se pueden alquilar barcas de remo. Alrededor del estanque se encuentra el majestuoso Monumento a Alfonso XII, con su imponente columnata y esculturas que ofrecen vistas espectaculares del parque.  Palacio de Cristal: Uno de los edificios más impresionantes del parque es este pabellón de hierro y vidrio, construido en 1887 para albergar una exposición de plantas exóticas. Actualmente, se utiliza como espacio de exhibiciones temporales de arte contemporáneo.  Paseo de las Estatuas: A lo largo de este paseo, conocido también como Paseo de la Argentina, se encuentran las estatuas de los reyes de España, que originalmente estaban destinadas a decorar el Palacio Real.  Jardines y Espacios Naturales  El parque cuenta con una gran variedad de jardines que enriquecen la experiencia de los visitantes:  La Rosaleda: Un hermoso jardín de rosas, inspirado en otros famosos rosedales europeos, como el de Bagatelle en París.  Jardines de Cecilio Rodríguez: Este espacio cerrado y más íntimo está decorado con fuentes, setos geométricos y pabellones, y alberga una colección de pavos reales.  Bosque del Recuerdo: Un espacio conmemorativo en honor a las víctimas de los atentados del 11 de marzo de 2004 en Madrid, donde se plantaron 192 árboles, uno por cada víctima.  Actividades y Eventos  El Retiro es un punto neurálgico para actividades culturales y recreativas. Cada año se celebran la Feria del Libro y otros eventos culturales al aire libre. Este parque cuenta también con amplias zonas para correr, andar en bicicleta y practicar yoga, es un lugar ideal para los entusiastas del deporte. Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.  Otras denominaciones: Parque del Retiro. El Retiro";"Horario del parque    Primavera y verano (de abril a septiembre): desde las 6 hasta las 24 h.  Otoño e invierno (de octubre a marzo): desde las 6 hasta las 22 h.    Horario de las áreas caninas    Desde las 7:00 h hasta el cierre del parque.  Para labores puntuales de mantenimiento o reparaciones, se cerrará parcialmente el área, permitiendo el paso por una de las dos puertas a la zona que quede libre de la actuación.Se instalarán carteles para informar de estos periodos de cierre parcial del espacio con 24 h de antelación a su comienzo.";"Zonas infantiles:  Zona del Pinar (Puerta del Ángel Caído) Campanillas Bajas (Puerta de España) Povar (Puerta de la Independencia) Hernani (Puerta de la Independencia) Plaza de Galicia (Puerta de Madrid) Plaza Sevilla (Puerta de América Española) Florida Park (Puerta de Reina Mercedes) Antigua Junta de Distrito (Puerta de Sainz  Baranda) Jardines de Herrero Palacios Campo Grande La Cabaña (Puerta de Mariano de Cavia) Paseo Coches, a la altura del Instituto Meteorológico  Zonas de mayores:  Paseo Coches, a la altura de Puerta de América Española Paseo Coches, a la altura del Instituto Meteorológico  Zonas caninas:  Entrada por Puerta de Mariano de Cavia  Instalaciones deportivas:  El Pinar (Puerta del Ángel Caído) Huerto Francés (Puerta del Ángel Caído)  Puntos de información ambiental:  Acceso por  C/ O&amp;acute;Donnell, 1. Acceso por la Puerta del Niño Jesús.  C/ Alfonso XII, junto a instalaciones deportivas.  Otros:  P: Viveros de Estufas - Plaza del Ángel Caído Q: Teatro de Títeres, entrada por Plaza de la Independencia R: Embarcadero, entrada por Plaza de la Independencia S: Casita de la Cabaña, entrada por Puerta de Mariano de Cavia";"Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1) Autobuses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad   Superficie: 1.177.300 m2     Zona verde del Retiro: 113, 76 hectáreas Viveros Estufas del Retiro: 3,23 hectáreas Talleres Estufas del Retiro: 0,74 hectáreas     Vegetación predominante   Ejemplares arbóreos: plátano de sombra (Platanus hispanica), pino piñonero (Pinus pinea)   Arbustos: madroño (Arbutus unedo), lauro (Prunus laurocerasus), durillo (Viburnum tinus)   Macizos arbustivos: rosal (Rosa spp.), abelia (Abelia x grandiflora), enebro (Juniperus communis)";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=499561945d9ec210VgnVCM2000000c205a0aRCRD";"INDEPENDENCIA";"PLAZA";"V";"7";"";"";"";"";"MADRID";"MADRID";"28001";"5";"LOS JERONIMOS";"3";"RETIRO";"441640";"4474563";"40.41964087412762";"-3.68793370943788";"915 744 024 (Taquillas embarcadero) 
915 280 938 (Vivero de Estufas. Visitas guiadas previa cita) 
913 769 197 (Centro de Educación Ambiental)";"";"";"/contenido/entidadesYorganismos/ParquesJardines/ParquesHistoricos"
10984428;"Jardines de Gloria Fuertes";"Este jardín rinde homenaje a la célebre poetisa y escritora de cuentos infantiles Gloria Fuertes, quien fue vecina de este barrio. El parque ofrece una combinación equilibrada de zonas verdes y espacios recreativos, con áreas de sol y sombra, delimitadas por franjas de césped cuidadosamente dispuestas. En ellas crecen majestuosos pinos, cedros y plátanos, que enmarcan una zona de juegos infantiles. Además, el parque cuenta con diversas instalaciones recreativas, como mesas de ping-pong y un ajedrez gigante, que invitan al disfrute en familia. Para quienes buscan relajarse, se han dispuesto varios bancos, proporcionando un ambiente ideal para descansar y desconectar en plena naturaleza.";"";"Zona infantil";"Metro: línea 9 (Colombia) Bus: 16,29,150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.  Superficie: 1.663 m&amp;sup2;.  Vegetación predominante:    Ejemplares arbóreos: falso plátano (Acer pseudoplatanus), ciprés común (Cupressus sempervirens), laurel (Laurus nobilis), pino piñonero (Pinus pinea) y tuya oriental (Platycladus orientalis).  Arbustos: especies diversas no especificadas.  Macizos arbustivos: presencia de especies en macizos.";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4749c2d91fcb610VgnVCM1000001d4a900aRCRD";"MADRE DE DIOS";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"442761";"4479202";"40.461517637696026";"-3.6751179007317614";"";"";"";""
5979527;"Jardines de José Luis Jiménez Manso";"Los Jardines de José Luis Jiménez Manso son un parque emblemático en el distrito de Moratalaz, reconocido por ser uno de los espacios verdes más antiguos de la zona. Se divide en tres secciones, cada una diseñada para ofrecer diferentes ambientes que invitan tanto al paseo como al descanso. Los amplios y tranquilos espacios están integrados en el entorno, lo que fomenta una destacada actividad vecinal. El parque cuenta con numerosos bancos distribuidos estratégicamente. La vegetación se compone de arbolado maduro, combinado con árboles de reciente plantación, abundando el pino piñonero, cerezo-ciruelo, chopo de simón y olmo siberiano, creando un atractivo mosaico de alturas y edades que enriquece el paisaje. Parterres de césped y sombras acogedoras completan este entorno, haciendo de los jardines un lugar ideal para relajarse.";"";"Zonas infantiles";"Metro: Estrella (línea 9) Bus: 20, 30, 32  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.  Superficie: Área de 10.775 m&amp;sup2;.  Vegetación predominante:    Ejemplares arbóreos: Pino piñonero (Pinus pinea), cerezo-ciruelo (Prunus avium / Prunus cerasifera), chopo de Simón (Populus simonii) y olmo de Siberia (Ulmus pumila).  Arbustos: Durillo (Viburnum tinus), bambú (Bambusoideae), espirea (Spiraea spp.).  Macizos arbustivos: Pitosporo (Pittosporum spp.), cotoneaster (Cotoneaster spp.) y cerezo-laurel (Prunus laurocerasus).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b4d31811a17e210VgnVCM1000000b205a0aRCRD";"CAMINO DE LOS VINATEROS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28030";"4";"MEDIA LEGUA";"14";"MORATALAZ";"443959";"4473579";"40.410944943237865";"-3.660501733743551";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
5965620;"Jardines de Perón";"Estos jardines están ubicados en la avenida General Perón, creando una zona de paso en dirección al Estadio Santiago Bernabéu, consisten en una superficie alargada que se extiende de oeste a este. Este parque ofrece múltiples accesos y caminos que lo recorren, así como una zona destinada a la práctica de deportes, áreas de juegos infantiles y un espacio específico para mascotas. Además, se dispone de bancos para el descanso. La vegetación arbórea está bien distribuida, complementada por diversas jardineras, lo que convierte este lugar en un agradable espacio para amenizar el paseo diario de los vecinos.";"";"Zonas infantiles  Zonas caninas Instalaciones deportivas";"Metro: Santiago Bernabéu (línea 10) Bus: 3, 5, 43, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua yZonas Verdes. Área de Gobierno de Medio Ambiente y Movilidad   Superficie. 18.605 m2    Vegetación predominante :  Ejemplares arbóreos: plátano de sombra (Platanus hispanica), álamo blanco (Populus alba), pino carrasco (Pinus halepensis), cedro llorón (Cedrus pendula). Arbustos: glicinia (Wisteria spp.), espino de fuego (Pyracantha coccinea), hiedra (Hedera helix). Macizos arbustivos: laurentino (Viburnum tinus), adelfa (Nerium oleander), pitosporo (Pittosporum tobira).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=73f370530083e210VgnVCM1000000b205a0aRCRD";"GENERAL PERON";"AVENIDA";"V";"21";"";"";"";"";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"441002";"4478224";"40.45257591499544";"-3.6957817548357257";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
6010175;"Jardines de Sabatini";"Los Jardines de Sabatini se ubican frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza elevada sobre el Campo del Moro. Este jardín, de estilo neoclásico, armoniza con la estética del palacio. Está dividido en tres terrazas. La primera, de nivel inferior, destaca por la simetría de sus parterres dispuestos a ambos lados de una gran lámina de agua, que actúa como espejo, con dos surtidores, y está enmarcada por cuatro cuadros con fuentes rodeadas de figuras de setos. La segunda terraza, situada a mayor altura, ofrece una impresionante vista de la totalidad de la fachada norte del Palacio y se extiende bajo un bosque de pinos hasta la Cuesta de San Vicente, donde una nueva escalera de doble entrada permite salvar el desnivel hasta la calle. Finalmente, la tercera terraza, ubicada en una posición superior y al este de la segunda, está adornada con parterres y grandes cedros. Este parque es una de las visitas recomendadas para cualquier turista en Madrid. Durante los años 2020-2021, los jardines de Sabatini se ven afectados por la profunda remodelación a la que se somete la Plaza de España, que supone algunos cambios importantes en su configuración. La terraza inferior, más próxima al Palacio Real, mantiene su trazado y estructura, mientras que las dos superiores, colindantes con la plaza de España, se ven afectadas por la peatonalización de un tramo de la calle Bailén, la construcción de nuevos túneles y la permeabilización de cara al peatón de toda la zona.  Tras las reformas de los Jardines de la Plaza de España, está peatonalmente conectado con esta emblemática plaza al norte, con el Palacio Real y la Plaza de Oriente al sur, así como con el Templo de Debod y el Parque del Oeste en esta misma dirección. En 2024 se encuentran aún en obras, cuyo objetivo es repavimentar viales, mejorar el drenaje, eliminar barreras arquitectónicas, reparar elementos dañados, incorporar arbolado y renovar el alumbrado.    Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.";"";"";"Metro: Opera   Bus: 2, 146   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"NORMAS DE USO Y RESTRICCIONES:  Respete los monumentos y estatuas del Jardín.Respete la vegetación.Respete la fauna.Utilice las papeleras.Respete las zonas de acceso restringido. El acceso de animales, incluso atados, a los jardines bajos no está autorizado. Atienda las indicaciones del personal del parque.";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20baf389ed2ee210VgnVCM1000000b205a0aRCRD";"BAILEN";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439498";"4474610";"40.419911287101144";"-3.713185308888602";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
5965246;"Jardines de San Fernando";"Los jardines, ubicados alrededor de la Parroquia de San Fernando, están delimitados por la avenida de Alberto Alcocer y las calles Doctor Fleming, Juan Hurtado de Mendoza y Juan Ramón Jiménez. Esta zona cuenta con amplias superficies de césped, macizos arbustivos, dos áreas infantiles y zonas de descanso equipadas con mesas y asientos para el uso y disfrute de los visitantes. Destacan los ejemplares de cipreses, que poseen un gran valor ornamental. El parque se encuentra presidido por un monumento dedicado a la Infancia.";"";"Zonas infantiles";"Metro: Cuzco (línea 10) Bús: 5, 11, 40, 140, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación:  Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.   Superficie: 1,20 hectáreas.  Vegetación predominante:    Ejemplares arbóreos: plátano de sombra (Platanus x hispanica), ciprés común (Cupressus sempervirens), ciprés de Arizona (Cupressus arizonica) y cedro del Atlas (Cedrus atlantica).  Arbustos: adelfa (Nerium oleander), forsitia (Forsythia spp.) y espirea del Japón (Spiraea japonica).  Macizos arbustivos: junípero (Juniperus spp.), griñolera (Cotoneaster spp.) y cotoneaster horizontal (Cotoneaster horizontalis).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e6e121dcd33e210VgnVCM1000000b205a0aRCRD";"ALBERTO ALCOCER";"AVENIDA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28036";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"441724";"4479019";"40.45978849094378";"-3.687352342212426";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
5965719;"Jardines de la Avenida de Brasil";"Se trata de una zona ajardinada situada entre edificios a lo largo de la Avenida de Brasil. Estos jardines están compuestos por amplias superficies de pradera y arbolado que proporciona sombra. Cuentan con áreas de descanso, zonas infantiles, espacios caninos y caminos peatonales adornados con pérgolas. En el interior de estos jardines se encuentran los Jardines de la Organización Mundial del Turismo, que incluyen una placa informativa y una fuente ornamental.";"";"Zonas infantiles Zonas caninas";"Bus: 5, 126, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"Conservación: Dirección General de Gestión del Agua y Zonas Verdes, Área de Gobierno de Medio Ambiente y Movilidad.   Superficie: 16.955 m&amp;sup2;  Vegetación predominante:      Ejemplares arbóreos: Ciruelo rojo (Prunus cerasifera), castaño de Indias (Aesculus hippocastanum), plátano de sombra (Platanus x hispanica) y ciprés de Arizona (Cupressus arizonica).   Arbustos: Hiedra (Hedera helix), laurel cerezo (Prunus laurocerasus) y madroño (Arbutus unedo).   Macizos arbustivos: Pitosporo (Pittosporum tobira), adelfa (Nerium oleander) y laurentino (Viburnum tinus).";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d398680e2383e210VgnVCM1000000b205a0aRCRD";"BRASIL";"AVENIDA";"V";"31";"";"";"";"";"MADRID";"MADRID";"28020";"3";"CASTILLEJOS";"6";"TETUAN";"441204";"4478902";"40.458706953002235";"-3.6934625569379387";"";"";"";"/contenido/entidadesYorganismos/ParquesJardines"
