PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
10974068;Sede QuedaT.com Chamartín;Programa de intervención socioeducativa a través del Ocio y Tiempo Libre para jóvenes de 14 a 20, donde encontrarás actividades: artísticas, culturales, deportivas, intersedes, excursiones y salidas al aire libre. Mira la programación mensual de cada sede y síguenos en: Instagram: @quedat_com  www.quedat.com.es;De martes a jueves de 17 a 20:30 horas  Viernes y sábados de 17 a 21 horas Agosto cerrao;;;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=151238ff14a6b610VgnVCM2000001f4a900aRCRD;DOÑA CARLOTA;PASAJE;V;13;;;;;MADRID;MADRID;28002;2;PROSPERIDAD;5;CHAMARTIN;443763;4477683;40.447.906.726.663.500;-36.631.712.286.014.200;678 061 329;;chamartin@quedat.com.es;
5893495;A (mas) ECU control urbanístico, S.L. Entidad Colaboradora;Entidad Colaboradora Urbanística (ECU), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables del Ayuntamiento de Madrid y en el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.;De lunes a jueves: de 9:00 a 14:00 y de 15:00 a 18:30 horas.  Viernes: de 9:00 a 15:00 horas.;;Consulta los siguientes enlaces:;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08f6447b7dfdc210VgnVCM1000000b205a0aRCRD;ARTURO SORIA;CALLE;V;50;Baja;;;;MADRID;MADRID;28027;4;LA CONCEPCION;15;CIUDAD LINEAL;445615;4477097;40.442.746.361.185.300;-3.641.280.382.191.850;918 534 381 / 616 805 792;;amasecu@a-mas-ecu.com;/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS
10613790;APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras;;;Residencia, centro de día y centro ocupacional para personas con discapacidad intelectual.;Bus: 712, 713, 714, 716;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11dc2ab96da61610VgnVCM1000001d4a900aRCRD;COLMENAR VIEJO;CARRETERA;V;13.6;;;;;MADRID;MADRID;28049;;;;DISTRITO;439552;4490491;4.056.299.317.375.060;-37.140.517.146.418.800;917 345 138;;;/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad
6996740;ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid);;De lunes a viernes, de 09:00 a 15:00 y de 16:00 a 18:00 h.;Servicio de Orientación e información. Oficina de accesibilidad. Formación y empleo. Rehabilitación domiciliaria. Atención personal. Vida autónoma. Oficina de vida independiente.;;"ASPAYM Madrid tiene como fines:  Facilitar, en lo posible, y a través de los medios adecuados, que los lesionados medulares adquieran los conocimientos y aptitudes necesarias para su plena integración social Prestar la ayuda y colaboración necesaria para la promoción cultural, gestión de empleo, organización de cursos e incorporación a los mismos de las personas con  lesiones medulares, así como su defensa jurídica y laboral. Promover la formación contínua y ocupacional de las personas con lesión medular y con gran discapacidad, con especial atención a las mujeres, a las personas mayores de 45 años de edad y a las personas jóvenes, buscando la integración laboral mediante una política de formación y selección para el empleo, ajustada a las necesidades del mercado laboral. Contribuir a la mentalización de la Sociedad, para que tome conciencia de la necesidad de la integración plena en su seno, de las personas con lesión medular y demás personas con discapacidad, llevando a cabo todas aquellas acciones y actividades destinadas a mejorar la calidad de vida de los mismos Elevar a las autoridades propuestas tendentes al logro del objetivo primordial de la Asociación, cual es la plena integración social de las personas con lesión medular para, a su vez, colaborar con los órganos legislativos estatales y auton&amp;acute;pmicos, en la elaboración de Leyes que afecten a este colectivo. Colaborar con otras Asociaciones de fines análogos en el logro de los mismos. Fomento de programas de apoyo orientados, específicamente, a las familias de las personas con lesiones medulares.";1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fedcaee55f14f310VgnVCM1000000b205a0aRCRD;VALDERRIBAS;CAMINO;V;115;;;;;MADRID;MADRID;28038;6;NUMANCIA;13;PUENTE DE VALLECAS;444316;4471748;40.394.474.188.113.900;-36.561.342.020.450.100;914 772 235;914 787 031;aspaym@aspaymmadrid.org;/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad
14244;Administración Fermín Caballero. AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro.  Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Herrera Oria (línea 9);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd6d3633dcd4f010VgnVCM1000000b205a0aRCRD;FERMIN CABALLERO;CALLE;V;66;;;;;MADRID;MADRID;28034;4;EL PILAR;8;FUENCARRAL-EL PARDO;439777;4481626;4.048.314.873.363.950;-3.710.549.528.504.340;917 307 555;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
14254;Administración Guzmán el Bueno. AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro. Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 912 901 340 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Guzmán El Bueno (línea 6);;1,4;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a38d3633dcd4f010VgnVCM1000000b205a0aRCRD;GUZMAN EL BUENO;CALLE;V;139;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439579;4477445;40.445.472.489.278.100;-37.124.852.981.854.600;915 826 178;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
14243;Administración María de Molina. AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro.  Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Núñez de Balboa (líneas 5 y 9);;1,4;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c7cd3633dcd4f010VgnVCM1000000b205a0aRCRD;NUÑEZ DE BALBOA;CALLE;V;116;;;;;MADRID;MADRID;28006;6;CASTELLANA;4;SALAMANCA;442184;4476504;4.043.718.023.263.370;-36.816.798.948.244.300;915 664 500;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
14241;Administración Montalbán. AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro.  Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Banco de España (línea 2);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b03d3633dcd4f010VgnVCM1000000b205a0aRCRD;MONTALBAN;CALLE;V;6;;;;;MADRID;MADRID;28014;5;LOS JERONIMOS;3;RETIRO;441404;4474370;4.041.790.255.579.090;-3.690.676.090.761.530;915 935 200;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
14248;Administración Sudeste (Sede Vinateros). AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro. Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Vinateros (línea 9);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=abdd3633dcd4f010VgnVCM1000000b205a0aRCRD;CAMINO DE LOS VINATEROS;CALLE;V;51;;;;;MADRID;MADRID;28030;4;MEDIA LEGUA;14;MORATALAZ;444520;4473567;4.041.087.815.519.660;-36.538.853.965.125.900;913 240 956;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
14240;Administración Suroeste. AEAT;Agencia Estatal de Administración Tributaria;La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro.  Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).;;Metro: Empalme (línea 5)  Cercanías Renfe: Maestra Justa Freire (C5);Sustituye a la antigua sede en la Calle Aguacate.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c3633dcd4f010VgnVCM1000000b205a0aRCRD;GUAREÑA;CALLE;V;20;;;;;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;435041;4470864;40.385.840.068.409.800;-37.653.206.381.333.800;915 111 220;;;/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal
