NOMBRE,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Biblioteca Pública Antonio Mingote (Latina),Biblioteca-Publica-Antonio-Mingote-(Latina),,sí,,Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (antigua estación de Fanjul) (línea C5),Renfe: Maestra Justa Freire  Polideportivo Aluche (antigua estación de Fanjul) (línea C5),C-5,Maestra Justa Freire - Polideportivo Aluche,,,,,,,Accesible,RAFAEL FINAT,51,MADRID,MADRID,28044,LAS AGUILAS,LATINA,40.37944179159947,-3.7694389972002424,915093625,bib.latina@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Elena Fortún (Retiro),Biblioteca-Publica-Elena-Fortun-(Retiro),,sí,,"Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)  Bus: 10, 14, 32, 56, 63, 143, 145, E.",,,,"Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)","Pacífico , Conde de Casal","1
6","Bus: 10, 14, 32, 56, 63, 143, 145, E","10
14
32
56
63
143
145",,Accesible,DOCTOR ESQUERDO,189,MADRID,MADRID,28007,ADELFAS,RETIRO,40.403577814444176,-3.6724086076957154,915019146,bib.retiro@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Hortaleza,Biblioteca-Publica-Hortaleza,,no especifica,,Metro: Parque de Santa María (línea 4),,,,Metro: Parque de Santa María (línea 4),Parque de Santa María,4,,,,Accesible,ABERTURA,2,MADRID,MADRID,28033,PINAR DEL REY,HORTALEZA,40.47719279779815,-3.6496196128895835,917633284,bib.hortaleza@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Javier Marías (Moratalaz),Biblioteca-Publica-Javier-Marias-(Moratalaz),,sí,,Metro: Artilleros (línea 9),,,,Metro: Artilleros (línea 9),Artilleros,9,,,,Accesible,CORREGIDOR ALONSO DE TOBAR,5,MADRID,MADRID,28030,FONTARRON,MORATALAZ,40.403992358842835,-3.6494384856607582,914394688,bib.moratalaz@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Acuña (Moncloa - Aravaca),Biblioteca-Publica-Jose-Acuna-(Moncloa---Aravaca),,sí,,"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3).",,,,"Metro: Arguelles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3)","Arguelles , Ventura Rodriguez","3
4
6",,,,Sin información sobre accesibilidad para personas con movilidad reducida,QUINTANA,9,MADRID,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,40.427947044751,-3.716950806640097,915413619,bib.acuna@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Hierro (Usera),Biblioteca-Publica-Jose-Hierro-(Usera),,sí,,Metro: Plaza Elíptica (líneas 6 y 11),,,,Metro: Plaza Elíptica (líneas 6 y 11),Plaza Elíptica,"6
11",,,,Accesible,RAFAELA YBARRA,43,MADRID,MADRID,28026,PRADOLONGO,USERA,40.38188230129181,-3.7106157111470615,914229501,bib.usera@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Luis Sampedro (Chamberí),Biblioteca-Publica-Jose-Luis-Sampedro-(Chamberi),,sí,,"Metro: Iglesia (línea 1), Quevedo (línea 2), Alonso Cano (línea 7)",,,,"Metro: Iglesia (línea 1), Quevedo (línea 2), Alonso Cano (línea 7)","Iglesia , Quevedo , Alonso Cano","1
2
7",,,,Accesible,FELIPE EL HERMOSO,4,MADRID,MADRID,28010,TRAFALGAR,CHAMBERI,40.435399621146054,-3.69966592825407,914459782,bib.chamberi@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Biblioteca-Publica-Luis-Martin-Santos-(Villa-de-Vallecas),,sí,,"Metro: Villa de Vallecas (línea 1)  Renfe: C1, C2 Y C7.","Renfe: C1, C2 Y C7","C-1
C-2
C-7",,Metro: Villa de Vallecas (línea 1),Villa de Vallecas,1,,,,Accesible,ANTONIO MARIA SEGOVIA,2,MADRID,MADRID,28031,SANTA EUGENIA,VILLA DE VALLECAS,40.38092043731836,-3.6136725045662423,912760231,bib.villavallecas@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Luis Rosales (Carabanchel),Biblioteca-Publica-Luis-Rosales-(Carabanchel),,sí,,Metro: Carabanchel Alto (línea 11),,,,Metro: Carabanchel Alto (línea 11),Carabanchel Alto,11,,,,"Accesible
Bucle de inducción magnético",ANTONIA RODRIGUEZ SACRISTAN,7,MADRID,MADRID,28044,PUERTA BONITA,CARABANCHEL,40.37342554545538,-3.7480707331054375,912760233,bib.carabanchel@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública María Moliner (Villaverde),Biblioteca-Publica-Maria-Moliner-(Villaverde),,sí,,Metro: Villaverde Alto (línea 3)  Cercanías Renfe: Puente Alcocer (C5),Renfe: Puente Alcocer (C5),C-5,Puente Alcocer,Metro: Villaverde Alto (línea 3),Villaverde Alto,3,,,,Accesible,VILLALONSO,16,MADRID,MADRID,28021,VILLAVERDE ALTO C.H.,VILLAVERDE,40.34952488592754,-3.7101159464904097,917230194,bib.villaverde@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Biblioteca-Publica-Miguel-Hernandez-(Puente-de-Vallecas),,sí,,Metro: Miguel Hernández (línea 1),,,,Metro: Miguel Hernández (línea 1),Miguel Hernández,1,,,,Accesible,RAFAEL ALBERTI,36,MADRID,MADRID,28018,PALOMERAS SURESTE,PUENTE DE VALLECAS,40.38449744232138,-3.642917675006409,913033195,bib.vallecas@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Municipal Aluche (Latina),Biblioteca-Publica-Municipal-Aluche-(Latina),,sí,,"Metro: Laguna (línea 6),  Aluche (línea 5) Cercanías Renfe: Laguna, Aluche (línea C5)","Renfe: Laguna, Aluche (línea C5)",C-5,"Laguna, Aluche","Metro: Laguna (línea 6),  Aluche (línea 5)","Laguna ,  Aluche","6
5",,,,"Accesible
Señalización podotáctil
Bucle de inducción magnético",CAMARENA,10,MADRID,MADRID,28047,ALUCHE,LATINA,40.39597072367931,-3.7562716852987847,917198996,bpaluche@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Municipal Ana María Matute (Carabanchel),Biblioteca-Publica-Municipal-Ana-Maria-Matute-(Carabanchel),,sí,,Metro: Marqués de Vadillo (línea 5),,,,Metro: Marqués de Vadillo (línea 5),Marqués de Vadillo,5,,,,"Accesible
Bucle de inducción magnético",ISAAC ALBENIZ,1,MADRID,MADRID,28019,SAN ISIDRO,CARABANCHEL,40.39786734087938,-3.720088245008897,915880830,bpanammatute@madrid.es,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
