PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
5893495;"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora";"Entidad Colaboradora Urbanística (ECU), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables del Ayuntamiento de Madrid y en el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.";"De lunes a jueves: de 9:00 a 14:00 y de 15:00 a 18:30 horas.  Viernes: de 9:00 a 15:00 horas.";"";"Consulta los siguientes enlaces:";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08f6447b7dfdc210VgnVCM1000000b205a0aRCRD";"ARTURO SORIA";"CALLE";"V";"50";"Baja";"";"";"";"MADRID";"MADRID";"28027";"4";"LA CONCEPCION";"15";"CIUDAD LINEAL";"445615";"4477097";"40.442746361185385";"-3.641280382191858";"918 534 381 / 616 805 792";"";"amasecu@a-mas-ecu.com";"/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS"
4916066;"ABC Schule (Alemán)";"";"";"";"BUS: 7, 16, 19, 29, 51, 52 METRO: Cruz del Rayo, Príncipe de Vergara";"EDUCACIÓN: Infantil Primer y segundo ciclo  IDIOMA: Alemán";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d167e229b31f9110VgnVCM2000000c205a0aRCRD";"LEIZARAN";"CALLE";"V";"27";"";"";"";"";"MADRID";"MADRID";"28002";"1";"EL VISO";"5";"CHAMARTIN";"442219";"4477699";"40.44793196689411";"-3.6813824984159287";"915 613 086";"";"";""
7009050;"AB-Aucatel inspección y control, S.L.U. Entidad Colaboradora";"Entidad Colaboradora Urbanística ( ECU ), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables del Ayuntamiento de Madrid y en el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.";"De lunes a jueves: de 8:30 a 14 y de 15 a 18 horas.  Viernes: de 8:30 a 15 horas.";"";"Metro: Velázquez (línea 4).  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10 y Regional).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcad9a0e5806f310VgnVCM1000000b205a0aRCRD";"VELAZQUEZ";"CALLE";"V";"46";"BAJO";"";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441994";"4475338";"40.42664721343406";"-3.683831894083293";"915 426 741";"";"eclu@aucatel.com";"/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS"
10140587;"AB-EIC control reglamentario, S.L. Entidad Colaboradora";"Entidad Colaboradora Urbanística (  ECU  ), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid y el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.";"De lunes a viernes: de 09:00 a  18:00 horas.";"";"Metro: Ventas (líneas 2 y 5); Manuel Becerra (líneas 2 y 6)  Atobús: Líenas 12, 21, 53";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b82d5fa1b847510VgnVCM1000001d4a900aRCRD";"BISBAL";"PASAJE";"V";"6";"CUARTA";"";"";"";"MADRID";"MADRID";"28028";"3";"FUENTE DEL BERRO";"4";"SALAMANCA";"443464";"4475453";"40.42779454412452";"-3.6664908547671295";"914 891 169";"";"ecu@eici.es";"/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS"
167390;"Academia Darío Estudio";"";"";"";"METRO: Santo Domingo, Plaza España BUS: 1 , 2 , 44 , 46 , 74 , 75 , 133 , 148 , 202";"ENSEÑANZA: BACHILLERATO (Humanidades  y C. Sociales - Ciencias y Tecnología)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfb1ff632081c010VgnVCM1000000b205a0aRCRD";"GRAN VIA";"CALLE";"V";"63";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439895";"4475101";"40.42249057800178";"-3.7098176178133118";"915 411 515 - 915 474 084";"915 474 084";"info@darioestudio.es";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"
11777881;"Acción Diaconal Protestante IEE";"Templo evangélico.";"";"";"Metro: Noviciado (Línea 2)   Bus:   002, 147, 3    Bicimad:   Estación 15 (Calle Norte, 8)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5fcb490e2c453810VgnVCM1000001d4a900aRCRD";"NOVICIADO";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439932";"4475235";"40.425585219802336";"-3.708110408802556";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"
10921793;"ACTECU Consultoría Técnica, S.L. Entidad Colaboradora";"Entidad Colaboradora Urbanística (  ECU  ), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid y el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.";"De lunes a jueves: de 9:00 a 14:00 y de 15:30 a 17:00 horas.  Viernes: de 9:00 a 14:00 horas.";"";"Metro: Arg&amp;uuml;elles (Líneas 3, 4 y 6).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39f4fc4fadeb9610VgnVCM1000001d4a900aRCRD";"BLASCO DE GARAY";"CALLE";"V";"13";"3º";"DCHA.";"";"";"MADRID";"MADRID";"28015";"1";"GAZTAMBIDE";"7";"CHAMBERI";"439619";"4475875";"40.43133191511501";"-3.711862566751339";"910 802 385";"";"info@actecu.com";"/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS"
5737579;"ADDIENT, empresa certificadora, S.L.U. Entidad Colaboradora";"Entidad Colaboradora Urbanística ( ECU ), inscrita en el Registro de entidades privadas de colaboración urbanística de la Comunidad Autónoma de Madrid, y autorizada por el Ayuntamiento de Madrid para desarrollar las funciones de verificación y control urbanístico, reguladas en la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid y el Reglamento por el que se establece el régimen de las Entidades Colaboradoras Urbanísticas de Verificación, Inspección y Control. Cuenta con autorización definitiva para actuar en la totalidad del ámbito de aplicación de la Ordenanza de Licencias y Declaraciones Responsables Urbanísticas del Ayuntamiento de Madrid.";"De lunes a jueves: de 9 a 18 horas.  Viernes: de 8 a 15 horas.";"";"Metro: Velázquez (línea 4).  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10 y Regional).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=353a0bb949e69210VgnVCM2000000c205a0aRCRD";"VELAZQUEZ";"CALLE";"V";"30";"1ª";"DERECHA";"";"";"MADRID";"MADRID";"28001";"1";"RECOLETOS";"4";"SALAMANCA";"441979";"4475128";"40.4247686830097";"-3.6839667126217592";"911 400 940 / 911 400 941 / 911 821 522";"911 397 645";"ecu@addient.com";"/contenido/entidadesYorganismos/EntidadesColaboradorasLicenciasActividadECLUS"
14244;"Administración Fermín Caballero. AEAT";"Agencia Estatal de Administración Tributaria";"La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro.  Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 91 290 13 40 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).";"";"Metro: Herrera Oria (línea 9)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd6d3633dcd4f010VgnVCM1000000b205a0aRCRD";"FERMIN CABALLERO";"CALLE";"V";"66";"";"";"";"";"MADRID";"MADRID";"28034";"4";"EL PILAR";"8";"FUENCARRAL-EL PARDO";"439777";"4481626";"40.48314873363959";"-3.710549528504344";"917 307 555";"";"";"/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal"
14254;"Administración Guzmán el Bueno. AEAT";"Agencia Estatal de Administración Tributaria";"La atención presencial en oficinas requiere cita, salvo para presentación de documentación por registro. Puedes solicitar asistencia o pedir cita por:   App AEAT de la Agencia Tributaria  Teléfono de cita general con atención personal 912 901 340 o 901 200 351. De lunes a viernes, de 9 a 19 horas (hasta las 15 horas en agosto).";"";"Metro: Guzmán El Bueno (línea 6)";"";"1,4";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a38d3633dcd4f010VgnVCM1000000b205a0aRCRD";"GUZMAN EL BUENO";"CALLE";"V";"139";"";"";"";"";"MADRID";"MADRID";"28003";"6";"VALLEHERMOSO";"7";"CHAMBERI";"439579";"4477445";"40.445472489278124";"-3.7124852981854684";"915 826 178";"";"";"/contenido/entidadesYorganismos/OficinasAgenciaTributariaEstatal"
