NOMBRE,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Jardines Gregorio Ordóñez,Jardines-Gregorio-Ordonez,no,,,"Metro: Núñez de Balboa (líneas 5 y 9) Bus: 1, 29, 52, 74  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Núñez de Balboa (líneas 5 y 9),Núñez de Balboa,"5
9","Bus: 1, 29, 52, 74","1
29
52
74",3975,Instalación parcialmente accesible para personas con movilidad reducida,PRINCIPE DE VERGARA,68,MADRID,MADRID,28006,LISTA,SALAMANCA,40.43346186779773,-3.6785954778654113,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines San Francisco el Grande,Jardines-San-Francisco-el-Grande,no especifica,,,"Bus: 3, 60 y 148.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 3, 60 y 148","3
60
148",4346,Instalación parcialmente accesible para personas con movilidad reducida,GRAN VIA DE SAN FRANCISCO,25,MADRID,MADRID,28005,PALACIO,CENTRO,40.41002249621306,-3.7144199127869557,,,/contenido/entidadesYorganismos/ParquesJardines/ColeccionesBotanicas,ParquesJardines
Jardines de Andrés Saborit,Jardines-de-Andres-Saborit,no,,,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) Bus: 5, 68, 149, C1, C2 RENFE: Nuevos Ministerios  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.","Renfe: Nuevos Ministerios (líneas C1, C3, C4, C7, C8, C10)","C-1
C-3
C-4
C-7
C-8
C-10",Nuevos Ministerios,"Metro: Nuevos Ministerios (líneas 6, 8 y 10)",Nuevos Ministerios,"6
8
10","Bus: 5, 68, 149, C1, C2","5
68
149
1
2",8491,Instalación parcialmente accesible para personas con movilidad reducida,RAIMUNDO FERNANDEZ VILLAVERDE,32,MADRID,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44613326792272,-3.6989699295578347,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de El Buen Retiro,Jardines-de-El-Buen-Retiro,sí,,,"Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1) Autobuses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Renfe (línea 1),C-1,,"Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha","Retiro , Príncipe de Vergara , Ibiza , Atocha , Atocha","2
9
1","buses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C","1
2
9
14
15
19
20
26
28
32
51
52
61
63
74
146
152
202",1177300,Instalación parcialmente accesible para personas con movilidad reducida,INDEPENDENCIA,7,MADRID,MADRID,28001,LOS JERONIMOS,RETIRO,40.41964087412762,-3.68793370943788,"915744024
915280938
913769197",,/contenido/entidadesYorganismos/ParquesJardines/ParquesHistoricos,ParquesJardines
Jardines de Gloria Fuertes,Jardines-de-Gloria-Fuertes,no,,,"Metro: línea 9 (Colombia) Bus: 16,29,150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: línea 9 (Colombia),línea 9,9,"Bus: 16,29,150","16
29
150",1663,Instalación parcialmente accesible para personas con movilidad reducida,MADRE DE DIOS,2,MADRID,MADRID,28016,NUEVA ESPAÑA,CHAMARTIN,40.461517637696026,-3.6751179007317614,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de José Luis Jiménez Manso,Jardines-de-Jose-Luis-Jimenez-Manso,no,,,"Metro: Estrella (línea 9) Bus: 20, 30, 32  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Estrella (línea 9),Estrella,9,"Bus: 20, 30, 32","20
30
32",10775,Instalación parcialmente accesible para personas con movilidad reducida,CAMINO DE LOS VINATEROS,1,MADRID,MADRID,28030,MEDIA LEGUA,MORATALAZ,40.410944943237865,-3.660501733743551,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de Perón,Jardines-de-Peron,sí,,,"Metro: Santiago Bernabéu (línea 10) Bus: 3, 5, 43, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Santiago Bernabéu (línea 10),Santiago Bernabéu,10,"Bus: 3, 5, 43, 149","3
5
43
149",18605,Instalación parcialmente accesible para personas con movilidad reducida,GENERAL PERON,21,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,40.45257591499544,-3.6957817548357257,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de Sabatini,Jardines-de-Sabatini,no especifica,,,"Metro: Opera   Bus: 2, 146   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Opera,Opera,,"Bus: 2, 146","2
146",,Instalación parcialmente accesible para personas con movilidad reducida,BAILEN,2,MADRID,MADRID,28013,PALACIO,CENTRO,40.419911287101144,-3.713185308888602,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de San Fernando,Jardines-de-San-Fernando,no,,,"Metro: Cuzco (línea 10) Bús: 5, 11, 40, 140, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Cuzco (línea 10),Cuzco,"10
5
11
40
140
150",,,12000,Instalación parcialmente accesible para personas con movilidad reducida,ALBERTO ALCOCER,9,MADRID,MADRID,28036,NUEVA ESPAÑA,CHAMARTIN,40.45978849094378,-3.687352342212426,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Avenida de Brasil,Jardines-de-la-Avenida-de-Brasil,no,,,"Bus: 5, 126, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 5, 126, 149","5
126
149",16955,Instalación parcialmente accesible para personas con movilidad reducida,BRASIL,31,MADRID,MADRID,28020,CASTILLEJOS,TETUAN,40.458706953002235,-3.6934625569379387,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Basílica,Jardines-de-la-Basilica,no especifica,,,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) RENFE: Nuevos Ministerios Bus: 5 , 69 y 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.","Renfe: Nuevos Ministerios (líneas C1, C3, C4, C7, C8, C10)","C-1
C-3
C-4
C-7
C-8
C-10",Nuevos Ministerios,"Metro: Nuevos Ministerios (líneas 6, 8 y 10)",Nuevos Ministerios,"6
8
10","Bus: 5 , 69 y 149","5
69
149",2410,Instalación parcialmente accesible para personas con movilidad reducida,BASILICA,15,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,40.44903638127448,-3.695615530710886,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
Jardines de la Cuesta de la Vega,Jardines-de-la-Cuesta-de-la-Vega,no especifica,,,"Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,,,,"Bus: 31 , 41 , 50 , 65","31
41
50
65",2817,Instalación parcialmente accesible para personas con movilidad reducida,VEGA,1,MADRID,MADRID,28013,PALACIO,CENTRO,40.41476219795408,-3.7154411142835397,,,/contenido/entidadesYorganismos/ParquesJardines,ParquesJardines
