NOMBRE,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Centro Deportivo Municipal Alcántara,Centro-Deportivo-Municipal-Alcantara,,,,"Metro: Lista, Manuel Becerra.  Bus: 21, 43, 53, 146.  Renfe: Cercanías.  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Cercanías,,,"Metro: Lista, Manuel Becerra","Lista, Manuel Becerra",,"Bus: 21, 43, 53, 146","21
43
53
146",,Accesible,ALCANTARA,26,MADRID,MADRID,28006,GOYA,SALAMANCA,40.42810291538114,-3.6737317205040503,917373641,alcantara@viding.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Alfredo Goyeneche,Centro-Deportivo-Municipal-Alfredo-Goyeneche,,,,"Bus: 160, 161, 658  Renfe:  Aravaca   Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.",Aravaca C7 C10,"C-7
C-10",Aravaca,,,,"Bus: 160, 161, 658","160
161
658",,Accesible,ARROYO DE POZUELO,99,MADRID,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,40.45212135012858,-3.783283203719198,913571228,idmagoyeneche@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Aluche,Centro-Deportivo-Municipal-Aluche,,,,"Metro: Aluche  Bus: 17, 34, 139  Cercanías Renfe: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul).    Bicicletas:  el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.",Renfe: Maestra Justa FreirePolideportivo Aluche (antigua estación de Fanjul) C5,C-5,Maestra Justa Freire-Polideportivo Aluche,Metro: Aluche,Aluche,,"Bus: 17, 34, 139","17
34
139",,Accesible,DE LAS AGUILAS,14,MADRID,MADRID,28044,LAS AGUILAS,LATINA,40.382720517194784,-3.773653600881568,917062868,idmaluche@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Antiguo Canódromo,Centro-Deportivo-Municipal-Antiguo-Canodromo,,,,"Bus: 17 , 25 , 119.",,,,,,,"Bus: 17 , 25 , 119","17
25
119",,Accesible,VIA CARPETANA,57,MADRID,MADRID,28047,SAN ISIDRO,CARABANCHEL,40.39801608457685,-3.7352725040539525,618439332,cdmantiguocanodromo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Antonio Díaz Miguel,Centro-Deportivo-Municipal-Antonio-Diaz-Miguel,,,,Metro: VentillaBus: 42,,,,Metro: Ventilla,Ventilla,,Bus: 42,42,,Accesible,JOAQUIN DICENTA,1,MADRID,MADRID,28029,ALMENARA,TETUAN,40.471254265861454,-3.6953256978963807,913145437,idmadm@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Barajas,Centro-Deportivo-Municipal-Barajas,,,,"Metro: Barajas , Alameda de Osuna.  Bus: Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.",,,,"Metro: Barajas , Alameda de Osuna","Barajas , Alameda de Osuna",,"Bus: Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827)","105
112
115
151
211
212
827",,Accesible,LOGROÑO,70,MADRID,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.46301382809657,-3.587693324074623,913290602,idmbarajas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Barceló,Centro-Deportivo-Municipal-Barcelo,,,,"Metro: Tribunal, Alonso Martínez, Bilbao.  Bus: 3, 21, 37, 40, 147, 149.  Bicicleta:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Tribunal, Alonso Martínez, Bilbao","Tribunal, Alonso Martínez, Bilbao",,"Bus: 3, 21, 37, 40, 147, 149","3
21
37
40
147
149",,No accesible,BARCELO,6,MADRID,MADRID,28004,JUSTICIA/ CENTRO,DISTRITO,40.42671069347762,-3.6988277636112716,910285389,infobarcelo@forus.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),Centro-Deportivo-Municipal-Blanca-Fernandez-Ochoa-(La-Mina),,,,"Metro: Carabanchel , Eugenia de Montijo.  Bus: 17 , 34 , 35 , 113 , 484 ,  481.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,,,"Metro: Carabanchel , Eugenia de Montijo","Carabanchel , Eugenia de Montijo",,"Bus: 17 , 34 , 35 , 113 , 484 ,  481","17
34
35
113
484
481",,Accesible,MONSEÑOR OSCAR ROMERO,41,MADRID,MADRID,28025,VISTA ALEGRE,CARABANCHEL,40.38238220944523,-3.746452142917399,"914661278
914661732",idmlamina@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Casa de Campo,Centro-Deportivo-Municipal-Casa-de-Campo,,,,"Metro: Lago, Puerta del Ángel.  Bus:  31, 33, 36, 39, 65, 138.   Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 10 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones",,,,"Metro: Lago, Puerta del Ángel","Lago, Puerta del Ángel",,"Bus:  31, 33, 36, 39, 65, 138","31
33
36
39
65
138",,Accesible,PUERTA DEL ANGEL,7,MADRID,MADRID,28011,CASA DE CAMPO,MONCLOA-ARAVACA,40.41612628789201,-3.733536573641621,"914630050
914649889",idmccampo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Centro Integrado Arganzuela,Centro-Deportivo-Municipal-Centro-Integrado-Arganzuela,,,,"Metro: Palos de la Frontera  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247  Renfe: Delicias.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",Renfe: Delicias c1 c10,"C-1
C-10",Delicias,Metro: Palos de la Frontera,Palos de la Frontera,,"Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247","6
8
19
45
47
55
59
85
86
102
247",,Accesible,CANARIAS,17,MADRID,MADRID,28045,PALOS DE MOGUER,ARGANZUELA,40.40207279862862,-3.6955325387824014,915273938,idmestacionsur@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
