NOMBRE,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Centro de Enseñanza Superior Cardenal Cisneros,Centro-de-Ensenanza-Superior-Cardenal-Cisneros,,,,"Metro: Lista (línea 4), Núñez de Balboa (líneas 5 y 9), Diego de León (líneas 4, 5 y 6).",,,,"Metro: Lista (línea 4), Núñez de Balboa (líneas 5 y 9), Diego de León (líneas 4, 5 y 6)","Lista , Núñez de Balboa , Diego de León","4
5
9
6",,,,Sin información sobre accesibilidad para personas con movilidad reducida,GENERAL DIAZ PORLIER,58,MADRID,MADRID,28006,LISTA,SALAMANCA,40.430.655.746.270.500,-3.676.645.132.506.570,"913096120
914028981",secretaria@cescisneros.es,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco,Centro-de-Ensenanza-Superior-en-Humanidades-y-Ciencias-de-la-Educacion-Don-Bosco,,,,Metro: Francos Rodríguez (línea 7).,,,,Metro: Francos Rodríguez (línea 7),Francos Rodríguez,7,,,,Sin información sobre accesibilidad para personas con movilidad reducida,MARIA AUXILIADORA,9,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,404.578.663.330.372,-37.154.022.232.737.900,914500472,comunicacion@cesdonbosco.com,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro de Enseñanza Superior Villanueva,Centro-de-Ensenanza-Superior-Villanueva,,,,"Metro: Paco de Lucía (línea 9).  Cercanías Renfe: Mirasierra-Paco de Lucía (líneas C7, C8, C8a, C8b).","Renfe: MirasierraPaco de Lucía (líneas C7, C8, C8a, C8b)","C-7
C-8",Mirasierra-Paco de Lucía,Metro: Paco de Lucía (línea 9),Paco de Lucía,9,,,,Sin información sobre accesibilidad para personas con movilidad reducida,COSTA BRAVA,2,MADRID,MADRID,28034,MIRASIERRA,FUENCARRAL-EL PARDO,4.049.594.165.711.770,-3.702.048.289.834.190,917340413,,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro Superior de Diseño de Moda de Madrid (Centro adscrito a la UPM),Centro-Superior-de-Diseno-de-Moda-de-Madrid-(Centro-adscrito-a-la-UPM),,,,"Metro: Sierra de Guadalupe (línea 1).  Cercanías Renfe: Vallecas (líneas C2,C7).",Vallecas C1 C2 C7,"C-1
C-2
C-7",Vallecas,Metro: Sierra de Guadalupe (línea 1),Sierra de Guadalupe,1,,,,Sin información sobre accesibilidad para personas con movilidad reducida,VALENCIA,7,MADRID,MADRID,28030,FONTARRON,MORATALAZ,40.388.857.066.045.900,-36.286.523.028.588.000,913310126,informacion.csdmm@upm.es,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro Universitario La Salle,Centro-Universitario-La-Salle,,,,Consulta los siguientes enlaces.,,,,,,,,,,Sin información sobre accesibilidad para personas con movilidad reducida,LA SALLE,10,MADRID,MADRID,28023,VALDEMARIN,MONCLOA-ARAVACA,40.466.248.901.592.800,-37.820.082.470.461.600,917401980,sia@lasallecampus.es,/contenido/entidadesYorganismos/Universidades/EscuelasUniversitarias,Universidades
Colegio Mayor Alcalá,Colegio-Mayor-Alcala,,,masculino,Metro: Metropolitano (línea 6).,,,,Metropolitano (línea 6),Metropolitano,6,,,,No accesible,DON RAMON MENENDEZ PIDAL,2,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,4.044.764.820.463.780,-3.719.503.495.059.190,915533004,admisiones@cmalcala.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Alcor,Colegio-Mayor-Alcor,,,femenino,"Metro: Metropolitano (línea 6), Guzmán el Bueno (línea 6 y 7).",,,,"Metropolitano (línea 6), Guzmán el Bueno (línea 6 y 7)","Metropolitano , Guzmán el Bueno","6
7",,,,Accesible,GENERAL AMPUDIA,7,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,40.443.245.742.864.000,-3.715.255.918.766.610,915339208,info@cmalcor.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Antonio de Nebrija,Colegio-Mayor-Antonio-de-Nebrija,,,mixto,Metro: Ciudad Universitaria (línea 6),,,,Metro: Ciudad Universitaria (línea 6),Ciudad Universitaria,6,,,,No accesible,SENECA,8,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,4.043.571.333.918.660,-37.284.677.239.467.500,913941005,cmuantoniodenebrija@ucm.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Aquinas (Santo Tomás de Aquino),Colegio-Mayor-Aquinas-(Santo-Tomas-de-Aquino),,,mixto,"Metro: Estación Vicente Aleixandre (línea 6), Ciudad Universitaria (línea 6) y Francos Rodríguez (línea 7)",,,,"Metro: Estación Vicente Aleixandre (línea 6), Ciudad Universitaria (línea 6) y Francos Rodríguez (línea 7)","Estación Vicente Aleixandre , Ciudad Universitaria  y Francos Rodríguez","6
7",,,,Accesible,LEONARDO PRIETO CASTRO,6,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,4.045.204.759.324.340,-37.218.395.787.782.300,915438800,aquinas@aquinas.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Argentino Nuestra Señora de Luján,Colegio-Mayor-Argentino-Nuestra-Senora-de-Lujan,,,mixto,Metro: Moncloa (línea 6) Ciudad Universitaria (línea 6),,,,Metro: Moncloa (línea 6) Ciudad Universitaria (línea 6),Moncloa  Ciudad Universitaria,6,,,,No accesible,MARTIN FIERRO,3,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,4.043.610.678.975.890,-3.731.701.576.349.750,911812050,administracion@cmanslujan.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
