num_expediente,fecha_hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorol贸gico,wktGeometry,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S000056,2025-01-01T00:49:00+01:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,5,CHAMART脥N,Colisi贸n fronto-lateral,Despejado,POINT(-3.67254596772 40.4451628345),false,false,false,"Ciclomotor, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000057,2025-01-01T02:20:00+01:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,9,MONCLOA-ARAVACA,Colisi贸n lateral,Despejado,POINT(-3.77940814233 40.4526448373),false,false,false,Turismo,Desconocido,5
2025S000058,2025-01-01T03:18:00+01:00,CALL. GALLUR,10,LATINA,Choque contra obst谩culo fijo,Despejado,POINT(-3.74213290866 40.3960792943),true,false,false,Turismo,Sin asistencia sanitaria,1
2025S000060,2025-01-01T04:00:00+01:00,CALL. LUCHANA / CALL. EGUILAZ,7,CHAMBER脥,Colisi贸n lateral,Despejado,POINT(-3.7006753572 40.4298065632),false,false,false,"Maquinaria de obras, Turismo",Desconocido,5
2025S000061,2025-01-01T03:30:00+01:00,AVDA. PABLO IGLESIAS,6,TETU脕N,Colisi贸n fronto-lateral,,POINT(-3.71026143471 40.4501084175),false,false,false,Turismo,Desconocido,5
2025S000063,2025-01-01T06:58:00+01:00,CALL. PRINCESA,1,CENTRO,Alcance,Despejado,POINT(-3.7140926803 40.4276884264),true,false,false,"Motocicleta hasta 125cc, Turismo",Sin asistencia sanitaria,1
2025S000064,2025-01-01T07:10:00+01:00,PASEO. ARTILLEROS / CALL. CALAHORRA,19,VIC脕LVARO,Choque contra obst谩culo fijo,,POINT(-3.60941655694 40.4078009756),true,false,false,Turismo,Desconocido,5
2025S000065,2025-01-01T07:30:00+01:00,CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO,14,MORATALAZ,Colisi贸n fronto-lateral,Despejado,POINT(-3.65811837623 40.4106781903),false,false,false,Turismo,Desconocido,5
2025S000069,2025-01-01T07:50:00+01:00,CALL. MIGUEL PALACIOS / AVDA. PE脩A PRIETA,13,PUENTE DE VALLECAS,Choque contra obst谩culo fijo,Despejado,POINT(-3.66529089072 40.4017812254),false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,5
2025S000070,2025-01-01T08:05:00+01:00,AVDA. ALBUFERA / CALL. CANTALAPIEDRA,13,PUENTE DE VALLECAS,Alcance,Despejado,POINT(-3.65607226985 40.3917347126),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000072,2025-01-01T07:30:00+01:00,CALL. EMBALSE DE NAVACERRADA,18,VILLA DE VALLECAS,Alcance,Despejado,POINT(-3.59803953551 40.3607156391),false,false,false,Turismo,Desconocido,5
2025S000074,2025-01-01T10:00:00+01:00,CALL. MATEO INURRIA,5,CHAMART脥N,Otro,Despejado,POINT(-3.68623175405 40.4667309984),false,false,false,Turismo,Desconocido,5
2025S000076,2025-01-01T08:00:00+01:00,CALL. MISTERIOS,15,CIUDAD LINEAL,Colisi贸n fronto-lateral,Despejado,POINT(-3.63977548273 40.4388713586),true,false,false,Turismo,Sin asistencia sanitaria,1
2025S000079,2025-01-01T09:20:00+01:00,CALL. LUIS MARTINEZ FEDUCHI,16,HORTALEZA,Choque contra obst谩culo fijo,,POINT(-3.64191334422 40.4999674163),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000081,2025-01-01T12:00:00+01:00,CALL. JUSTA GARCIA,12,USERA,Colisi贸n lateral,,POINT(-3.70957732968 40.3827790453),true,false,false,Turismo,Desconocido,5
2025S000082,2025-01-01T12:30:00+01:00,AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES,16,HORTALEZA,Choque contra obst谩culo fijo,Despejado,POINT(-3.64633963588 40.4902040826),false,false,false,Turismo,Desconocido,5
2025S000085,2025-01-01T14:40:00+01:00,CALL. SANTUARIO / CALL. CRISTO DE LEPANTO,12,USERA,Alcance,Despejado,POINT(-3.69948175418 40.3817144159),false,false,false,"Motocicleta hasta 125cc, Turismo",Ingreso superior a 24 horas,1
2025S000086,2025-01-01T14:50:00+01:00,PLAZA. ALSACIA,20,SAN BLAS-CANILLEJAS,Choque contra obst谩culo fijo,Despejado,POINT(-3.62417766757 40.4173529304),false,true,false,Turismo,Sin asistencia sanitaria,1
2025S000087,2025-01-01T15:00:00+01:00,GTA. OSWALDO PAYA SARDI脩AS / CALL. LAS PEDRO脩ERAS,16,HORTALEZA,Colisi贸n fronto-lateral,Despejado,POINT(-3.63564921149 40.4652094337),false,false,false,Turismo,Desconocido,1
2025S000088,2025-01-01T17:10:00+01:00,CALL. OCA / CALL. GENERAL RICARDOS,11,CARABANCHEL,Otro,Despejado,POINT(-3.73143682541 40.3887510021),false,false,false,"Bicicleta, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000089,2025-01-01T17:15:00+01:00,CALL. DOCTOR CASTELO,3,RETIRO,Colisi贸n lateral,,POINT(-3.6712355948 40.4201163441),false,false,false,Turismo,Desconocido,5
2025S000095,2025-01-01T19:50:00+01:00,CALL. ISABELITA USERA,12,USERA,Alcance,Despejado,POINT(-3.70795382976 40.3841223417),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000097,2025-01-01T19:45:00+01:00,CALL. GENEROSIDAD / CALL. VILLAFUERTE,17,VILLAVERDE,Ca铆da,Despejado,POINT(-3.68962470932 40.3566381745),false,false,false,Bicicleta,Asistencia sanitaria s贸lo en el lugar del accidente,3
2025S000099,2025-01-01T18:52:00+01:00,CALL. CARDENAL SILICEO,5,CHAMART脥N,Choque contra obst谩culo fijo,Despejado,POINT(-3.67039199419 40.4443735443),false,false,false,Turismo,Desconocido,5
2025S000100,2025-01-01T14:30:00+01:00,CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA,15,CIUDAD LINEAL,Colisi贸n lateral,Despejado,POINT(-3.64587267772 40.4291527438),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000101,2025-01-01T19:35:00+01:00,CALL. VALLE DE MENA / CALL. CANDIDO MATEOS,8,FUENCARRAL-EL PARDO,Colisi贸n lateral,Despejado,POINT(-3.71889275477 40.4710369529),false,false,false,Turismo,Desconocido,5
2025S000102,2025-01-01T19:50:00+01:00,CALL. SAMANIEGO / CALL. ARRASTARIA,20,SAN BLAS-CANILLEJAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.58504619209 40.4461162635),false,false,false,"Motocicleta > 125cc, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000103,2025-01-01T20:20:00+01:00,CALL. PUERTO ALTO / CALL. SIERRA DEL CASTILLO,13,PUENTE DE VALLECAS,Choque contra obst谩culo fijo,Despejado,POINT(-3.66829296771 40.3931422206),false,false,false,Turismo,Desconocido,5
2025S000104,2025-01-01T20:00:00+01:00,AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA,20,SAN BLAS-CANILLEJAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.61207008573 40.4340123411),false,false,false,"Todo terreno, Turismo",Sin asistencia sanitaria,1
2025S000105,2025-01-01T20:11:00+01:00,CALL. PAUL GUINARD,9,MONCLOA-ARAVACA,Choque contra obst谩culo fijo,Despejado,POINT(-3.73001688516 40.4416250017),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000106,2025-01-01T20:50:00+01:00,AVDA. VALLADOLID,9,MONCLOA-ARAVACA,Alcance,Despejado,POINT(-3.72702016738 40.4261393831),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000107,2025-01-01T20:15:00+01:00,AVDA. MARQUES DE CORBERA / CALL. ALCALDE SAINZ DE BARANDA,15,CIUDAD LINEAL,Alcance,Despejado,POINT(-3.65937815178 40.4214098087),false,false,false,"Turismo, VMU el茅ctrico",Sin asistencia sanitaria,1
2025S000108,2025-01-01T21:45:00+01:00,RONDA. VALENCIA,1,CENTRO,Colisi贸n fronto-lateral,,POINT(-3.70003633686 40.4056932287),false,false,false,"Autob煤s, Turismo",Sin asistencia sanitaria,1
2025S000109,2025-01-01T20:30:00+01:00,CALL. PONZANO / CALL. RIOS ROSAS,7,CHAMBER脥,Alcance,,POINT(-3.69903572869 40.4422399197),false,false,false,Turismo,Desconocido,5
