centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_descripcion,centro_titularidad,direccion,direccion_codigo_postal,distrito_codigo,distrito_nombre,contacto_telefono,contacto_web,contacto_email,wktGeometry
28004059,CERVANTES,42,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,"Calle de Embajadores, 70",28012,1,Centro,915285061,http://www.educa.madrid.org/ies.cervantes.madrid,ies.cervantes.madrid@educa.madrid.org,POINT(-3.70320884055 40.405917222)
28004266,DAMASO ALONSO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Espinela, 1",28021,17,Villaverde,917970620,http://www.educa.madrid.org/cp.damasoalonso.madrid,cp.damasoalonso.madrid@educa.madrid.org,POINT(-3.70880385289 40.3460626099)
28004291,CERVANTES BABY,8,ESCUELA INFANTIL PRIVADA,PRIVADO,"Calle del Avefría, 20",28025,11,Carabanchel,914615068,,cervantes_baby@yahoo.es,POINT(-3.73005661588 40.3842281568)
28004436,FRANCISCO ALCANTARA CERAMICA,103,ESCUELA DE ARTE,PÚBLICO,"Calle de Francisco y Jacinto Alcántara, 2",28008,9,Moncloa-Aravaca,915423241,http://www.educa.madrid.org/ea.franciscoalcantara.madrid,ea.franciscoalcantara.madrid@educa.madrid.org,POINT(-3.72430356533 40.4267510301)
28004552,ISAAC ALBENIZ,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Drácena, 29",28016,5,Chamartín,913596972,http://www.educa.madrid.org/cp.albeniz.madrid,cp.albeniz.madrid@educa.madrid.org,POINT(-3.6690125439 40.4646067293)
28004825,NICOLAS SALMERON,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Pradillo, 2",28002,5,Chamartín,914155260,http://www.educa.madrid.org/cp.nicolassalmeron.madrid,cp.nicolassalmeron.madrid@educa.madrid.org,POINT(-3.67651892703 40.4485991095)
28004904,CIUDAD DE JAEN,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Madre Rosa Blanco_, 3",28041,12,Usera,913174313,http://www.educa.madrid.org/cp.ciudaddejaen.madrid,cp.ciudaddejaen.madrid@educa.madrid.org,POINT(-3.70081155991 40.3724810415)
28004941,VASCO NUÑEZ DE BALBOA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Nuestra Señora de Valverde, 149",28034,8,Fuencarral-El Pardo,917343267,http://www.educa.madrid.org/cp.nunezdebalboa.madrid,cp.nunezdebalboa.madrid@educa.madrid.org,POINT(-3.68631851068 40.4995770988)
28004965,ESCUELAS AGUIRRE,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Pío Baroja, 4",28009,3,Retiro,915741864,http://www.educa.madrid.org/cp.aguirre.madrid,cp.aguirre.madrid@educa.madrid.org,POINT(-3.6744926458 40.4145838496)
28004989,AGUSTINA DIEZ,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Vesubio, 5",28038,13,Puente de Vallecas,917770073,http://www.educa.madrid.org/cp.agustinadiez.madrid,cp.agustinadiez.madrid@educa.madrid.org,POINT(-3.64727258142 40.3882437284)
28004990,ALBERTO ALCOCER,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda canillejas-vicalvaro, 56",28022,20,San Blas-Canillejas,913202609,http://www.educa.madrid.org/cp.albertoalcocer.madrid,cp.albertoalcocer.madrid@educa.madrid.org,POINT(-3.61203433655 40.4326701829)
28005003,ALFONSO X EL SABIO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Fuente de San Pedro, 6",28032,19,Vicálvaro,913719661,http://www.educa.madrid.org/cp.alfonsodecimo.madrid,cp.alfonsodecimo.madrid@educa.madrid.org,POINT(-3.60369487336 40.4032003196)
28005039,ANTONIO MACHADO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Allariz, 3",28044,11,Carabanchel,915088661,http://www.educa.madrid.org/cp.machado.madrid,cp.machado.madrid@educa.madrid.org,POINT(-3.75453768668 40.3672960832)
28005064,ARROYOFRESNO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Pico Balaitus, 24",28035,8,Fuencarral-El Pardo,917388241,http://www.educa.madrid.org/cp.arroyofresno.madrid,cp.arroyofresno.madrid@educa.madrid.org,POINT(-3.72080211858 40.4830159662)
28005076,DE PRACTICAS ASUNCION RINCON,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Filipinas, 5",28003,7,Chamberí,915542118,http://www.educa.madrid.org/cp.asuncionrincon.madrid,cp.asuncionrincon.madrid@educa.madrid.org,POINT(-3.71089821267 40.4400324448)
28005091,AZORIN,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Godella, 57",28021,17,Villaverde,917975733,http://www.educa.madrid.org/cp.azorin.madrid,cp.azorin.madrid@educa.madrid.org,POINT(-3.68675518746 40.3430964773)
28005106,BARCELONA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de la Verbena de la Paloma, 14",28041,17,Villaverde,913603078,http://www.educa.madrid.org/cp.barcelona.madrid,cp.barcelona.madrid@educa.madrid.org,POINT(-3.69629627002 40.3583730009)
28005121,MANUEL SIUROT,3,ESCUELA INFANTIL,PÚBLICO,"Plaza de Sierra Ministra, 3",28053,13,Puente de Vallecas,914787913,http://www.educa.madrid.org/eei.manuelsiurot.madrid,eei.manuelsiurot.madrid@educa.madrid.org,POINT(-3.66271227278 40.3935887577)
28005131,BEATA MARIA ANA DE JESUS,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle de Guillermo de Osma, 10",28045,2,Arganzuela,911095770,www.bmajesus.es,cc.beatamanadejesus.madrid@educa.madrid.org,POINT(-3.69707579696 40.3940263507)
28005155,BOLIVIA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Villavaliente, 29",28011,10,Latina,914649989,http://www.educa.madrid.org/cp.bolivia.madrid,cp.bolivia.madrid@educa.madrid.org,POINT(-3.75003731999 40.4075598765)
28005167,ESCUELAS BOSQUE,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Santo Ángel de la Guarda, 4",28039,9,Moncloa-Aravaca,914505060,http://www.educa.madrid.org/cp.escuelasbosque.madrid,cp.escuelasbosque.madrid@educa.madrid.org,POINT(-3.71226923957 40.4593302692)
28005179,CAPITAN CORTES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Monseñor Oscar Romero, 17",28025,11,Carabanchel,914628662,http://www.educa.madrid.org/cp.capitancortes.madrid,cp.capitancortes.madrid@educa.madrid.org,POINT(-3.74287296138 40.3808582171)
28005210,CERVANTES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Raimundo Fernández Villaverde, 4",28003,7,Chamberí,915330837,http://www.educa.madrid.org/cp.cervantes.madrid,cp.cervantes.madrid@educa.madrid.org,POINT(-3.70310196383 40.4465936337)
