centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;nif_titular;nif_centro;dat_codigo;dat_nombre;direccion_via_tipo;direccion_via_nombre;direccion_numero;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;contacto_telefono1;contacto_telefono2;contacto_telefono3;contacto_telefono4;contacto_fax;contacto_web;contacto_email1;contacto_email2;direccion_coor_x;direccion_coor_y;situación;fecha_constitución
28000017;E.M.;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;1;Madrid-Norte;;LA ACEBEDA;;00000;001;Acebeda, La;;;0;;;;0;;;;;;BAJA; 
28000029;SAN BLAS;070;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8981*;3;Madrid-Este;CALLE;Víctor Hurtado;s/n;28864;002;Ajalvir;;;918844589;;;;;http://www.educa.madrid.org/cp.sanblas.ajalvir;cp.sanblas.ajalvir@educa.madrid.org;;458832;4487797;ALTA;1980-09-04
28000030;JOAQUIN CABALLERO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;;;1;Madrid-Norte;;JARDINES 2;;28749;003;Alameda del Valle;;;918691413;;;;0;;;;;;BAJA;1968-02-05
28000042;EL ALAMO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8547*;2;Madrid-Sur;CALLE;del Río Alagón;1;28607;004;Álamo, El;;;918120652;;;;918122834;http://www.educa.madrid.org/cp.elalamo.elalamo;cp.elalamo.elalamo@educa.madrid.org;;415961;4453703;ALTA;1900-01-01
28000054;ANTONIO DE NEBRIJA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8277*;3;Madrid-Este;CALLE;San Ignacio de Loyola;13;28806;005;Alcalá de Henares;;;918882368;;;;918882368;http://www.educa.madrid.org/cp.antoniodenebrija.alcala;cp.antoniodenebrija.alcala@educa.madrid.org;;468386;4482313;ALTA;1975-09-03
28000066;CARDENAL CISNEROS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8281*;3;Madrid-Este;CALLE;San Juan;2;28801;005;Alcalá de Henares;;;918880447;615303251;;;918837578;http://www.educa.madrid.org/cp.cardenalcisnero.alcala;cp.cardenalcisnero.alcala@educa.madrid.org;;468658;4481259;ALTA;1975-09-03
28000078;CERVANTES;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8159*;3;Madrid-Este;CALLE;Giner de los Ríos;5;28800;005;Alcalá de Henares;;;918889973;;;;918816276;http://www.educa.madrid.org/cp.cervantes.alcala;cp.cervantes.alcala@educa.madrid.org;;469547;4481511;ALTA;1975-09-03
28000081;DAOIZ Y VELARDE;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8283*;3;Madrid-Este;CALLE;Infantado;2;28807;005;Alcalá de Henares;;;918880958;918829222;;;918880958;http://www.educa.madrid.org/cp.daoizyvelarde.alcala;cp.daoizyvelarde.alcala@educa.madrid.org;;468826;4481956;ALTA;1900-01-01
28000091;C.P.EL ENCINAR;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;CTRA.N-11 KM 38 2;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1991-04-10
28000108;HISTORIADOR PORTILLA;012;CP PRI;COLEGIO DE EDUCACIÓN PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;PZA.DE LA PORTILLA 1;;28801;005;Alcalá de Henares;;;918896333;;;;0;;;;;;BAJA;1900-01-01
