num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2023S040309,2024-02-15,14:05:00,CALL. TESORO / CALL. MINAS,18,1,Centro,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440123,4475170,false,false
2024S000027,2024-01-01,16:30:00,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,2,11,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,437732,4470986,false,false
2024S000058,2024-01-02,09:45:00,GTA. LOZARES / AVDA. REAL DE PINTO,0,17,Villaverde,Caída,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,2,Ingreso inferior o igual a 24 horas,439897,4465733,false,false
2024S000081,2024-01-02,19:30:00,"CALL. HORTALEZA, 96",96,1,Centro,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,440785,4475122,false,false
2024S000081,2024-01-02,19:30:00,"CALL. HORTALEZA, 96",96,1,Centro,Atropello a persona,Nublado,Bicicleta EPAC (pedaleo asistido),Peatón,De 65 a 69 años,Hombre,2,Ingreso inferior o igual a 24 horas,440785,4475122,false,false
2024S000108,2024-01-03,08:30:00,"CALL. BRAVO MURILLO, 154",154,6,Tetuán,Alcance,LLuvia intensa,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440364,4478099,false,false
2024S000168,2024-01-03,11:30:00,"PASEO. EXTREMADURA, 21",21,10,Latina,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,438247,4473924,false,false
2024S000274,2024-01-04,20:30:00,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. ISLA PARAGUA,37,8,Fuencarral - El Pardo,Colisión fronto-lateral,LLuvia intensa,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,441783,4482707,false,false
2024S000275,2024-01-04,20:05:00,CALL. SERRANO / CALL. CONDE DE ARANDA,10,4,Salamanca,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,441603,4474805,false,false
2024S000361,2024-01-06,00:45:00,CALL. ALCALA / CALL. JULIO CAMBA,200A,4,Salamanca,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Hombre,3,Ingreso superior a 24 horas,443677,4475741,false,false
2024S000389,2024-01-06,13:08:00,CALL. ALEJANDRO MORAN / CALL. JUAN FRANCISCO,11,11,Carabanchel,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,437784,4470932,false,false
2024S000469,2024-01-07,13:15:00,"CTRA. TELEFERICO, 1",1,9,Moncloa - Aravaca,Caída,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,435993,4474892,false,false
2024S000469,2024-01-07,13:15:00,"CTRA. TELEFERICO, 1",1,9,Moncloa - Aravaca,Caída,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,435993,4474892,false,false
2024S000511,2024-01-08,11:00:00,"CALL. ALCALA, 265",265,15,Ciudad Lineal,Colisión lateral,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,14,Sin asistencia sanitaria,444242,4475898,false,false
2024S000682,2024-01-09,16:20:00,"CALL. AYALA, 1",1,4,Salamanca,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,441553,4475486,false,false
2024S000803,2024-01-10,08:15:00,"PASEO. PONTONES, 18",18,2,Arganzuela,Colisión fronto-lateral,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Mujer,2,Ingreso inferior o igual a 24 horas,439123,4472870,false,false
2024S000909,2024-01-11,15:20:00,"CALL. ALBADALEJO, 42",42,20,San Blas - Canillejas,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,447764,4476314,false,false
2024S000988,2024-01-12,16:40:00,"CALL. ANTONIO LOPEZ, 256A",256A,12,Usera,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,Desconocido,Hombre,14,Sin asistencia sanitaria,440958,4470107,false,false
2024S001002,2024-01-12,17:12:00,"CALL. OLIVAR, 52",52,1,Centro,Atropello a persona,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,14,Sin asistencia sanitaria,440486,4473427,false,false
2024S001002,2024-01-12,17:12:00,"CALL. OLIVAR, 52",52,1,Centro,Atropello a persona,Despejado,Bicicleta,Peatón,De 65 a 69 años,Mujer,,,440486,4473427,false,false
2024S001006,2024-01-12,14:35:00,"CALL. LUCHANA, 16",16,7,Chamberí,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,,,440573,4475744,false,false
2024S001024,2024-01-12,22:00:00,"CALL. MENDEZ ALVARO, 21",21,2,Arganzuela,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,2,Ingreso inferior o igual a 24 horas,441837,4472409,false,false
2024S001264,2024-01-13,08:25:00,"CALL. TOLEDO, 172",172,2,Arganzuela,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,439420,4472618,true,false
2024S001308,2024-01-13,17:45:00,SENDA FLUVIAL DEL MANZANARES S/N,43,9,Moncloa - Aravaca,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,436147,4480165,false,false
2024S001419,2024-01-14,09:14:00,"AVDA. REAL DE PINTO, 1",1,17,Villaverde,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,Más de 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440042,4466768,false,false
2024S001426,2024-01-14,10:50:00,CTRA. ESTACION DE HORTALEZA / AVDA. NICETO ALCALA ZAMORA,1,16,Hortaleza,Caída,Lluvia débil,Bicicleta,Conductor,De 55 a 59 años,Hombre,1,Atención en urgencias sin posterior ingreso,444927,4481291,false,false
2024S001434,2024-01-14,14:35:00,CALL. PEZ / CALL. SAN ROQUE,6,1,Centro,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440255,4474940,false,false
2024S001447,2024-01-14,18:30:00,CALL. CARAMUEL / CALL. VIA CARPETANA,70,10,Latina,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 40 a 44 años,Mujer,3,Ingreso superior a 24 horas,438058,4472659,false,false
2024S001451,2024-01-14,19:30:00,CALL. VIRGEN DE LA ALEGRIA / PLAZA. JOSE BANUS,18,15,Ciudad Lineal,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,444389,4476241,false,false
2024S001473,2024-01-15,08:18:00,CALL. MORATINES / CALL. MARTIN DE VARGAS,8,2,Arganzuela,Caída,Lluvia débil,Bicicleta,Conductor,De 40 a 44 años,Hombre,1,Atención en urgencias sin posterior ingreso,440404,4472785,false,false
2024S001478,2024-01-03,08:45:00,CALL. MIRASIERRA / CALL. CALESAS,7,12,Usera,Caída,Lluvia débil,Bicicleta,Conductor,De 60 a 64 años,Hombre,3,Ingreso superior a 24 horas,440101,4471249,false,false
2024S001485,2024-01-14,14:05:00,CALL. TUDESCOS / CALL. MIGUEL MOYA,4,1,Centro,Caída,LLuvia intensa,Bicicleta,Conductor,De 45 a 49 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,440139,4474731,false,false
2024S001491,2024-01-15,11:45:00,CALL. CABEZA MESADA / CALL. PUERTO DE PORZUNA,38,18,Villa De Vallecas,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,446961,4469334,false,false
2024S001495,2024-01-15,12:00:00,"PLAZA. INDEPENDENCIA, 5",5,4,Salamanca,Caída,Lluvia débil,Bicicleta,Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,441593,4474657,false,false
2024S001558,2024-01-15,20:30:00,CALL. MESON DE PAREDES / CALL. JUANELO,7,1,Centro,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 21 a 24 años,Hombre,,,440179,4473657,false,false
2024S001567,2024-01-16,08:20:00,CALL. ANTONIO TOLEDANO / CALL. FUNDADORES,9,4,Salamanca,Caída,Nublado,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,443427,4475101,false,false
2024S001576,2024-01-16,12:00:00,CALL. DATIL / CALL. CARABANCHEL BAJO,33,11,Carabanchel,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,436665,4469684,false,false
2024S001577,2024-01-15,11:25:00,CALL. NECTAR / CALL. SAN MARIANO,22,20,San Blas - Canillejas,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,448083,4477011,false,false
2024S001589,2024-01-16,14:44:00,"CALL. ALBERTO AGUILERA, 10",10,7,Chamberí,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,440029,4475700,false,false
2024S001613,2024-01-16,18:28:00,"CMNO. ZARZON, 6",6,9,Moncloa - Aravaca,Caída,Lluvia débil,Bicicleta,Conductor,De 10 a 14 años,Hombre,14,Sin asistencia sanitaria,435449,4473435,false,false
2024S001639,2024-01-17,07:45:00,CALL. GENERAL RICARDOS / CALL. ARMENGOT,14,11,Carabanchel,Alcance,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,,,439067,4472024,false,false
2024S001750,2024-01-18,20:15:00,"CALL. FERRAZ, 24",24,9,Moncloa - Aravaca,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,439231,4475191,false,false
2024S001791,2024-01-19,08:30:00,"PLAZA. VILLA, 1",1,1,Centro,Caída,LLuvia intensa,Bicicleta,Conductor,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,439719,4474114,false,false
2024S001803,2024-01-19,15:20:00,CALL. JORGE JUAN / CALL. ALCALA,64,4,Salamanca,Caída,Lluvia débil,Bicicleta EPAC (pedaleo asistido),Conductor,De 45 a 49 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,442469,4474982,false,false
2024S001811,2024-01-19,15:20:00,"CALL. BOLIVAR, 22A",22A,2,Arganzuela,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,441323,4471539,false,false
2024S001811,2024-01-19,15:20:00,"CALL. BOLIVAR, 22A",22A,2,Arganzuela,Caída,Lluvia débil,Bicicleta,Peatón,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,441323,4471539,false,false
2024S002228,2024-01-21,15:50:00,"CALL. VERSALLES, 157A",157A,20,San Blas - Canillejas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,448090,4474360,false,false
2024S002428,2024-01-23,17:30:00,"CALL. NADOR, 23",23,6,Tetuán,Colisión lateral,,Bicicleta EPAC (pedaleo asistido),Conductor,De 10 a 14 años,Hombre,14,Sin asistencia sanitaria,441064,4480544,false,false
2024S002432,2024-01-23,18:50:00,CALL. CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN / CALL. CARAMUEL,1,10,Latina,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,2,Ingreso inferior o igual a 24 horas,438073,4472796,false,false
2024S002437,2024-01-23,18:50:00,"CALL. VALMOJADO, 45",45,10,Latina,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,435661,4472156,false,false
2024S002481,2024-01-23,07:40:00,PASEO. CAMOENS Y VALERO / PASEO. RUPERTO CHAPI,4,9,Moncloa - Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,438336,4476027,false,false
2024S002516,2024-01-24,11:50:00,CALL. ALCALA / IDB. PUENTE DE VENTAS,206,4,Salamanca,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443912,4475826,false,false
2024S002705,2024-01-25,13:53:00,"CALL. EMBAJADORES, 158",158,2,Arganzuela,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,,,440897,4472007,false,false
