tipo_semaforo,tipo_luz,distrito,id,id_cruce,fecha_inst,longitud,latitud
BICI,3/100,15,52384,1445,1996-01-26,-3.655013,40.423347
PEATON - BICI,2/200,17,58075,4722,,-3.705336,40.352789
PEATON - BICI,2/200,8,222,1530,1998-06-08,-3.685520,40.504901
PEATON - BICI,2/200,8,225,2027,2007-09-17,-3.694808,40.506335
PEATON - BICI,2/200,8,226,2027,2007-09-17,-3.694730,40.506296
PEATON - BICI,2/200,14,1246,1040,1981-12-18,-3.641355,40.410087
PEATON - BICI,2/200,14,1247,1040,1981-12-18,-3.641491,40.410091
PEATON - BICI,2/200,17,58087,4722,,-3.705322,40.351900
PEATON - BICI,2/200,1,1793,116,1964-03-14,-3.708725,40.416018
BICI,3/200,6,58098,108,,-3.689988,40.462054
BICI,3/200,6,58099,108,,-3.690060,40.462105
BICI,3/100,6,58100,108,,-3.690333,40.462026
PEATON - BICI,2/200,6,58463,114,,-3.689781,40.465330
BICI,3/200,8,59085,1173,,-3.709030,40.480794
BICI,3/200,8,59088,1173,,-3.708928,40.480853
BICI,3/200,14,6006,599,1973-10-26,-3.655099,40.410590
BICI,3/200,14,6010,599,1973-10-26,-3.655853,40.410552
BICI,3/200,14,6017,642,1974-12-02,-3.652252,40.410420
BICI,3/200,14,6060,675,1975-10-20,-3.647402,40.408895
BICI,3/200,14,6093,676,1975-10-20,-3.645295,40.408356
PEATON - BICI,2/200,8,221,1530,1998-06-08,-3.685442,40.504902
PEATON - BICI,2/200,8,227,2026,2007-09-17,-3.695835,40.506834
PEATON - BICI,2/200,8,228,2026,2007-09-17,-3.695760,40.506796
PEATON - BICI,2/200,14,1190,1742,2003-01-30,-3.629659,40.410376
PEATON - BICI,2/200,14,1191,1742,2003-01-30,-3.629716,40.410392
PEATON - BICI,2/200,14,1192,1742,2003-01-30,-3.629786,40.410415
PEATON - BICI,2/200,14,1193,1742,2003-01-30,-3.629841,40.410432
PEATON - BICI,2/200,14,1194,1742,2003-01-30,-3.629969,40.410636
PEATON - BICI,2/200,14,1195,1742,2003-01-30,-3.629949,40.410566
