tipo_elem;distrito;id;id_cruce;fecha_inst;utm_x;utm_y;longitud;latitud
SEMAFORO 3/100 BICI;15;52384;1445;26/01/96 00:00;444.434.874.843.534;4.474.952.321.064.690;-365.501.336.413.727;4.042.334.743.167.040
SEMAFORO 2/200 PEATON - BICI;17;58075;4722;;440.103.463.471.617;4.467.153.278.814.040;-370.533.607.743.895;4.035.278.912.654.800
SEMAFORO 2/200 PEATON - BICI;8;222;1530;08/06/98 00:00;441.917.247.247.281;4.484.024.453.323.420;-368.552.008.731.072;405.049.011.833.551
SEMAFORO 2/200 PEATON - BICI;8;225;2027;17/09/07 00:00;441.131.503.368.944;4.484.189.864.861.310;-369.480.854.152.804;4.050.633.588.732.770
SEMAFORO 2/200 PEATON - BICI;8;226;2027;17/09/07 00:00;44.113.810.369.091;4.484.185.481.372.500;-36.947.302.377.334;4.050.629.686.766.130
SEMAFORO 2/200 PEATON - BICI;14;1246;1040;18/12/81 00:00;445.582.829.315.698;4.473.471.977.039.800;-364.135.520.483.763;4.041.008.749.638.680
SEMAFORO 2/200 PEATON - BICI;14;1247;1040;18/12/81 00:00;4.455.712.697.975;4.473.472.513.877.680;-364.149.148.196.022;4.041.009.157.678.540
SEMAFORO 2/200 PEATON - BICI;17;58087;4722;;440.103.823.783.777;4.467.054.626.877.760;-37.053.225.752.604;4.035.190.043.967.160
SEMAFORO 2/200 PEATON - BICI;1;1793;116;14/03/64 00:00;439.871.890.465.099;4.474.173.949.966.880;-370.872.543.836.401;404.160.182.703.998
SEMAFORO 3/200 BICI;6;58098;108;;44.150.145.411.909;4.479.271.373.044.950;-368.998.854.989.671;4.046.205.435.570.490
SEMAFORO 3/200 BICI;6;58099;108;;44.149.542.313.097;447.927.709.810.965;-369.006.020.808.555;4.046.210.550.490.260
SEMAFORO 3/100 BICI;6;58100;108;;441.472.219.057.333;4.479.268.523.600.150;-369.033.309.002.694;4.046.202.662.791.520
SEMAFORO 2/200 PEATON - BICI;6;58463;114;;441.521.888.830.102;4.479.634.861.533.710;-368.978.103.540.709;4.046.533.025.277.560
SEMAFORO 3/200 BICI;8;59085;1173;;439.903.773.319.059;448.136.432.030.644;-370.903.007.478.081;4.048.079.439.230.410
SEMAFORO 3/200 BICI;8;59088;1173;;439.912.398.316.597;4.481.370.826.118.230;-370.892.893.887.446;4.048.085.362.318.780
SEMAFORO 3/200 BICI;14;6006;599;26/10/73 00:00;444.417.071.699.805;4.473.536.353.396.840;-365.509.948.565.063;4.041.059.041.054.070
SEMAFORO 3/200 BICI;14;6010;599;26/10/73 00:00;444.353.085.757.972;447.353.261.740.888;-365.585.324.935.311;4.041.055.247.955.550
SEMAFORO 3/200 BICI;14;6017;642;02/12/74 00:00;444.658.457.243.366;4.473.515.684.667.550;-365.225.289.709.081;4.041.042.029.805.790
SEMAFORO 3/200 BICI;14;6060;675;20/10/75 00:00;445.068.742.014.291;4.473.343.360.204.870;-364.740.271.696.513;4.040.889.507.440.330
SEMAFORO 3/200 BICI;14;6093;676;20/10/75 00:00;445.247.063.182.958;4.473.282.264.667.510;-364.529.594.891.034;4.040.835.643.749.160
SEMAFORO 2/200 PEATON - BICI;8;221;1530;08/06/98 00:00;441.923.785.728.869;4.484.024.510.062.290;-368.544.292.750.865;4.050.490.215.220.500
SEMAFORO 2/200 PEATON - BICI;8;227;2026;17/09/07 00:00;441.044.889.985.047;4.484.245.939.492.380;-369.583.596.443.391;4.050.683.487.645.230
SEMAFORO 2/200 PEATON - BICI;8;228;2026;17/09/07 00:00;441.051.276.816.792;4.484.241.597.158.330;-369.576.018.290.713;4.050.679.621.306.160
SEMAFORO 2/200 PEATON - BICI;14;1190;1742;30/01/03 00:00;446.575.419.618.141;4.473.496.892.230.290;-362.965.940.520.173;4.041.037.624.444.020
SEMAFORO 2/200 PEATON - BICI;14;1191;1742;30/01/03 00:00;446.570.560.361.146;447.349.878.290.848;-362.971.683.164.061;4.041.039.296.494.930
SEMAFORO 2/200 PEATON - BICI;14;1192;1742;30/01/03 00:00;446.564.689.358.461;4.473.501.377.694.190;-362.978.624.094.494;4.041.041.596.351.730
SEMAFORO 2/200 PEATON - BICI;14;1193;1742;30/01/03 00:00;446.560.022.342.092;4.473.503.217.125.210;-362.984.139.753.381;4.041.043.223.463.860
SEMAFORO 2/200 PEATON - BICI;14;1194;1742;30/01/03 00:00;446.549.294.144.234;4.473.525.988.432.360;-362.996.974.528.718;4.041.063.668.378.980
SEMAFORO 2/200 PEATON - BICI;14;1195;1742;30/01/03 00:00;446.550.929.145.757;4.473.518.160.862.480;-362.994.981.873.697;4.041.056.627.320.420
SEMAFORO 2/200 PEATON - BICI;20;3361;663;25/05/75 00:00;446.722.152.586.906;4.474.997.382.906.280;-362.805.579.882.873;4.042.390.298.322.740
SEMAFORO 2/200 PEATON - BICI;20;3362;663;25/05/75 00:00;446.729.157.203.614;4.475.000.836.703.260;-362.797.352.029.074;4.042.393.454.561.080
SEMAFORO 2/200 PEATON - BICI;20;3367;569;22/05/73 00:00;446.864.068.394.455;4.474.814.743.157.420;-362.636.768.434.368;4.042.226.672.977.620
