id,name,population
01001,Alegría-Dulantzi,2925.0
01002,Amurrio,10307.0
01004_AM,Artziniega agregacion de municipios,3005.0
01009_AM,Asparrena agregacion de municipios,4599.0
01010,Ayala/Aiara,2951.0
01017_AM,Campezo/Kanpezu agregacion de municipios,4314.0
01028_AM,Labastida/Bastida agregacion de municipios,7515.0
01036,Laudio/Llodio,18009.0
01043,Oyón-Oion,3418.0
01047_AM,Erriberabeitia agregacion de municipios,3771.0
01051,Agurain/Salvatierra,5029.0
01054_AM,Urkabustaiz agregacion de municipios,2636.0
01058_AM,Legutio agregacion de municipios,4466.0
01059,Vitoria-Gasteiz,253093.0
01063_AM,Zuia agregacion de municipios,4120.0
01901,Iruña Oka/Iruña de Oca,3468.0
02003,Albacete,172722.0
02008_AM,Alcaraz agregacion de municipios,4946.0
02009,Almansa,24388.0
02010_AM,Alpera agregacion de municipios,5058.0
02012_AM,Balazote agregacion de municipios,5804.0
02019_AM,"Bonillo, El agregacion de municipios",4959.0
02021_AM,Casas de Juan Núñez agregacion de municipios,5457.0
02024_AM,Casas-Ibáñez agregacion de municipios,5318.0
02025,Caudete,10077.0
02029,Chinchilla de Monte-Aragón,4344.0
02030,Elche de la Sierra,3557.0
02033_AM,Fuente-Álamo agregacion de municipios,8111.0
02034_AM,Fuentealbilla agregacion de municipios,4405.0
02035_AM,"Gineta, La agregacion de municipios",4403.0
02037,Hellín,30427.0
02045,Madrigueras,4654.0
02053,Munera,3433.0
02063_AM,Pozohondo agregacion de municipios,5239.0
02067_AM,Riópar agregacion de municipios,4884.0
02069,"Roda, La",15401.0
02072_AM,Socovos agregacion de municipios,3501.0
02073_AM,Tarazona de la Mancha agregacion de municipios,7265.0
02074,Tobarra,7691.0
02075_AM,Valdeganga agregacion de municipios,3932.0
02079,Villamalea,4040.0
02081,Villarrobledo,24978.0
02086_AM,Yeste agregacion de municipios,4673.0
02901,Pozo Cañada,2797.0
03002_AM,Agost agregacion de municipios,6597.0
03005_AM,Albatera agregacion de municipios,14860.0
03006_AM,Alcalalí agregacion de municipios,2824.0
03009,Alcoy/Alcoi,59128.0
03011,"Alfàs del Pi, l'",20495.0
03012,Algorfa,3396.0
03013_AM,Algueña agregacion de municipios,2633.0
03014,Alicante/Alacant,337304.0
03015,Almoradí,24343.0
03018,Altea,22657.0
03019,Aspe,21088.0
03021,Banyeres de Mariola,7113.0
03023_AM,Beneixama agregacion de municipios,3327.0
03024,Benejúzar,5453.0
03026_AM,Beniarbeig agregacion de municipios,5934.0
03028_AM,Beniarrés agregacion de municipios,5524.0
03031,Benidorm,69118.0
03034_AM,Benijófar agregacion de municipios,5787.0
03035_AM,Benilloba agregacion de municipios,5262.0
03041,Benissa,11462.0
03042,"Benitachell/Poble Nou de Benitatxell, el",4447.0
03043,Biar,3628.0
03044_AM,Bigastro agregacion de municipios,9024.0
03046,Busot,3207.0
03047,Calp,23530.0
03048,Callosa d'en SarriÍ,7589.0
03049,Callosa de Segura,19273.0
03050,"Campello, el",29013.0
03053,Castalla,10752.0
03055,Catral,8880.0
03056,Cocentaina,11451.0
03058,Cox,7427.0
03059,Crevillent,29717.0
03063,Dénia,42953.0
03064,Dolores,7620.0
03065,Elche/Elx,234205.0
03066,Elda,52551.0
03069,Finestrat,7402.0
03070,Formentera del Segura,4337.0
03071,Gata de Gorgos,6223.0
03074_AM,Granja de Rocamora agregacion de municipios,4567.0
03076,Guardamar del Segura,15983.0
03077,"Fondó de les Neus, el/Hondón de las Nieves",2634.0
03079,Ibi,23652.0
03081,Xaló,2892.0
03082,Jávea/Xàbia,27983.0
03083,Jijona/Xixona,6861.0
03088,Monforte del Cid,8500.0
03089,Monóvar/Monòver,12188.0
03090,Mutxamel,25679.0
03092_AM,Muro de Alcoy agregacion de municipios,10812.0
03093,Novelda,25611.0
03094,"Nucia, la",18108.0
03095,Ondara,7080.0
03096,Onil,7569.0
03097_AM,Orba agregacion de municipios,6159.0
03099,Orihuela,78940.0
03101,Pedreguer,8006.0
03102,Pego,10240.0
03104,Petrer,34009.0
03105,"Pinós, el/Pinoso",8142.0
03107,Polop,5069.0
03109,Rafal,4597.0
03111,Redován,8058.0
03112_AM,Relleu agregacion de municipios,3009.0
03113,Rojales,15978.0
03114,"Romana, la",2542.0
03118,San Fulgencio,8447.0
03119,Sant Joan d'Alacant,24363.0
03120,San Miguel de Salinas,6553.0
03121,Santa Pola,34148.0
03122,San Vicente del Raspeig/Sant Vicent del Raspeig,58912.0
03123_AM,Sax agregacion de municipios,11577.0
03128,Teulada,11466.0
03133,Torrevieja,82842.0
03138,"Verger, el",4841.0
03139,"Villajoyosa/Vila Joiosa, la",34684.0
03140,Villena,34025.0
03901,"Poblets, els",2721.0
03902,Pilar de la Horadada,22597.0
03903,"Montesinos, Los",2184.0
04003,Adra,25501.0
04006,Albox,12070.0
04011_AM,Alhama de Almería agregacion de municipios,5309.0
04013,Almería,200753.0
04016,Antas,3355.0
04017_AM,Arboleas agregacion de municipios,8576.0
04024,Benahadux,4526.0
04029,Berja,12708.0
04031,Cantoria,3547.0
04032,Carboneras,8183.0
04035,Cuevas del Almanzora,14623.0
04038,Dalías,4102.0
04044_AM,Fines agregacion de municipios,4519.0
04045_AM,Fiñana agregacion de municipios,5568.0
04047_AM,Gádor agregacion de municipios,4973.0
04048_AM,"Gallardos, Los agregacion de municipios",5466.0
04049,Garrucha,9875.0
04050_AM,Gérgal agregacion de municipios,5350.0
04052,Huércal de Almería,17974.0
04053,Huércal-Overa,19744.0
04057_AM,Láujar de Andarax agregacion de municipios,6119.0
04062_AM,Macael agregacion de municipios,6223.0
04064,Mojácar,7257.0
04066,Níjar,31458.0
04069,Olula del Río,6258.0
04070_AM,Oria agregacion de municipios,5749.0
04074,Pechina,4143.0
04075,Pulpí,10342.0
04079,Roquetas de Mar,98725.0
04083_AM,Serón agregacion de municipios,3049.0
04086_AM,Sorbas agregacion de municipios,3871.0
04088_AM,Tabernas agregacion de municipios,6066.0
04092,Tíjola,3528.0
04093,Turre,3892.0
04098_AM,Vélez-Blanco agregacion de municipios,4682.0
04099,Vélez-Rubio,6521.0
04100,Vera,17700.0
04101,Viator,6039.0
04102,Vícar,27398.0
04902,"Ejido, El",84005.0
04903,"Mojonera, La",9086.0
04904,Balanegra,2959.0
05002_AM,"Adrada, La agregacion de municipios",4893.0
05013_AM,"Arenal, El agregacion de municipios",4665.0
05014_AM,Arenas de San Pedro agregacion de municipios,6862.0
05016,Arévalo,7881.0
05019,Ávila,57949.0
05021_AM,"Barco de Ávila, El agregacion de municipios",4814.0
05047,Candeleda,5049.0
05054_AM,Casavieja agregacion de municipios,5123.0
05057,Cebreros,3246.0
05102_AM,"Hoyo de Pinares, El agregacion de municipios",4476.0
05114_AM,Madrigal de las Altas Torres agregacion de municipios,5055.0
05163_AM,Navaluenga agregacion de municipios,6986.0
05168_AM,"Navas del Marqués, Las agregacion de municipios",5504.0
05186_AM,Piedrahíta agregacion de municipios,4405.0
05204_AM,Sanchidrián agregacion de municipios,5016.0
05220_AM,San Pedro del Arroyo agregacion de municipios,5246.0
05238_AM,Solosancho agregacion de municipios,5593.0
05240_AM,Sotillo de la Adrada agregacion de municipios,6227.0
05241_AM,"Tiemblo, El agregacion de municipios",4772.0
05242_AM,Tiñosillos agregacion de municipios,4659.0
06002,Aceuchal,5467.0
06005_AM,"Albuera, La agregacion de municipios",6889.0
06006,Alburquerque,5245.0
06011,Almendralejo,33741.0
06012_AM,Arroyo de San Serván agregacion de municipios,6330.0
06014,Azuaga,7702.0
06015,Badajoz,150610.0
06016_AM,Barcarrota agregacion de municipios,5190.0
06019_AM,Berlanga agregacion de municipios,7780.0
06020_AM,Bienvenida agregacion de municipios,3848.0
06022,Burguillos del Cerro,3076.0
06023,Cabeza del Buey,4732.0
06025,Calamonte,6152.0
06028,Campanario,4823.0
06033_AM,Casas de Don Pedro agregacion de municipios,3718.0
06036_AM,Castuera agregacion de municipios,8133.0
06039_AM,"Coronada, La agregacion de municipios",3892.0
06044_AM,Don Benito agregacion de municipios,39214.0
06050,Fregenal de la Sierra,4811.0
06051_AM,Fuenlabrada de los Montes agregacion de municipios,3726.0
06052_AM,Fuente de Cantos agregacion de municipios,5405.0
06054,Fuente del Maestre,6704.0
06055_AM,Fuentes de León agregacion de municipios,6322.0
06058_AM,"Garrovilla, La agregacion de municipios",4793.0
06059_AM,Granja de Torrehermosa agregacion de municipios,2806.0
06060_AM,Guareña agregacion de municipios,9251.0
06063,Herrera del Duque,3465.0
06066_AM,Higuera de Vargas agregacion de municipios,5430.0
06067_AM,Higuera la Real agregacion de municipios,3219.0
06069_AM,Hornachos agregacion de municipios,5240.0
06070_AM,Jerez de los Caballeros agregacion de municipios,10658.0
06072,Lobón,2760.0
06074_AM,Llerena agregacion de municipios,7348.0
06080_AM,Medellín agregacion de municipios,3906.0
06083,Mérida,59424.0
06085_AM,Monesterio agregacion de municipios,6297.0
06087_AM,Monterrubio de la Serena agregacion de municipios,3120.0
06088,Montijo,15483.0
06091,Navalvillar de Pela,4392.0
06093_AM,Oliva de la Frontera agregacion de municipios,5798.0
06094_AM,Oliva de Mérida agregacion de municipios,5653.0
06095,Olivenza,11871.0
06097_AM,Orellana la Vieja agregacion de municipios,3702.0
06103,Puebla de la Calzada,5861.0
06108,Puebla de Sancho Pérez,2665.0
06109,Quintana de la Serena,4576.0
06113_AM,Ribera del Fresno agregacion de municipios,5587.0
06117_AM,Salvatierra de los Barros agregacion de municipios,4721.0
06120,Santa Amalia,3957.0
06121,Santa Marta,4094.0
06122,"Santos de Maimona, Los",8064.0
06123_AM,San Vicente de Alcántara agregacion de municipios,7389.0
06125_AM,Siruela agregacion de municipios,5009.0
06126_AM,Solana de los Barros agregacion de municipios,4047.0
06127,Talarrubias,3355.0
06128,Talavera la Real,5311.0
06135_AM,Trujillanos agregacion de municipios,3209.0
06141_AM,Valencia del Ventoso agregacion de municipios,4681.0
06143,Valverde de Leganés,4157.0
06149,Villafranca de los Barros,12534.0
06153,Villanueva de la Serena,25837.0
06154,Villanueva del Fresno,3335.0
06155_AM,Villar del Rey agregacion de municipios,7727.0
06158,Zafra,16786.0
06159,Zahínos,2780.0
06160_AM,Zalamea de la Serena agregacion de municipios,5570.0
06162,"Zarza, La",3380.0
06901,Valdelacalzada,2731.0
06903_AM,Guadiana agregacion de municipios,4454.0
07001,Alaró,5741.0
07002,Alaior,9477.0
07003,Alcúdia,20651.0
07004,Algaida,5963.0
07005,Andratx,11571.0
07006,ArtÍ,7984.0
07008,Binissalem,8895.0
07010,Bunyola,7037.0
07011,CalviÍ,51567.0
07012_AM,Campanet agregacion de municipios,3768.0
07013,Campos,11425.0
07014,Capdepera,12003.0
07015,Ciutadella de Menorca,30638.0
07016,Consell,4243.0
07020,Esporles,5134.0
07022,Felanitx,18164.0
07023_AM,Ferreries agregacion de municipios,6392.0
07024,Formentera,11708.0
07026,Eivissa,50643.0
07027,Inca,33726.0
07028_AM,Lloret de Vistalegre agregacion de municipios,2844.0
07029,Lloseta,6250.0
07030_AM,Llubí agregacion de municipios,4627.0
07031,Llucmajor,38224.0
07032,Maó-Mahón,29578.0
07033,Manacor,44809.0
07036,Marratxí,38357.0
07037,"Mercadal, Es",5444.0
07038_AM,Montuïri agregacion de municipios,5272.0
07039,Muro,7515.0
07040,Palma,419366.0
07041_AM,Petra agregacion de municipios,3925.0
07042,Pollença,16969.0
07043,Porreres,5624.0
07044,"Pobla, Sa",13873.0
07045_AM,Puigpunyent agregacion de municipios,5641.0
07046,Sant Antoni de Portmany,27205.0
07047_AM,Sencelles agregacion de municipios,5266.0
07048,Sant Josep de sa Talaia,28299.0
07050,Sant Joan de Labritja,6635.0
07051,Sant Llorenç des Cardassar,8920.0
07052,Sant Lluís,6877.0
07054,Santa Eulària des Riu,40038.0
07055,Santa Margalida,12767.0
07056,Santa María del Camí,7507.0
07057,Santanyí,12342.0
07058_AM,Selva agregacion de municipios,6558.0
07059,"Salines, Ses",5010.0
07060,Sineu,4122.0
07061,Sóller,13491.0
07062,Son Servera,11835.0
07064,"Castell, Es",7530.0
07065,Vilafranca de Bonany,3558.0
08001,Abrera,12620.0
08003,Alella,9954.0
08005,"Ametlla del Vallès, L'",8787.0
08006,Arenys de Mar,15942.0
08007,Arenys de Munt,9191.0
08009,Argentona,12629.0
08010_AM,Artés agregacion de municipios,8068.0
08011_AM,Aviàagregacion de municipios,4146.0
08014,Aiguafreda,2556.0
08015,Badalona,223006.0
08016_AM,Bagàagregacion de municipios,4673.0
08017,BalenyÍ,3900.0
08018_AM,Balsareny agregacion de municipios,4698.0
08019,Barcelona,1636732.0
08020,Begues,7356.0
08022,Berga,16682.0
08023,Bigues i Riells,9542.0
08029,Cabrera de Mar,4787.0
08030,Cabrils,7567.0
08031,Calaf,3597.0
08032,Caldes d'Estrac,3097.0
08033,Caldes de Montbui,17797.0
08034_AM,Calders agregacion de municipios,3913.0
08035,Calella,19236.0
08037_AM,Calldetenes agregacion de municipios,4773.0
08038_AM,Callús agregacion de municipios,3593.0
08040,Canet de Mar,14810.0
08041,Canovelles,16872.0
08042,Cànoves i Samalús,3219.0
08043,Canyelles,4886.0
08044_AM,Capellades agregacion de municipios,6689.0
08046,Cardedeu,18609.0
08047_AM,Cardona agregacion de municipios,5207.0
08051,Castellar del Vallès,24659.0
08053,Castellbell i el Vilar,3853.0
08054,Castellbisbal,12610.0
08056,Castelldefels,67226.0
08064,Castellterçol,2632.0
08067,Centelles,7595.0
08068,Cervelló,9233.0
08069,Collbató,4655.0
08072,Corbera de Llobregat,15017.0
08073,Cornellà de Llobregat,89300.0
08074,Cubelles,16051.0
08075,Dosrius,5685.0
08076,Esparreguera,22358.0
08077,Esplugues de Llobregat,46777.0
08085_AM,Font-rubí agregacion de municipios,5039.0
08086,"Franqueses del Vallès, Les",20351.0
08088,"Garriga, La",16733.0
08089,GavÍ,46931.0
08091_AM,Gelida agregacion de municipios,9719.0
08092,Gironella,4916.0
08094_AM,"Granada, La agregacion de municipios",5290.0
08096,Granollers,62475.0
08097_AM,Gualba agregacion de municipios,3229.0
08098_AM,Sant Salvador de Guardiola agregacion de municipios,5422.0
08100,Gurb,2705.0
08101,"Hospitalet de Llobregat, L'",264657.0
08102,Igualada,40875.0
08105,"Llagosta, La",13259.0
08106,Llinars del Vallès,10116.0
08107,Lliçà d'Amunt,15673.0
08108,Lliçà de Vall,6580.0
08110,Malgrat de Mar,18950.0
08112,Manlleu,20804.0
08113,Manresa,78192.0
08114,Martorell,28667.0
08115_AM,Martorelles agregacion de municipios,5705.0
08117,"Masies de Voltregà, Les",3178.0
08118,"Masnou, El",23848.0
08119,Masquefa,9623.0
08120,Matadepera,9672.0
08121,Mataró,129120.0
08122_AM,Mediona agregacion de municipios,6307.0
08123,Molins de Rei,26104.0
08124,Mollet del Vallès,51151.0
08125,Montcada i Reixac,36794.0
08126,Montgat,12260.0
08127_AM,Monistrol de Montserrat agregacion de municipios,3449.0
08135,Montmeló,8798.0
08136,Montornès del Vallès,16804.0
08138,MoiÍ,6474.0
08140,Navarcles,6068.0
08141,Navàs,5973.0
08143,Òdena,3681.0
08145_AM,Olèrdola agregacion de municipios,6299.0
08147,Olesa de Montserrat,24132.0
08148,Olivella,4127.0
08149_AM,Olost agregacion de municipios,3125.0
08155,Palafolls,9646.0
08156,Palau-solità i Plegamans,14917.0
08157,PallejÍ,11636.0
08158,"Papiol, El",4232.0
08159,Parets del Vallès,18907.0
08161,Piera,16411.0
08162_AM,"Hostalets de Pierola, Els agregacion de municipios",5241.0
08163,Pineda de Mar,27974.0
08167,PolinyÍ,8494.0
08169,"Prat de Llobregat, El",65532.0
08170_AM,"Prats de Rei, Els agregacion de municipios",4015.0
08171,Prats de Lluçanès,2634.0
08172,Premià de Mar,28523.0
08175_AM,Puig-reig agregacion de municipios,5822.0
08180,Ripollet,39139.0
08181,"Roca del Vallès, La",10676.0
08182,"Pont de Vilomara i Rocafort, El",4016.0
08183,Roda de Ter,6449.0
08184,Rubí,78549.0
08187,Sabadell,216204.0
08191,Sallent,6717.0
08192,Santpedor,7566.0
08194,Sant Adrià de Besòs,37283.0
08196,Sant Andreu de la Barca,27175.0
08197,Sant Andreu de Llavaneres,11150.0
08198,Sant Antoni de Vilamajor,6383.0
08200,Sant Boi de Llobregat,83755.0
08202,Sant Celoni,18176.0
08203,Sant Cebrià de Vallalta,3570.0
08204,Sant Climent de Llobregat,4193.0
08205,Sant Cugat del Vallès,94012.0
08207,Sant Esteve de Palautordera,2997.0
08208_AM,Sant Esteve Sesrovires agregacion de municipios,10230.0
08209,Sant Fost de Campsentelles,8997.0
08210,Sant Feliu de Codines,6406.0
08211,Sant Feliu de Llobregat,45463.0
08213,Sant Fruitós de Bages,8936.0
08214,Vilassar de Dalt,9074.0
08215,Sant Hipòlit de VoltregÍ,3547.0
08217,Sant Joan Despí,34130.0
08218,Sant Joan de Vilatorrada,10871.0
08219,Vilassar de Mar,20936.0
08220_AM,Sant Julià de Vilatorta agregacion de municipios,5411.0
08221,Sant Just Desvern,19379.0
08223,Sant Llorenç Savall,2514.0
08224_AM,Sant Martí de Centelles agregacion de municipios,2638.0
08226_AM,Sant Martí de Tous agregacion de municipios,2916.0
08227_AM,Sant Martí Sarroca agregacion de municipios,4883.0
08230,Premià de Dalt,10419.0
08231,Sant Pere de Ribes,31525.0
08232_AM,Sant Pere de Riudebitlles agregacion de municipios,5146.0
08233_AM,Sant Pere de Torelló agregacion de municipios,6518.0
08234,Sant Pere de Vilamajor,4671.0
08235,Sant Pol de Mar,5538.0
08237_AM,Sant Quirze de Besora agregacion de municipios,5770.0
08238,Sant Quirze del Vallès,20156.0
08240,Sant Sadurní d'Anoia,12840.0
08244,Santa Coloma de Cervelló,8273.0
08245,Santa Coloma de Gramenet,119289.0
08247_AM,Santa Eulàlia de Riuprimer agregacion de municipios,2579.0
08248,Santa Eulàlia de Ronçana,7538.0
08250,Santa Margarida de Montbui,10192.0
08251,Santa Margarida i els Monjos,7664.0
08252,Barberà del Vallès,33016.0
08258_AM,Santa Maria d'Oló agregacion de municipios,2515.0
08259,Santa Maria de Palautordera,9666.0
08260,Santa Perpètua de Mogoda,26033.0
08261,Santa Susanna,3650.0
08262_AM,Sant Vicenç de Castellet agregacion de municipios,10736.0
08263,Sant Vicenç dels Horts,28115.0
08264,Sant Vicenç de Montalt,6523.0
08266,Cerdanyola del Vallès,57217.0
08267,Sentmenat,9347.0
08268_AM,Cercs agregacion de municipios,4886.0
08269,Seva,3696.0
08270,Sitges,30217.0
08273_AM,Subirats agregacion de municipios,5072.0
08274,Súria,5923.0
08278_AM,Taradell agregacion de municipios,6963.0
08279,Terrassa,223011.0
08281,TeiÍ,6532.0
08282,Tiana,9009.0
08283,Tona,8368.0
08284_AM,Tordera agregacion de municipios,19328.0
08285,Torelló,14553.0
08286_AM,"Torre de Claramunt, La agregacion de municipios",6059.0
08288_AM,Torrelles de Foix agregacion de municipios,4841.0
08289,Torrelles de Llobregat,6126.0
08291,Vacarisses,7082.0
08294_AM,Vallgorguina agregacion de municipios,5248.0
08295,Vallirana,15438.0
08296_AM,Vallromanes agregacion de municipios,3373.0
08298,Vic,47319.0
08300_AM,Viladecavalls agregacion de municipios,9717.0
08301,Viladecans,66707.0
08302,Vilanova del Camí,12736.0
08305,Vilafranca del Penedès,39969.0
08307,Vilanova i la Geltrú,67458.0
08902,Vilanova del Vallès,5535.0
08904,Badia del Vallès,13228.0
08905,"Palma de Cervelló, La",3015.0
09018,Aranda de Duero,33084.0
09048_AM,Belorado agregacion de municipios,5319.0
09056,Briviesca,6465.0
09059,Burgos,174051.0
09073_AM,Cardeñadijo agregacion de municipios,4711.0
09109_AM,Condado de Treviño agregacion de municipios,1929.0
09124_AM,Espinosa de los Monteros agregacion de municipios,2527.0
09141_AM,Fuentespina agregacion de municipios,6044.0
09174_AM,Huerta de Rey agregacion de municipios,5125.0
09177_AM,Ibeas de Juarros agregacion de municipios,3974.0
09194,Lerma,2609.0
09209_AM,Medina de Pomar agregacion de municipios,6747.0
09211_AM,Melgar de Fernamental agregacion de municipios,5401.0
09219,Miranda de Ebro,35528.0
09238_AM,Oña agregacion de municipios,5369.0
09289_AM,Quintanar de la Sierra agregacion de municipios,4762.0
09321_AM,Roa agregacion de municipios,5393.0
09330_AM,Salas de los Infantes agregacion de municipios,4897.0
09350_AM,Santa María del Campo agregacion de municipios,4874.0
09363_AM,Sasamón agregacion de municipios,4976.0
09390_AM,Torresandino agregacion de municipios,2804.0
09410,Valle de Mena,3987.0
09413_AM,Valle de Valdebezana agregacion de municipios,4589.0
09434_AM,Villagonzalo Pedernales agregacion de municipios,5550.0
09439_AM,Villalbilla de Burgos agregacion de municipios,4769.0
09903,Villarcayo de Merindad de Castilla la Vieja,4029.0
09907_AM,Alfoz de Quintanadueñas agregacion de municipios,6542.0
10004_AM,Acehúche agregacion de municipios,2712.0
10006_AM,Ahigal agregacion de municipios,5047.0
10010_AM,Alcuéscar agregacion de municipios,5663.0
10014_AM,Aldeanueva de la Vera agregacion de municipios,4744.0
10019_AM,Almaraz agregacion de municipios,5074.0
10020_AM,Almoharín agregacion de municipios,5056.0
10021,Arroyo de la Luz,5663.0
10032_AM,Brozas agregacion de municipios,6491.0
10035_AM,Cabezuela del Valle agregacion de municipios,5019.0
10037,Cáceres,95418.0
10049_AM,Casar de Cáceres agregacion de municipios,6471.0
10050_AM,Casar de Palomero agregacion de municipios,5009.0
10061_AM,Ceclavín agregacion de municipios,6061.0
10064_AM,Cilleros agregacion de municipios,6088.0
10067,Coria,12330.0
10087_AM,Guadalupe agregacion de municipios,4910.0
10089_AM,Guijo de Galisteo agregacion de municipios,5113.0
10096_AM,Hervás agregacion de municipios,5059.0
10104,Jaraíz de la Vera,6499.0
10105_AM,Jarandilla de la Vera agregacion de municipios,5093.0
10109_AM,Logrosán agregacion de municipios,6065.0
10110,Losar de la Vera,2658.0
10113_AM,Madroñera agregacion de municipios,4757.0
10115,Malpartida de Cáceres,4060.0
10116_AM,Malpartida de Plasencia agregacion de municipios,5178.0
10121,Miajadas,9503.0
10127,Montehermoso,5680.0
10128,Moraleja,6685.0
10131,Navalmoral de la Mata,17010.0
10140_AM,Peraleda de la Mata agregacion de municipios,6270.0
10146_AM,Pinofranqueado agregacion de municipios,4932.0
10147_AM,Piornal agregacion de municipios,5226.0
10148,Plasencia,39558.0
10175_AM,Serradilla agregacion de municipios,7010.0
10177_AM,Sierra de Fuentes agregacion de municipios,8209.0
10180_AM,Talayuela agregacion de municipios,9589.0
10184_AM,"Torno, El agregacion de municipios",4850.0
10186_AM,Torrecillas de la Tiesa agregacion de municipios,5133.0
10189,Torrejoncillo,2894.0
10195_AM,Trujillo agregacion de municipios,10258.0
10203,Valencia de Alcántara,5325.0
10205_AM,Valverde del Fresno agregacion de municipios,4806.0
10212_AM,Villanueva de la Vera agregacion de municipios,5414.0
10216_AM,Zarza de Granadilla agregacion de municipios,4968.0
11001,Alcalá de los Gazules,5245.0
11002,Alcalá del Valle,5031.0
11004,Algeciras,122982.0
11005_AM,Algodonales agregacion de municipios,7235.0
11006,Arcos de la Frontera,30902.0
11007,Barbate,22761.0
11008,"Barrios, Los",23983.0
11010,Bornos,7655.0
11011_AM,"Bosque, El agregacion de municipios",5412.0
11012,Cádiz,114244.0
11013,Castellar de la Frontera,3070.0
11014,Conil de la Frontera,23182.0
11015,Chiclana de la Frontera,86306.0
11016,Chipiona,19368.0
11017,Espera,3845.0
11020,Jerez de la Frontera,212801.0
11021,Jimena de la Frontera,6665.0
11022,"Línea de la Concepción, La",63365.0
11023,Medina Sidonia,11813.0
11024_AM,Olvera agregacion de municipios,8816.0
11025,Paterna de Rivera,5470.0
11026_AM,Prado del Rey agregacion de municipios,7046.0
11027,"Puerto de Santa María, El",89060.0
11028,Puerto Real,41771.0
11029,Puerto Serrano,6954.0
11030,Rota,29326.0
11031,San Fernando,94867.0
11032,Sanlúcar de Barrameda,69507.0
11033,San Roque,32178.0
11034,Setenil de las Bodegas,2698.0
11035,Tarifa,18466.0
11037,Trebujena,7042.0
11038,Ubrique,16482.0
11039,Vejer de la Frontera,12572.0
11041,Villamartín,12125.0
11901,Benalup-Casas Viejas,7020.0
11902_AM,San José del Valle agregacion de municipios,5874.0
11903,San Martín del Tesorillo,2821.0
