Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Calle Miguel Moya nº 1,Calle Miguel Moya nº 1,,15,12,Metro Callao,Metro Callao,,2,27,"-3,70569","40,4204"
Plaza Conde Surchill,Plaza Conde Surchill,,3,16,Plaza Conde Suchil,"Plaza del Conde del Valle de Súchil, Madrid",,3,19,"-3,707254","40,430322"
Calle Manuela Malasaña nº 3,Calle Manuela Malasaña nº 3,,2,25,Malasaña,Plan Malasaña,,4,27,"-3,7025","40,428626"
Calle Fuencarral nº 106,Calle Fuencarral nº 106,,4,23,Fuencarral,Fuencarral,,5,27,"-3,702135","40,428521"
Calle Hortaleza nº 63,Calle Hortaleza nº 63,,9,9,Colegio Arquitectos,Colegio Arquitectos,,6,19,"-3,698447","40,424148"
Calle Hortaleza nº 75,Calle Hortaleza nº 75,,18,1,Hortaleza,Casa de las Asociaciones de Hortaleza,,7,19,"-3,697771","40,425191"
Plaza de Alonso Martínez nº 6,Plaza de Alonso Martínez nº 6,,19,5,Metro Alonso Martínez,Metro Alonso Martínez,,8,24,"-3,69544","40,427868"
Plaza de San Miguel nº 10,Plaza de San Miguel nº 10,,12,12,Plaza de San Miguel,Plaza de San Miguel,,9,24,"-3,709508","40,415606"
Calle Marqués de la Ensenada (junto a edif,Calle Marqués de la Ensenada (junto a edif,,21,2,Marqués de la Ensenada,Catastro of Ensenada,,10,23,"-3,692104","40,425403"
Calle San Andrés nº 18 - 20,,,2,21,Plaza del Dos de Mayo,plaza del Dos de Mayo,https://www.wikidata.org/entity/Q1531008,11,23,"-3,7036","40,427"
Calle San Bernardo nº 85 - 87,Calle San Bernardo nº 85 - 87,,11,16,San Hermenegildo,Fiestas de San Hermenegildo,,12,27,"-3,706141","40,428467"
Calle Conde Duque nº 22,Calle Conde Duque nº 22,,3,20,Conde Duque,Duke of Benavente,,13,23,"-3,7105","40,4273"
Ventura Rodríguez,Ventura Rodríguez,,5,22,Ventura Rodríguez,Ventura Rodríguez,,14,27,"-3,713307","40,426043"
Calle norte nº 10,Calle norte nº 10,,1,18,Norte,Norte,,15,19,"-3,707445","40,426238"
Calle San Bernardo nº 22,Calle San Bernardo nº 22,,7,12,San Bernardo,San Bernardo,,16,19,"-3,707481","40,422937"
Plaza de Carlos Cambronero nº 2,Plaza de Carlos Cambronero nº 2,,6,17,Plaza de Carlos Cambronero,Plaza de Carlos Cambronero,,17,23,"-3,704166","40,423126"
Plaza de Pedro Zerolo nº 20,,,9,15,Plaza de Pedro Zerolo,plaza de Pedro Zerolo,https://www.wikidata.org/entity/Q6080146,18,24,"-3,699678","40,420925"
Calle Prim nº 4,Calle Prim nº 4,,20,8,Prim,geometric primitive,,19,28,"-3,695498","40,421862"
Calle Alcalá nº 48,Calle Alcalá nº 48,,15,12,Banco de España,Banco de España,,20A,27,"-3,695247","40,418808"
Plaza de Santo Domingo nº 1,Plaza de Santo Domingo nº 1,,6,18,Santo Domingo,Santo Domingo,,23,24,"-3,708249","40,42026"
Calle Carlos III nº 1,Calle Carlos III nº 1,,12,6,Palacio de Oriente,Palacio de Oriente,,24,18,"-3,71065","40,417767"
Plaza de Celenque nº 1,Plaza de Celenque nº 1,,6,18,Plaza de Celenque A,"Plaza de Celenque, Madrid",,25A,24,"-3,705779","40,41737"
Plaza de Celenque nº 1,Plaza de Celenque nº 1,,13,11,Plaza de Celenque B,Plaza de Celenque B,,25B,24,"-3,705898","40,417369"
Plaza de las Salesas nº 2,,,15,12,Plaza de las Salesas,"Plaza de las Salesas, Madrid",https://www.wikidata.org/entity/Q28916480,26,27,"-3,6945","40,4239"
Calle Jesús nº 6,Calle Jesús nº 6,,15,12,Huertas,Huertas de Caballar,,27,27,"-3,6957","40,4133"
Calle Alcalá nº 28,Calle Alcalá nº 28,,17,1,Metro Sevilla,Metro Sevilla,,28,18,"-3,698458","40,41806"
Calle del Marqués de Cubas nº 25,Calle del Marqués de Cubas nº 25,,20,3,Marqués de Cubas,Cuba Cola,,29,23,"-3,695743","40,416384"
Calle Pavía nº 4,Calle Pavía nº 4,,8,19,San Quintín,San Quintín (sopka),,30,27,"-3,711504","40,41921"
Calle Mayor nº 16,Calle Mayor nº 16,,18,9,Mayor,military staff,,31,27,"-3,706897","40,416364"
Plaza de la Provincia (esquina calle Gerona),Plaza de la Provincia (esquina calle Gerona),,17,1,Plaza de la Provincia,plaza de la Provincia,,32,18,"-3,706103","40,41501"
Calle Carretas nº 3,Calle Carretas nº 3,,19,4,Puerta del Sol,Puerta del Sol,,33,23,"-3,70333","40,416587"
Plaza de Jacinto Benavente,Plaza de Jacinto Benavente,https://www.wikidata.org/entity/Q6080004,3,21,Jacinto Benavente,Plaza de Jacinto Benavente,,34,24,"-3,703683","40,414676"
Plaza del Cordón nº1,,,18,6,Plaza del Cordón,Plaza del Cordón,https://www.wikidata.org/entity/Q52063495,35,24,"-3,710329","40,414193"
Plaza de Ramales nº1,Plaza de Ramales nº1,,14,10,Plaza Ramales,"Plaza de Ramales, Madrid",,36,24,"-3,71183","40,4168"
Plaza de San Francisco,Plaza de San Francisco,,13,11,Plaza de San Francisco,Plaza de San Francisco,,37,24,"-3,714113","40,4108"
Carrera de San Francisco enfrente del nº 2,,,17,9,Plaza de los Carros,plaza de los Carros,https://www.wikidata.org/entity/Q27186278,38,27,"-3,71159","40,411359"
Plaza de la Cebada nº 3,,,4,27,Plaza de la Cebada,plaza de la Cebada,https://www.wikidata.org/entity/Q9060972,39,31,"-3,708834","40,411274"
Plaza del Conde de Romanones nº 2,Plaza del Conde de Romanones nº 2,,2,16,Conde de Romanones,First government of the Count of Romanones,,40,18,"-3,704795","40,413778"
Calle Atocha nº 56,Calle Atocha nº 56,,12,7,Metro Antón Martín,Metro Antón Martín,,41,19,"-3,699115","40,412205"
Calle Santa Isabel 32,Calle Santa Isabel 32,,0,26,Santa Isabel,Santa Isabel,,42,27,"-3,698292","40,410849"
Calle Jesús y María,Calle Jesús y María,,12,6,Jesús y María,Visions of Jesus and Mary,,43,18,"-3,702471","40,410039"
Plaza Nelson Mandela,,,1,18,Plaza de Nelson Mandela,Nelson Mandela plaza,https://www.wikidata.org/entity/Q28662636,44,19,"-3,703864","40,409791"
Puerta de Toledo 1,Puerta de Toledo 1,,9,10,Metro Puerta de Toledo,Metro Puerta de Toledo,,45,19,"-3,711103","40,406866"
Calle Ribera de Curtidores nº 28,Calle Ribera de Curtidores nº 28,,14,13,Ribera de Curtidores,Ribera de Curtidores,,46,27,"-3,707126","40,405315"
Glorieta de Embajadores,"Glorieta de Embajadores, Madrid",https://www.wikidata.org/entity/Q16571874,11,13,Renfe/Cercanías Embajadores,Renfe/Cercanías Embajadores,,47,24,"-3,7028","40,404577"
Glorieta de Embajadores nº 7,Glorieta de Embajadores nº 7,,18,6,Casa de baños Embajadores,Casa de baños Embajadores,,48,24,"-3,702057","40,405482"
Ronda de Atocha nº 34,Ronda de Atocha nº 34,,12,15,Casa Encendida,Casa Encendida,,49,27,"-3,699277","40,406053"
Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),,22,2,Museo Reina Sofía,Radio del Museo Reina Sofía,,50,24,"-3,693346","40,408368"
Ronda de Atocha (esquina con Plaza del Emperador Carlos V),Ronda de Atocha (esquina con Plaza del Emperador Carlos V),,24,3,Ronda de Atocha,Ronda de Atocha,,51,27,"-3,69352","40,407561"
Plaza de Santa Ana nº 10,Plaza de Santa Ana nº 10,,9,6,Plaza de Santa Ana,Plaza de Santa Ana,,52,15,"-3,700716","40,414423"
Plazuela de Ana Diosdado,,,8,16,Plaza de Lavapiés,Plaza de Lavapies,https://www.wikidata.org/entity/Q6080017,53,24,"-3,700754","40,408309"
Calle Barceló nº 9,Calle Barceló nº 9,,15,4,Metro Tribunal,Metro Tribunal,,54,19,"-3,700393","40,426599"
Plaza de San Ildefonso nº4,Plaza de San Ildefonso nº4,,3,21,Plaza de San Ildefonso,plaza de San Ildefonso,,55,24,"-3,702084","40,423976"
Plaza del Carmen nº 1,Plaza del Carmen nº 1,,14,9,Plaza del Carmen,Plaza del Carmen,,56,23,"-3,703241","40,418419"
Calle Santa Cruz del Marcenado nº 26,Calle Santa Cruz del Marcenado nº 26,,18,5,Santa Cruz de Marcenado,Santa Cruz de Marcenado,,57,23,"-3,71263","40,429566"
Calle Augusto Figueroa nº 33,Calle Augusto Figueroa nº 33,,7,20,Metro Chueca,Metro Chueca,,58,27,"-3,697858","40,422278"
