Address,DockBikes,FreeBases,Name,number,TotalBases,POINT_X,POINT_Y
calle miguel moya,15,12,Metro Callao,2,27,-3.70569,40.4204
plaza conde surchill,3,16,Plaza Conde Suchil,3,19,-3.707254,40.430322
calle manuela malasaña,2,25,Malasaña,4,27,-3.7025,40.428626
calle fuencarral,4,23,Fuencarral,5,27,-3.702135,40.428521
calle hortaleza,9,9,Colegio Arquitectos,6,19,-3.698447,40.424148
calle hortaleza,18,1,Hortaleza,7,19,-3.697771,40.425191
plaza de alonso martínez,19,5,Metro Alonso Martínez,8,24,-3.69544,40.427868
plaza de san miguel,12,12,Plaza de San Miguel,9,24,-3.709508,40.415606
calle marqués de la ensenada,21,2,Marqués de la Ensenada,10,23,-3.692104,40.425403
calle san andrés,2,21,Plaza del Dos de Mayo,11,23,-3.7036,40.427
calle san bernardo,11,16,San Hermenegildo,12,27,-3.706141,40.428467
calle conde duque,3,20,Conde Duque,13,23,-3.7105,40.4273
ventura rodríguez,5,22,Ventura Rodríguez,14,27,-3.713307,40.426043
calle norte,1,18,Norte,15,19,-3.707445,40.426238
calle san bernardo,7,12,San Bernardo,16,19,-3.707481,40.422937
plaza de carlos cambronero,6,17,Plaza de Carlos Cambronero,17,23,-3.704166,40.423126
plaza de pedro zerolo,9,15,Plaza de Pedro Zerolo,18,24,-3.699678,40.420925
calle prim,20,8,Prim,19,28,-3.695498,40.421862
calle alcalá,15,12,Banco de España,20A,27,-3.695247,40.418808
plaza de santo domingo,6,18,Santo Domingo,23,24,-3.708249,40.42026
calle carlos iii,12,6,Palacio de Oriente,24,18,-3.71065,40.417767
plaza de celenque,6,18,Plaza de Celenque A,25A,24,-3.705779,40.41737
plaza de celenque,13,11,Plaza de Celenque B,25B,24,-3.705898,40.417369
plaza de las salesas,15,12,Plaza de las Salesas,26,27,-3.6945,40.4239
calle jesús,15,12,Huertas,27,27,-3.6957,40.4133
calle alcalá,17,1,Metro Sevilla,28,18,-3.698458,40.41806
calle del marqués de cubas,20,3,Marqués de Cubas,29,23,-3.695743,40.416384
calle pavía,8,19,San Quintín,30,27,-3.711504,40.41921
calle mayor,18,9,Mayor,31,27,-3.706897,40.416364
plaza de la provincia,17,1,Plaza de la Provincia,32,18,-3.706103,40.41501
calle carretas,19,4,Puerta del Sol,33,23,-3.70333,40.416587
plaza de jacinto benavente,3,21,Jacinto Benavente,34,24,-3.703683,40.414676
plaza del cordón,18,6,Plaza del Cordón,35,24,-3.710329,40.414193
plaza de ramales,14,10,Plaza Ramales,36,24,-3.71183,40.4168
plaza de san francisco,13,11,Plaza de San Francisco,37,24,-3.714113,40.4108
carrera de san francisco,17,9,Plaza de los Carros,38,27,-3.71159,40.411359
plaza de la cebada,4,27,Plaza de la Cebada,39,31,-3.708834,40.411274
plaza del conde de romanones,2,16,Conde de Romanones,40,18,-3.704795,40.413778
calle atocha,12,7,Metro Antón Martín,41,19,-3.699115,40.412205
calle santa isabel,0,26,Santa Isabel,42,27,-3.698292,40.410849
calle jesús y maría,12,6,Jesús y María,43,18,-3.702471,40.410039
plaza nelson mandela,1,18,Plaza de Nelson Mandela,44,19,-3.703864,40.409791
puerta de toledo,9,10,Metro Puerta de Toledo,45,19,-3.711103,40.406866
calle ribera de curtidores,14,13,Ribera de Curtidores,46,27,-3.707126,40.405315
glorieta de embajadores,11,13,Renfe/Cercanías Embajadores,47,24,-3.7028,40.404577
glorieta de embajadores,18,6,Casa de baños Embajadores,48,24,-3.702057,40.405482
ronda de atocha,12,15,Casa Encendida,49,27,-3.699277,40.406053
calle de santa isabel,22,2,Museo Reina Sofía,50,24,-3.693346,40.408368
ronda de atocha,24,3,Ronda de Atocha,51,27,-3.69352,40.407561
plaza de santa ana,9,6,Plaza de Santa Ana,52,15,-3.700716,40.414423
plazuela de ana diosdado,8,16,Plaza de Lavapiés,53,24,-3.700754,40.408309
calle barceló,15,4,Metro Tribunal,54,19,-3.700393,40.426599
plaza de san ildefonso,3,21,Plaza de San Ildefonso,55,24,-3.702084,40.423976
plaza del carmen,14,9,Plaza del Carmen,56,23,-3.703241,40.418419
calle santa cruz del marcenado,18,5,Santa Cruz de Marcenado,57,23,-3.71263,40.429566
calle augusto figueroa,7,20,Metro Chueca,58,27,-3.697858,40.422278
calle espíritu santo,4,15,Plaza de Juan Pujol,59,19,-3.704342,40.42555
plaza de la independencia,10,13,Puerta de Alcalá,60,23,-3.688398,40.419752
calle o donnell,24,3,O Donnell - Narváez,61,27,-3.675314,40.421455
calle o donnell,22,5,Hospital M. Infantil Gregorio Marañón,62,27,-3.672497,40.421315
calle ibiza,4,19,Hospital Gral. Uni. Gregorio Marañón,63,23,-3.670896,40.417924
calle antonio maura,22,2,Parque del Retiro - Calle Antonio Maura,65,24,-3.689425,40.416701
calle almadé,23,0,CaixaForum Madrid,67,23,-3.693225,40.410847
calle espalter,11,8,Espalter - Ruiz de Alarcón,68,19,-3.691323,40.412769
avenida de alfonso xii,8,19,Parque del Retiro - Puerta Ángel Caído,69,27,-3.688822,40.409808
avenida de menéndez pelayo,17,10,Hospital Uni. Infantil Niño Jesús,70,27,-3.677873,40.415382
calle doce de octubre,5,18,Plaza del Doctor Laguna,71,23,-3.6739,40.4161
calle doctor esquerdo,7,16,Metro Sáinz de Baranda,72,23,-3.6696,40.4159
calle de los astros,9,14,Plaza de los Astros,73,23,-3.6687,40.4115
avenida de menéndez pelayo,20,7,Parque Retiro - Jardines Cecilio Rguez,74,27,-3.676589,40.412063
avenida menéndez pelayo,9,18,Parque del Retiro - Plaza Mariano Cavia,75,27,-3.678475,40.408272
"avenida del mediterráneo,4,20,""Avenida del Mediterráneo, 19"",76,24,-3.675102,40.407271"
plaza del conde de casal,13,5,Plaza del Conde de Casal,77,18,-3.670713,40.406478
calle cerro de la plata,12,15,Metro Pacífico,78,27,-3.674524,40.400637
avenida de menéndez pelayo,8,19,Metro Menéndez Pelayo,79,27,-3.68044,40.40511
calle claudio moyano,0,24,Cuesta de Moyano,81,24,-3.691833,40.409343
calle lira,1,22,Doctor Esquerdo - Metro Conde de Casal,82,23,-3.669753,40.408456
calle pío baroja,6,17,Pío Baroja,83,23,-3.674479,40.4133
calle doctor esquerdo,3,20,Biblioteca Pública Elena Fortún,84,23,-3.672482,40.403572
avenida de menéndez pelayo,11,16,Parque del Retiro - Puerta de O´Donnell,85,27,-3.679891,40.421314
paseo del prado,22,2,Cibeles,86,24,-3.69335,40.418652
calle ayala,22,1,Ayala - Velázquez,87,23,-3.683257,40.427736
calle velázquez,21,2,Velázquez-Padilla,88,23,-3.68383,40.431358
calle ayala,16,7,Ayala - Conde de Peñalver,89,23,-3.675202,40.427258
calle goya,19,8,Metro Velázquez,90,27,-3.683842,40.425149
calle hermosilla,8,15,Hermosilla - General Pardiñas,91,23,-3.678628,40.426049
calle claudio coello,22,1,Claudio Coello - Hermosilla,92,23,-3.686546,40.426294
calle goya,23,0,Plaza de Margaret Tatcher,93,23,-3.689336,40.425759
paseo de recoletos,20,3,Estación de tren de Recoletos,94,23,-3.690756,40.423215
calle claudio coello,22,1,Claudio Coello - Villanueva,95,23,-3.686929,40.422543
calle alcalá,18,9,Alcalá - Castelló,96,27,-3.682205,40.422015
avenida menéndez pelayo,13,14,Metro Príncipe de Vergara,97,27,-3.680256,40.422536
calle narváez,20,4,Plaza de Felipe II,98,24,-3.675768,40.424132
calle alcántara,5,18,Alcántara - Hermosilla,99,23,-3.674018,40.426039
calle goya,6,21,Wizink Center,100,27,-3.67384,40.42478
calle jorge juán,18,6,Metro O Donnell,101,24,-3.66968,40.423077
calle alcalá,23,0,Metro Retiro,102,23,-3.684232,40.421185
calle josé ortega y gasset,19,4,Ortega y Gasset - Serrano,103,23,-3.686744,40.43053
paseo de la castellana,21,2,Castellana - Hermosilla,104,23,-3.68958,40.42677
"calle serrano,20,3,""Serrano, 46"",105,23,-3.687542,40.427083"
calle serrano,19,0,Plaza de Colón B,106B,19,-3.68789,40.424776
calle serrano,16,7,Serrano - Conde de Aranda,107,23,-3.688384,40.421561
calle mártires concepcionistas,18,9,Mártires Concepcionistas - Alcalá,108,27,-3.670652,40.427402
calle josé ortega y gasset,22,1,Marqués de Salamanca,109,23,-3.681452,40.430124
paseo de moret,3,20,Intercambiador de Moncloa,110,23,-3.720102,40.434745
calle arcipreste de hita,4,19,Metro Moncloa A,111A,23,-3.717525,40.433603
calle arcipreste de hita,1,22,Metro Moncloa B,111B,23,-3.717743,40.433913
paseo moret,17,6,Paseo de Moret - Parque del Oeste,112,23,-3.724736,40.43269
paseo del pintor rosales,16,8,Teleférico Madrid - Estación Rosales,113,24,-3.720726,40.427538
calle quintana,11,12,Quintana - Juan Álvarez de Mendizábal,114,23,-3.717463,40.427838
paseo de pintor rosales,5,18,Ferraz - Templo de Debod,115,23,-3.717052,40.425315
plaza de españa,10,8,Plaza de España - Martín de los Heros,116A,18,-3.713043,40.423679
calle de los reyes,14,4,Metro Plaza de España,116B,18,-3.71046,40.423684
calle altamirano,1,22,Altamirano - Martín de los Heros,117,23,-3.71889,40.43098
"calle juan martínez el empeciado,15,8,""OFICINA DEL SER, APR Y BICIREGISTRO"",118,23,-3.688241,40.400781"
calle méndez álvaro,18,5,Méndez Álvaro,119,23,-3.686265,40.401291
calle palos de la frontera,25,2,Metro Palos de la Frontera,120,27,-3.694825,40.40309
paseo de santa maría de la cabeza,8,19,Glorieta de Santa María de la Cabeza,121,27,-3.698603,40.401749
calle santa engracia,18,5,Santa Engracia - Zurbarán,122,23,-3.696366,40.429536
calle guzmán el bueno,13,14,Metro Argüelles,123,27,-3.713341,40.430646
calle manuel silvela,2,25,Metro Bilbao,124,27,-3.699369,40.430969
calle fernández de la hoz,21,6,Fdez. de la Hoz - Gral. Martínez Campos,125,27,-3.6948,40.4353
calle del general álvarez de castro,4,23,General Álvarez de Castro,126,27,-3.701804,40.434598
calle fernando el católico,3,24,Mercado Municipal de Vallehermoso,127,27,-3.708439,40.433852
calle cea bermúdez,20,7,Metro Islas Filipinas,128,27,-3.7154,40.4392
calle de josé abascal,0,27,Metro Alonso Cano,129,27,-3.698235,40.438387
calle de santa engracia,19,4,Metro Ríos Rosas,130,23,-3.70164,40.44156
calle bravo murillo,8,15,Plaza de Juan Zorrilla,131,23,-3.704031,40.441788
calle santa engracia,14,13,Glorieta de Cuatro Caminos,132,27,-3.703605,40.446378
calle dulcinea,0,24,Raimundo Fdez. Villaverde - Dulcinea,133,24,-3.700167,40.447125
calle maría de guzmán,2,21,María de Guzmán - Agustín de Betancourt,134,23,-3.695569,40.444182
plaza de san juan de la cruz,23,0,Plaza de San Juan de la Cruz,135,23,-3.692734,40.441481
paseo de la castellana,21,2,Metro Nuevos Ministerios,136,23,-3.690769,40.445124
plaza de la republica argentina,19,5,Plaza de la República Argentina,137,24,-3.685338,40.445448
paseo de la castellana,13,10,Estación de tren Nuevos Ministerios,138,23,-3.691406,40.445741
calle pedro de valdivia,16,8,José Gutiérrez Abascal - Castellana,139,24,-3.690419,40.439396
calle velázquez,22,5,Velázquez - López de Hoyos,140,27,-3.683058,40.438757
paseo de la castellana,8,4,Plaza de Emilio Castelar,141,12,-3.689392,40.435405
paseo de la castellana,20,3,Bajo elevado de Eduardo Dato,142,23,-3.687915,40.433409
calle general pardiñas,13,10,General Pardiñas - Don Ramón de la Cruz,186,23,-3.678302,40.42898
calle de juan bravo,15,12,Metro Diego de León,144,27,-3.675556,40.432408
calle ortega y gasset,2,21,Ortega y Gasset 87,145,23,-3.671282,40.429887
"calle de maría francisca,10,9,""María Francisca, 3"",146,19,-3.67885,40.444254"
avenida del doctor arce,4,19,Doctor Arce 45,147,23,-3.6794,40.4484
calle serrano,9,14,Serrano 210,148,23,-3.681397,40.451117
paseo de la habana,20,3,Plaza de Quito,149,23,-3.68793,40.449852
calle orense,24,3,Orense 12,151,27,-3.695359,40.448812
"avenida del general perón,3,20,""General Perón, 4"",152,23,-3.6989,40.4525"
avenida del general perón,20,3,General Perón - Poeta Joan Maragall,153,23,-3.6936,40.4523
calle orense,12,12,Orense 36,154,24,-3.694622,40.454846
calle san germán,0,23,San Germán 57,155,23,-3.70093,40.457334
calle sor ángela de la cruz,21,3,Sor Ángela de la Cruz-Paseo Castellana,156,24,-3.691533,40.459235
avenida de alberto alcocer,12,11,Alberto Alcocer - Padre Damián,158,23,-3.684625,40.45869
paseo de la habana,13,10,Paseo de la Habana 63,159,23,-3.683593,40.454385
calle colombia,3,21,Metro Colombia,160,24,-3.676344,40.457247
paseo de la florida,3,24,Intercambiador de Príncipe Pío A,161,27,-3.722099,40.422192
paseo de los olmos,13,10,Metro Pirámides,162,23,-3.710577,40.403497
paseo de la esperanza,11,8,Metro Acacias,163,19,-3.706445,40.403759
paseo de las delicias,7,20,Paseo de las Delicias - Tomás Bretón,164,27,-3.69461,40.39723
paseo de la chopera,12,31,Entrada Matadero - Paseo de la Chopera,165,43,-3.697596,40.392888
calle segovia,15,12,Viaducto de Segovia,166,27,-3.713377,40.413905
calle segovia,9,18,Segovia 45,167,27,-3.717489,40.413748
paseo santa maría de la cabeza,9,14,Santa María Cabeza - Batalla del Salado,168,23,-3.6959,40.4046
calle toledo,22,2,Glorieta de Pirámides,169,24,-3.713823,40.401589
"paseo de la esperanza,14,10,""Paseo de la Esperanza, 21"",170,24,-3.704396,40.401055"
calle embajadores,15,12,Embajadores-Cáceres,171,27,-3.698402,40.399701
calle bustamante,8,15,Estación de tren de Delicias,172,23,-3.693493,40.400828
paseo de la esperanza,1,23,Paseo Esperanza - Santa María Cabeza,173,24,-3.702484,40.398347
"paseo de yeserías,1,26,""Paseo de las Yeserías, 45"",174,27,-3.706526,40.39743"
calle jaime el conquistador,2,17,Jaime el Conquistador - Divino Vallés,175,19,-3.698345,40.396226
calle bolívar,23,0,Metro Legazpi,177,23,-3.694188,40.391447
calle león gil de palacio,4,20,Junta Municipal Distrito de Retiro,178,24,-3.678834,40.40292
avenida de la albufera,12,12,Metro Puente de Vallecas,179,24,-3.669272,40.397927
calle retama,22,1,Estación Sur Méndez Álvaro B,180,23,-3.67589,40.394042
calle ibiza,6,21,Ibiza - Narváez,181,27,-3.676444,40.418169
alcalde sainz de baranda,15,8,Parque Roma,182,23,-3.665778,40.418667
calle hermosilla,3,20,Hermosilla - Doctor Esquerdo,183,23,-3.669339,40.425635
"paseo del marqués zafra,4,20,""Marqués de Zafra, 24"",184,24,-3.665306,40.426"
calle sancho dávila,7,17,Parque Quinta de la Fuente del Berro,185,24,-3.661528,40.425083
calle de diego de león,3,20,Diego de León - General Pardiñas,143,23,-3.67808,40.434676
alcala-ventas,10,13,Alejandro González - Alcalá,187,23,-3.663825,40.430133
avenida de daroca,16,11,Puente de Ventas,188,27,-3.659029,40.431256
avenida donostiarra,1,22,Virgen de la Alegría,189,23,-3.655492,40.435126
calle velázquez,15,8,Velázquez - Diego de León,190,23,-3.683375,40.434305
calle de alfonso heredia,1,18,Metro Diego de León,191,19,-3.674078,40.434569
avenida de los toreros,15,12,Avda. de los Toreros - Fco. Silvela,192,27,-3.671468,40.431826
avenida de los toreros,11,16,Plaza de las Ventas,193,27,-3.665555,40.432472
calle francisco silvela,22,2,Intercambiador de Avenida de América,194,24,-3.677154,40.437264
calle mataelpino,22,2,Indalecio Hernández - Mataelpino,195,24,-3.675444,40.439222
calle suero de quiñones,2,25,Metro Prosperidad,196,27,-3.675222,40.444224
avenida de concha espina,9,14,Parque de Berlín,197,23,-3.677916,40.451606
paseo de las castellana,21,2,Metro Rubén Darío,198,23,-3.6891,40.432
"calle fernando el católico,4,23,""Fernando el Católico, 61"",199,27,-3.714917,40.434361"
glorieta de quevedo,15,9,Metro Quevedo,200,24,-3.704579,40.433754
calle josé abascal,10,13,Metro Canal,201,23,-3.703833,40.438694
calle de santander,13,14,Parque de Santander,202,27,-3.7083,40.4413
calle general de ampudia,17,7,General Ampudia - San Francisco Sales,203,24,-3.714472,40.44175
calle doctor santero,5,18,Doctor Santero - Bravo Murillo,204,23,-3.70404,40.447649
calle navarra,3,20,Metro Estrecho,205,23,-3.703278,40.4535
calle marqués de viana,1,22,Metro Tetuán,206,23,-3.698916,40.460747
calle azucenas,0,19,Plaza de la Remonta,207,19,-3.697335,40.463044
paseo de la castellana,0,18,Intercambiador de Plaza de Castilla,208,18,-3.689061,40.466281
plaza de castilla,1,22,Plaza de Castilla - Fundación Canal,209,23,-3.6887,40.4657
calle de las tres cruces,23,4,Calle de las Tres Cruces - Gran Vía,210,27,-3.702716,40.419652
calle de el desengaño,15,8,Desengaño - Valverde,211,23,-3.70239,40.42059
glorieta marqués de vadillo,13,14,Metro Marqués de Vadillo,212,27,-3.716591,40.398247
calle de antonio lópez,10,13,Glorieta de Cádiz,213,23,-3.700225,40.388992
calle condesa de venadito,23,1,Condesa de Venadito - Albacete,214,24,-3.656903,40.443432
calle gutierre de cetina,7,16,Gutierre de Cetina - Ascao,215,23,-3.640809,40.429588
plaza puerta del ángel,4,23,Plaza de Puerta del Ángel,216,27,-3.72897,40.4141
calle pedro rico,20,3,Hospital Universitario La Paz,217,23,-3.689076,40.480884
camino de vinateros,6,17,Camino de los Vinateros A,218,23,-3.657297,40.410548
camino de los vinateros,7,11,Camino de los Vinateros B,219,18,-3.646734,40.408359
calle arrollo de las pilillas,14,10,Plaza del Encuentro,220,24,-3.651384,40.406156
calle hacienda de pavones,20,3,Metro Pavones,221,23,-3.634744,40.400492
calle eugenio caxes,15,8,Eugenio Caxes - Antonio López,222,23,-3.702679,40.391787
paseo de la ermita del santo,10,17,Ermita del Santo,223,27,-3.724576,40.406448
calle caramuel,3,24,Parque de Caramuel,224,27,-3.7287,40.409
calle sierra toledana,10,14,Sierra Toledana - Doctor Lozano,225,24,-3.660345,40.402506
camino valderribas,0,23,Sierra Toledana - Camino de Valderribas,226,23,-3.660777,40.399015
calle arrollo del olivar,0,24,Arroyo del Olivar,227,24,-3.665936,40.39383
calle san delfín,0,18,San Delfín - Antonio López,228,18,-3.708043,40.394406
calle josé del hierro,0,23,Centro Deportivo Municipal Concepción,229,23,-3.648651,40.436938
calle carlota o neill,2,22,Carlota O´Neill - Agastia,230,24,-3.648825,40.443679
calle derechos humanos,9,15,Derechos Humanos - Verdaguer y García,231,24,-3.655719,40.439828
calle de josé maria pereda,15,12,José María de Pereda - Alcalá,232,27,-3.648617,40.432766
calle marqués de corbera,12,12,El dragón de La Elipa,233,24,-3.655579,40.422952
avenida marques de corbera,8,16,Metro La Elipa,234,24,-3.651092,40.426128
calle del sodio,11,12,Sodio - Embajadores,235,23,-3.691076,40.389041
paseo imperial,21,6,Paseo Imperial,236,27,-3.717078,40.407579
"callesan germán,22,2,""San Germán, 5"",238,24,-3.693261,40.456182"
calle de francos rodríguez,3,20,Francos Rodríguez - José Calvo,239,23,-3.707833,40.456713
avenida de brasilia,4,19,Brasilia - Parque Breogán,240,23,-3.66096,40.43666
calle camilo josé cela,2,21,Camilo José Cela,241,23,-3.66779,40.4378
avenida de bruselas,14,9,Metro Parque de las Avenidas,242,23,-3.662928,40.439513
calle cartagena,3,20,Cartagena,243,23,-3.67012,40.43503
calle isaac peral,10,13,Hospital Clínico San Carlos,244,23,-3.71757,40.44003
calle galileo,2,22,Galileo - Donoso Cortés,245,24,-3.710138,40.436364
calle de santa engracia,23,4,Metro Iglesia,246,27,-3.699248,40.435958
calle de zurbano,18,5,Zurbano - José Abascal,247,23,-3.69281,40.43837
calle de sinesio delgado,22,5,Sinesio Delgado - Cuatro Torres,248,27,-3.687997,40.474321
paseo de la castellana,23,1,Castellana - Cuatro Torres,249,24,-3.685319,40.479502
calle serrano,16,11,Serrano - CSIC,250,27,-3.68581,40.440649
calle santa hortensia,2,21,Santa Hortensia - Corazón de María,251,23,-3.66683,40.44421
calle agustín de foxá,1,22,Est. tren Chamartín - Clara Campoamor,252,23,-3.683969,40.47174
calle del doctor fleming,19,0,Doctor Fleming - Estadio S. Bernabéu,253,19,-3.68844,40.45546
avenida de pio xii,6,17,Plaza del Perú,254,23,-3.67656,40.461
calle general lópez pozas,9,14,General López Pozas - Apolonio Morales,255,23,-3.685292,40.46361
calle beatriz de bobadilla,4,19,Reina Victoria - Beatriz de Bobadilla,256,23,-3.71383,40.44635
avenida juan herrera,22,1,Ciudad Universitaria - INEF,257,23,-3.730527,40.438873
ciudad universitaria,24,0,Metro Ciudad Universitaria A,258,24,-3.726939,40.444311
ciudad universitaria,19,0,Metro Ciudad Universitaria B,259,19,-3.726752,40.442705
facultad de biología,20,4,Ciudad Universitaria - Fac. de Biología,260,24,-3.727295,40.448332
avenida complutense,23,0,Ciudad Universitaria - Facultad Derecho,261,23,-3.729676,40.450552
calle amparo usera,22,1,Metro Usera,384,23,-3.706145,40.387075
calle doctor tolosa latour,13,10,Estación tren - Hospital 12 de Octubre,388,23,-3.700415,40.37838
calle campotejar,12,11,Estación de tren Orcasitas,385,23,-3.703887,40.367211
"calle isabelita usera,10,13,""Isabelita Usera, 44"",387,23,-3.70774,40.382723"
avenida de la perla,20,3,Metro San Fermín-Orcasur,383,23,-3.69397,40.370002
"avenida de los poblados,11,12,""Avenida de los Poblados, 130"",386,23,-3.713315,40.373474"
avenida ramon y cajal,2,21,Metro Avenida de la Paz,476,23,-3.662016,40.453493
calle de los misterios,4,19,Metro Ciudad Lineal,477,23,-3.638904,40.438278
calle josé del hierro esquina con arturo soria,1,22,José del Hierro - Misterios,478,23,-3.641057,40.441521
angel muñoz,15,12,Metro Arturo Soria,479,27,-3.655837,40.454784
calle vicente muzas,8,15,Vicente Muzas - Arturo Soria,480,23,-3.660443,40.459033
diego ayllon,4,19,Diego Ayllón - Arturo Soria,481,23,-3.652191,40.451179
calle de velero,2,25,Metro El Capricho,554,27,-3.5941,40.453
"avda. de burgos,8,15,""Avenida de Burgos, 17"",284,23,-3.67579,40.473594"
campuzano,3,20,Metro Pueblo Nuevo,482,23,-3.642339,40.435687
calle marcelino álvarez,10,13,Marcelino Álvarez - Daroca,483,23,-3.653432,40.429743
calle luis campos,18,5,Metro García Noblejas,484,23,-3.632389,40.428931
calle carretera de canillas,11,12,Carretera de Canillas,523,23,-3.650893,40.46287
calle santa maría magdalena,19,4,Santa María Magdalena - La Drácena,285,23,-3.6706,40.4631
plaza duque de pastrana,7,16,Plaza Duque de Pastrana,286,23,-3.6779,40.4679
calle de la yuca,12,11,Metro Bambú,287,23,-3.6762,40.4765
calle caídos de la división azul,18,5,Caídos de la División Azul,288,23,-3.6723,40.4664
glorieta de luís rosales,9,14,Glorieta Luis Rosales,524,23,-3.6543,40.4673
fuente carrantona,4,23,Fuente Carrantona - Doctor García Tapia,460,27,-3.631923,40.407022
"luis de hoyos sainz,6,17,""Luis de Hoyos Sainz, 198"",455,23,-3.629275,40.400094"
"encomienda de palacios,4,19,""Encomienda de Palacios, 8"",456,23,-3.6464,40.4005"
calle ramirez tomé,2,25,Ramírez Tomé,416,27,-3.645974,40.388756
"calle romeo y julieta,10,17,""Romeo y Julieta, 12"",417,27,-3.662176,40.378738"
calle puerto de arlabán,3,24,Puerto de Arlabán - San Diego,418,27,-3.6675,40.3864
calle cronos,26,1,Cronos,496,27,-3.619433,40.438469
calle hermanos garcía noblejas,8,15,Metro Alsacia,501,23,-3.6242,40.4191
calle alcalá,12,15,Metro Torre Arias,498,27,-3.617832,40.443134
calle alcala,1,22,Biblioteca Pública Municipal Canillejas,499,23,-3.6122,40.446656
"calle aracne,2,25,""Aracne, 17"",500,27,-3.5895,40.445"
calle alcalá,22,1,Metro Suances,497,23,-3.6274,40.4407
calle puerto serrano,2,21,Puerto Serrano - Embajadores,265,23,-3.688461,40.385412
calle comandante fontanés,5,18,Comandante Fontanes - General Ricardos,351,23,-3.721121,40.395142
calle ervigio,9,14,Ervigio - Amalarico,350,23,-3.7315,40.3947
calle julio merino,6,17,Julio Merino - Pilarica,389,23,-3.7032,40.3831
calle avena,15,8,Avena - Mijo,390,23,-3.7159,40.3773
"avenida de cantabria,11,13,""Cantabria, 6"",556,24,-3.587722,40.454625"
paseo de la alameda de osuna,13,14,Parque del Capricho,555,27,-3.598122,40.454768
calle francisco villaespesa,8,15,Francisco Villaespesa - Ledesma,485,23,-3.646463,40.429326
calle arzobispo morcillo,9,18,Uni. Autónoma Madrid - Facul. Medicina,570,27,-3.6938,40.4815
calle hernani,23,0,Hernani - Edgar Neville,295,23,-3.6972,40.4481
calle de la costa verde,8,15,Costa Verde,296,23,-3.696862,40.469477
calle simancas,2,21,Simancas - Pinos Alta,297,23,-3.695113,40.4655
calle gallur,2,21,Centro Deportivo Municipal Gallur,323,23,-3.7359,40.3984
calle de las higueras,17,6,Metro Lucero,324,23,-3.745096,40.404571
"hacienda de pavones,5,18,""Hacienda de Pavones, 148"",457,23,-3.6419,40.4026"
calle de la maquinilla,17,7,Maquinilla - Tranvía Blanco,432,24,-3.636484,40.380781
calle marqués de viana,0,19,Marques de Viana - Bellver,298,19,-3.704478,40.463643
calle sierra de guadalupe,4,22,Metro Sierra de Guadalupe,437,27,-3.623765,40.381352
calle de la verdad,18,5,Verdad,358,23,-3.71716,40.391787
calle algorta,14,9,Algorta - General Ricardos,352,23,-3.727452,40.391623
fernando gabriel,1,23,Metro La Almudena,492,24,-3.639499,40.424664
paseo de los jesuitas,2,25,Ps. Jesuitas - Mercado Alto Extremadura,322,27,-3.7351,40.408
avenida córdoba,21,2,Metro Almendrales,392,23,-3.697856,40.38268
"calle candilejas,19,4,""Candilejas, 5"",420,23,-3.663004,40.382636"
calle puerto de balbarán,17,10,Estación de tren de El Pozo,419,27,-3.655868,40.376237
calle cabeza de mesada,15,12,Cabeza Mesada - Parque de Valdeperdices,439,27,-3.629413,40.376479
avenida de orovilla,23,4,Orovilla - Felicidad,398,27,-3.6895,40.3587
avenida monforte de lemos,16,7,C. Deportivo Mpal. Vicente del Bosque,569,23,-3.6965,40.4795
calle melchor fernandez almagro,16,7,Melchor Fernández Almagro - Plaza Tuy,571,23,-3.710326,40.475648
"calle valle de mena,2,21,""Valle de Mena, 5"",304,23,-3.715272,40.469627"
