route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
STAZIONE CENTRALE - CROCEVERDE,3,ffffff,3A4B80,AMAT,212,,,212
STAZIONE CENTRALE - BELMONTE CHIAVELLI,3,ffffff,023f56,AMAT,210,,,210
STAZIONE CENTRALE - CROCEVERDE,3,ffffff,5D4864,AMAT,211,,,211
STADIO - S. FILIPPO NERI,3,ffffff,8F4327,AMAT,662,,,662
POLITEAMA - PARCHEGGIO FRANCIA,3,ffffff,146069,AMAT,164,,,164
JOHN LENNON - POLITEAMA,3,ffffff,01645F,AMAT,134,,,134
STAZIONE CENTRALE - VERGINE MARIA,3,ffffff,485C4C,AMAT,139,,,139
STAZIONE CENTRALE - ACQUA DEI CORSARI,3,ffffff,4F3783,AMAT,225,,,225
JOHN LENNON - S. GIOVANNI APOSTOLO,3,ffffff,6C4D50,AMAT,540,,,540
JOHN LENNON - MONDELLO,3,ffffff,64580A,AMAT,544,,,544
JOHN LENNON - B. ULIVIA FALSOMIELE,3,ffffff,0e2251,AMAT,548,,,548
SFERRACAVALLO - MONDELLO,3,ffffff,2B3C9F,AMAT,936,,,936
STADIO - OSPEDALE CERVELLO,3,ffffff,4F5C39,AMAT,675,,,675
STADIO - MONDELLO,3,ffffff,A12E1F,AMAT,677,,,677
STAZIONE CENTRALE - PORTA FELICE,3,000000,F8CD2F,AMAT,GIALL,,,GIALLA
PARCHEGGIO EMIRI - STAZIONE CENTRALE,3,ffffff,665807,AMAT,122,,,122
PARCHEGGIO EMIRI - POLITEAMA,3,ffffff,225033,AMAT,124,,,124
STAZIONE CENTRALE - VILLABATE (PROLUNGAMENTO),3,ffffff,8A4615,AMAT,224P,,,224P
PARCHEGGIO BASILE - MOLARA,3,ffffff,66581A,AMAT,365,,,365
JOHN LENNON - BAIDA,3,ffffff,394C83,AMAT,534,,,534
POLITEAMA - S. ERASMO,3,ffffff,973A36,AMAT,824,,,824
BOCCADIFALCO - BAIDA,3,ffffff,8A3A41,AMAT,923,,,923
PARCHEGGIO BASILE - INDIPENDENZA,3,ffffff,66544D,AMAT,318,,,318
CROCI - PALLAVICINO,3,ffffff,8A4518,AMAT,704,,,704
