block_id,route_id,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_475,501,8816.0,0,BORGO NUOVO,5010,FR_merged_80003,8816_merged_122704
b_57,101,1235.0,1,STADIO,1011,FR_merged_80003,1235_merged_124678
a_55,101,1154.0,1,STADIO,1011,FR_merged_80001,1154_merged_85935
b_699,704,23534.0,1,CROCI,7041,FR_merged_80003,23534_merged_111242
b_362,246,18992.0,1,OSPEDALE CIVICO,2461,FE_merged_80004,18992_merged_120448
b_455,440,20517.0,1,PARCHEGGIO EMIRI,4401,FR_merged_80003,20517_merged_108289
b_161,110,16094.0,1,JOHN LENNON,1101,FR_merged_80003,16094_merged_110619
b_607,625,10890.0,0,BORGO NUOVO,6250,FR_merged_80003,10890_merged_105571
a_197,124,3683.0,0,POLITEAMA,1240,FE_merged_80002,3683_merged_97263
b_739,806,,0,MONDELLO,8060,FE_merged_80004,13358
b_209,139,16731.0,1,STAZIONE CENTRALE,1391,FE_merged_80004,16731_merged_123128
b_351,243,6322.0,0,BONAGIA,2430,FR_merged_80003,6322_merged_124010
b_181,122,16267.0,1,PARCHEGGIO EMIRI,1221,FE_merged_80004,16267_merged_117002
b_651,662,11794.0,0,S. FILIPPO NERI,6620,FE_merged_80004,11794_merged_109021
a_370,250,19343.0,1,STAZIONE CENTRALE,2501,FR_merged_80001,19343_merged_90284
a_42,101,840.0,0,STAZIONE CENTRALE,1010,FR_merged_80001,840_merged_94847
b_65,102,14623.0,1,JOHN LENNON,1021,FR_merged_80003,14623_merged_114210
b_339,241,18525.0,1,STAZIONE CENTRALE,2411,FE_merged_80004,18525_merged_115005
a_34,101,680.0,0,STAZIONE CENTRALE,1010,FE_merged_80002,680_merged_97584
b_348,243,6267.0,0,BONAGIA,2430,FE_merged_80004,6267_merged_117678
a_138,108,2614.0,0,POLITEAMA,1080,FE_merged_80002,2614_merged_99292
b_266,224,4818.0,1,POMARA,2241,FE_merged_80004,4818_merged_112697
b_348,243,18679.0,1,STAZIONE CENTRALE,2431,FE_merged_80004,18679_merged_106689
a_211,139,3928.0,0,VERGINE MARIA,1390,FR_merged_80001,3928_merged_83502
a_602,625,10796.0,0,BORGO NUOVO,6250,FR_merged_80001,10796_merged_93557
a_223,139,17063.0,1,STAZIONE CENTRALE,1391,FR_merged_80001,17063_merged_102427
b_702,704,23584.0,1,CROCI,7041,FR_merged_80003,23584_merged_124984
b_124,107,2365.0,0,STADIO,1070,FE_merged_80004,2365_merged_125239
a_98,104,15340.0,1,PARCHEGGIO BASILE,1041,FE_merged_80002,15340_merged_86621
a_566,614,10224.0,0,PARTANNA MONDELLO,6140,FR_merged_80001,10224_merged_87526
a_599,625,22756.0,1,STADIO,6251,FE_merged_80002,22756_merged_84687
b_673,702,12148.0,1,BORGO NUOVO,7021,FE_merged_80004,12148_merged_121178
b_765,833,23973.0,1,POLITEAMA,8331,FE_merged_80004,23973_merged_117880
b_376,304,6953.0,0,VILLA TASCA,3040,FR_merged_80003,6953_merged_112540
a_495,529,9207.0,0,OSPEDALE CERVELLO,5290,FE_merged_80002,9207_merged_82416
a_270,224,4876.0,1,POMARA,2241,FR_merged_80001,4876_merged_84067
a_399,309,19819.0,1,PARCHEGGIO BASILE,3091,FR_merged_80001,19819_merged_84835
b_492,529,21201.0,1,JOHN LENNON,5291,FR_merged_80003,21201_merged_119188
a_591,619,10610.0,0,S.FILIPPO NERI,6190,FR_merged_80001,10610_merged_95460
b_611,628,10980.0,1,SFERRACAVALLO,6281,FE_merged_80004,10980_merged_112862
a_323,234,18415.0,1,STAZIONE CENTRALE,2341,FE_merged_80002,18415_merged_101884
a_471,475,20986.0,1,POLITEAMA,4751,FE_merged_80002,20986_merged_102721
a_372,304,6852.0,0,VILLA TASCA,3040,FR_merged_80001,6852_merged_91065
a_274,225,17753.0,1,STAZIONE CENTRALE,2251,FR_merged_80001,17753_merged_98688
a_442,422,8134.0,0,BORGO NUOVO,4220,FR_merged_80001,8134_merged_85981
a_481,513,8923.0,0,S. GIOVANNI APOSTOLO,5130,FR_merged_80001,8923_merged_86527
