Academic Year,University,UniversityId,Degree,Academic Level,Center,Ambit Code
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Grado,FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO,Grado,FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,BIOTECNOLOGÍA,Grado,FACULTAD DE CIENCIAS EXPERIMENTALES,Ciencias
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,CIENCIAS AMBIENTALES,Grado,FACULTAD DE CIENCIAS EXPERIMENTALES,Ciencias
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,Grado,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,DERECHO,Grado,FACULTAD DE DERECHO,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,DERECHO + GESTIÓN Y ADM. PUB.,Grado,FACULTAD DE DERECHO,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ECONOMÍA,Grado,FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ECONOMÍA + MATEMÁTICAS,Grado,FACULTAD DE CIENCIAS EXPERIMENTALES,Ingeniería y Arquitectura
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,EDUCACIÓN INFANTIL,Grado,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,EDUCACIÓN PRIMARIA,Grado,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,EDUCACIÓN PRIMARIA + EDUCACIÓN INFANTIL,Grado,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,EDUCACIÓN SOCIAL,Grado,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ENFERMERÍA,Grado,FACULTAD DE CIENCIAS DE LA SALUD,Sanidad
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ESTUDIOS INGLESES,Grado,FACULTAD DE HUMANIDADES,Arte y Humanidades
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,ESTUDIOS INGLESES + FILOLOGÍA HISPÁNICA,Grado,FACULTAD DE HUMANIDADES,Arte y Humanidades
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,FILOLOGÍA HISPÁNICA,Grado,FACULTAD DE HUMANIDADES,Arte y Humanidades
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,FINANZAS Y CONTABILIDAD,Grado,FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES,Ciencias Sociales y Jurídicas
2024-2025,Universidad De Almería,c6abab9cddd0b921adc603debfcca50e,FISIOTERAPIA,Grado,FACULTAD DE CIENCIAS DE LA SALUD,Sanidad
