		ï»¿CURSO;UNIVERSIDAD;PETICION;GRADO;CENTRO;ÁREA;GENERAL;TITULADOS;"MAYORES 25";"MAYORES 40";"MAYORES 45"
2024;ALMERÍA;125504;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS";"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;"5,731 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;125601;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO";"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;"11,159 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;126702;BIOTECNOLOGÍA;"FACULTAD DE CIENCIAS EXPERIMENTALES";C;"10,567 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;127005;"CIENCIAS AMBIENTALES";"FACULTAD DE CIENCIAS EXPERIMENTALES";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;127501;"CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"11,082 PREF";8,600;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;129509;DERECHO;"FACULTAD DE DERECHO";SYJ;"8,082 PREF";6,860;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;129606;"DERECHO + GESTIÓN Y ADM. PUB.";"FACULTAD DE DERECHO";SYJ;"8,371 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;130005;ECONOMÍA;"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;"7,000 N.P.";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;130102;"ECONOMÍA + MATEMÁTICAS";"FACULTAD DE CIENCIAS EXPERIMENTALES";SIN;"10,868 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;145505;"EDUCACIÓN INFANTIL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"7,327 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;146509;"EDUCACIÓN PRIMARIA";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"8,754 PREF";7,800;"5,000 ONPNA";5,000;6,800
2024;ALMERÍA;146800;"EDUCACIÓN PRIMARIA + EDUCACIÓN INFANTIL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"11,456 PREF";7,410;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;102200;"EDUCACIÓN SOCIAL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"5,758 PREF";8,400;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;102502;ENFERMERÍA;"FACULTAD DE CIENCIAS DE LA SALUD";SD;"12,234 PREF";8,650;"6,930 OPA";19,581;7,430
2024;ALMERÍA;134506;"ESTUDIOS INGLESES";"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;134700;"ESTUDIOS INGLESES + FILOLOGÍA HISPÁNICA";"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;134001;"FILOLOGÍA HISPÁNICA";"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;102006;"FINANZAS Y CONTABILIDAD";"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;103506;FISIOTERAPIA;"FACULTAD DE CIENCIAS DE LA SALUD";SD;"11,610 PREF";8,448;"5,000 ONPNA";12,374;5,000
2024;ALMERÍA;104003;"GESTIÓN Y ADMINISTRACIÓN PÚBLICA";"FACULTAD DE DERECHO";SYJ;5,000;7,742;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;137507;HISTORIA;"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;8,200
2024;ALMERÍA;137701;"HISTORIA + HUMANIDADES";"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;138500;HUMANIDADES;"FACULTAD DE HUMANIDADES";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;122007;"INGENIERÍA AGRÍCOLA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;112508;"INGENIERÍA ELÉCTRICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;113005;"INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;123507;"INGENIERÍA INFORMÁTICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"7,650 PREF";6,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;113501;"INGENIERÍA MECÁNICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"6,150 PREF";5,000;"5,000 ONPNA";17,806;5,000
2024;ALMERÍA;113609;"INGENIERÍA MECÁNICA + INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"11,447 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;114009;"INGENIERÍA QUÍMICA INDUSTRIAL";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;149003;"MARKETING E INVESTIGACIÓN DE MERCADOS";"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;"8,178 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;139008;MATEMÁTICAS;"FACULTAD DE CIENCIAS EXPERIMENTALES";C;"11,699 PREF";8,070;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;139504;MEDICINA;"FACULTAD DE CIENCIAS DE LA SALUD";SD;"13,280 PREF";9,630;"8,284 OPA";13,000;5,000
2024;ALMERÍA;141500;PSICOLOGÍA;"FACULTAD DE PSICOLOGÍA";SD;"10,071 PREF";8,697;"7,121 ONPA";5,000;7,200
2024;ALMERÍA;142504;QUÍMICA;"FACULTAD DE CIENCIAS EXPERIMENTALES";C;"6,767 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;ALMERÍA;108008;"RELACIONES LABORALES Y RECURSOS HUMANOS";"FACULTAD DE DERECHO";SYJ;5,000;8,300;"5,000 ONPNA";15,832;5,000
2024;ALMERÍA;108519;"TRABAJO SOCIAL";"FACULTAD DE PSICOLOGÍA";SYJ;"6,173 PREF";9,090;"5,000 ONPNA";5,000;6,150
2024;ALMERÍA;108706;TURISMO;"FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;225517;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS";"FAC. CIENCIAS. ECON. Y EMP. (SEDE JEREZ)";SYJ;"6,708 PREF";6,200;"5,000 ONPNA";5,000;8,000
2024;CÁDIZ;225502;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS";"FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;225521;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS";"FAC. CC. ECONÓMICAS Y EMPRESARIALES (SEDE ALGECIRAS)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;225614;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO";"FAC. CIENCIAS. ECON. Y EMP. (SEDE JEREZ)";SYJ;"9,620 N.P.";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;225901;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + FINANZAS Y CONTABILIDAD";"FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;224207;"ARQUITECTURA NAVAL E INGENIERÍA MARÍTIMA";"ESCUELA DE INGENIERÍA NAVAL Y OCEÁNICA";IYA;"5,817 PREF";7,210;"5,000 ONPNA";5,000;5,000
