Academic Year,Degree,DegreeId,AmbitId,Academic Level Id,UniversityId,Adjudication Quota,Cut Off Grade
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Deportistas de alto nivel,5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 45 años,5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 25 años,5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 40 años,5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Discapacidad,5.000
2023-2024,Bellas Artes,d0178ef605b368a8221b083d48457016,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 45 años,5.000
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 25 años,5.000
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Mayores de 40 años,5.000
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),7.620
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,Deportistas de alto nivel,5.000
2023-2024,Filosofía,5475843b57df42303e375cb1bdae5710,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,24e63f7c3d8596b44655e9ad9bfdf5f5,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
