CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;CUPO_ADJUDICACION;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_ADJUDICACION_1;NOTA_CORTE_DEFINITIVA_1;NOTA_CORTE_ADJUDICACION_2;NOTA_CORTE_DEFINITIVA_2;FECHA_ACTUALIZACION
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Discapacidad;;;5.000;;5.000;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.);;6.001;5.000;;5.000;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Mayores de 45 años;;;5.000;;;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Deportistas de alto nivel;;;5.000;;5.000;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Mayores de 40 años;;;5.000;;;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Mayores de 25 años;;;5.000;;;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Deportistas de alto rendimiento (c);;;;;5.000;05/01/2025
2023;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados);;6.570;5.000;;;05/01/2025
2023;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Mayores de 40 años;;8.680;8.680;;;05/01/2025
2023;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados);;9.260;9.220;;;05/01/2025
2023;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Mayores de 45 años;;;5.000;;;05/01/2025
2023;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Mayores de 25 años;;6.830;6.830;;;05/01/2025
2023;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Deportistas de alto rendimiento (c);;;5.000;;5.000;05/01/2025
