Code,Degree,University,UniversityId,Unique Identifier,Academic Level,Ambit,Academic Year
2501523,Administración y Dirección de Empresas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Administración y Dirección de Empresas,Grado,Ciencias Sociales y Jurídicas,2023-2024
2500952,Biología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biología,Grado,Ciencias,2023-2024
2500953,Biotecnología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biotecnología,Grado,Ciencias,2023-2024
2504251,Ciencia e Ingeniería de Datos,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ciencia e Ingeniería de Datos,Grado,Ingeniería y Arquitectura,2023-2024
1500122,Ciencias de la Actividad Física y del Deporte,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ciencias de la Actividad Física y del Deporte,Grado,Ciencias Sociales y Jurídicas,2023-2024
2502361,Comercio y Marketing,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Comercio y Marketing,Grado,Ciencias Sociales y Jurídicas,2023-2024
2501524,Contabilidad y Finanzas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Contabilidad y Finanzas,Grado,Ciencias Sociales y Jurídicas,2023-2024
1500112,Criminología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Criminología,Grado,Ciencias Sociales y Jurídicas,2023-2024
2502362,Derecho,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Derecho,Grado,Ciencias Sociales y Jurídicas,2023-2024
2501525,Economía,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Economía,Grado,Ciencias Sociales y Jurídicas,2023-2024
2501629,Educación Social,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Educación Social,Grado,Ciencias Sociales y Jurídicas,2023-2024
2500731,Enfermería,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Enfermería,Grado,Ciencias de la Salud,2023-2024
2502363,Estudios Clásicos y Románicos,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Estudios Clásicos y Románicos,Grado,Artes y Humanidades,2023-2024
2502364,Estudios Ingleses,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Estudios Ingleses,Grado,Artes y Humanidades,2023-2024
2500816,Filosofía,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Filosofía,Grado,Artes y Humanidades,2023-2024
2501059,Física,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Física,Grado,Ciencias,2023-2024
2500732,Fisioterapia,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Fisioterapia,Grado,Ciencias de la Salud,2023-2024
2500728,Geografía y Ordenación del Territorio,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Geografía y Ordenación del Territorio,Grado,Artes y Humanidades,2023-2024
2502365,Geología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Geología,Grado,Ciencias,2023-2024
2503275,Gestión y Administración Pública,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Gestión y Administración Pública,Grado,Ciencias Sociales y Jurídicas,2023-2024
2500729,Historia del Arte,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Historia del Arte,Grado,Artes y Humanidades,2023-2024
2500785,Historia,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Historia,Grado,Artes y Humanidades,2023-2024
2500730,Historia y Ciencias de la Música,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Historia y Ciencias de la Música,Grado,Artes y Humanidades,2023-2024
2502586,Ingeniería Civil,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Civil,Grado,Ingeniería y Arquitectura,2023-2024
2503731,Ingeniería de Organización Industrial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Organización Industrial,Grado,Ingeniería y Arquitectura,2023-2024
2502366,Ingeniería de Recursos Mineros y Energéticos,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Recursos Mineros y Energéticos,Grado,Ingeniería y Arquitectura,2023-2024
2502372,Ingeniería de Tecnologías Industriales,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Tecnologías Industriales,Grado,Ingeniería y Arquitectura,2023-2024
2502367,Ingeniería de Tecnologías Mineras,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Tecnologías Mineras,Grado,Ingeniería y Arquitectura,2023-2024
2502369,Ingeniería Eléctrica,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Eléctrica,Grado,Ingeniería y Arquitectura,2023-2024
2502370,Ingeniería Electrónica Industrial y Automática,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Electrónica Industrial y Automática,Grado,Ingeniería y Arquitectura,2023-2024
2502368,Ingeniería en Tecnologías y Servicios de Telecomunicación,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería en Tecnologías y Servicios de Telecomunicación,Grado,Ingeniería y Arquitectura,2023-2024
