"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"4011000","Diplomado en Ciencias Empresariales","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4021000","Diplomado en Educación Social","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4008000","Diplomado en Enfermería","Varias Universidades","Ciclo Corto","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4009000","Diplomado en Fisioterapia","Varias Universidades","Ciclo Corto","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4018000","Diplomado en Gestión y Administración Pública","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4020000","Diplomado en Logopedia","Varias Universidades","Ciclo Corto","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4023000","Diplomado en Máquinas Navales","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4024000","Diplomado en Navegación Marítima","Varias Universidades","Ciclo Corto","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4019000","Diplomado en Relaciones Laborales","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4017000","Diplomado en Terapia Ocupacional","Varias Universidades","Ciclo Corto","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4010000","Diplomado en Trabajo Social","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
