Code,Degree,University,Unique Identifier,Academic Level,Ambit
2501906,Administración y Dirección de Empresas,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Administración y Dirección de Empresas,Grado,"Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo"
2501921,Arquitectura,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Arquitectura,Grado,
1500187,Biotecnología,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Biotecnología,Grado,Bioquímica y biotecnología
2504047,Ciencia e Ingeniería de Datos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ciencia e Ingeniería de Datos,Grado,Ingeniería informática y de sistemas
2500351,Ciencias de la Actividad Física y del Deporte,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ciencias de la Actividad Física y del Deporte,Grado,Actividad física y ciencias del deporte
2502349,Ciencias del Mar,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ciencias del Mar,Grado,Ciencias de la Tierra
2501908,Derecho,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Derecho,Grado,Derecho y especialidades jurídicas
2501909,Economía,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Economía,Grado,"Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo"
2501911,Educación Infantil,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Educación Infantil,Grado,Ciencias de la educación
2501912,Educación Primaria,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Educación Primaria,Grado,Ciencias de la educación
2501914,Educación Social,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Educación Social,Grado,Ciencias de la educación
2502350,Enfermería,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Enfermería,Grado,
2502352,Filología Hispánica,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Filología Hispánica,Grado,"Filología, estudios clásicos, traducción y lingüística"
2502351,Fisioterapia,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Fisioterapia,Grado,
2500714,Geografía y Ordenación del Territorio,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Geografía y Ordenación del Territorio,Grado,"Historia, arqueología, geografía, filosofía y humanidades"
2500350,Historia,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Historia,Grado,"Historia, arqueología, geografía, filosofía y humanidades"
2504760,Ingeniería Biomédica,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Biomédica,Grado,"Ingeniería eléctrica, ingeniería electrónica e ingeniería de la telecomunicación"
2501923,Ingeniería Civil,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Civil,Grado,"Arquitectura, construcción, edificación y urbanismo, e ingeniería civil"
2501927,Ingeniería de Tecnologías de Telecomunicación,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería de Tecnologías de Telecomunicación,Grado,"Ingeniería eléctrica, ingeniería electrónica e ingeniería de la telecomunicación"
2502983,Ingeniería Eléctrica,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Eléctrica,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2503004,Ingeniería Electrónica Industrial y Automática,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Electrónica Industrial y Automática,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2501924,Ingeniería en Diseño Industrial y Desarrollo de Productos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería en Diseño Industrial y Desarrollo de Productos,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2502503,Ingeniería en Organización Industrial,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería en Organización Industrial,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2501934,Ingeniería en Tecnología Naval,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería en Tecnología Naval,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2504592,Ingeniería Física y Matemática,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Física y Matemática,Grado,Física y astronomía
2503257,Ingeniería Geomática,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Geomática,Grado,"Arquitectura, construcción, edificación y urbanismo, e ingeniería civil"
2501930,Ingeniería Informática,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Informática,Grado,Ingeniería informática y de sistemas
2502980,Ingeniería Mecánica,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Mecánica,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2503003,Ingeniería Química Industrial,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Química Industrial,Grado,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
2501932,Ingeniería Química,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Química,Grado,"Ingeniería química, ingeniería de los materiales e ingeniería del medio natural"
2501903,Lenguas Modernas,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Lenguas Modernas,Grado,"Filología, estudios clásicos, traducción y lingüística"
2501904,Medicina,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Medicina,Grado,
1500551,Psicología,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Psicología,Grado,Ciencias del comportamiento y psicología
2501916,Relaciones Laborales y Recursos Humanos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Relaciones Laborales y Recursos Humanos,Grado,"Ciencias sociales, trabajo social, relaciones laborales y recursos humanos, sociología, ciencia política y relaciones internacionales"
2502832,Seguridad y Control de Riesgos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Seguridad y Control de Riesgos,Grado,
