UniversityID,Faculty,FacultyID
3105c9fd85b6cfd224f8d1b92970ab2f,Centro Internacional de Estudios Superiores del Español (CIESE-Comillas),7a24c9fa6b056c6f88549cab35a7fc07
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE FILOSOFÍA Y LETRAS,f67d2f6cfd7a5673f475a829be212465
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE CIENCIAS,e9d23fca415ccfabbb651ad240857a58
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE MEDICINA,0c7fbe3807acac8023e5f39694ee8d9d
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE ENFERMERÍA,9c62f0e6d936b0e0413eb0f438debaaf
3105c9fd85b6cfd224f8d1b92970ab2f,ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA',b7a8d9bbe3362beec20d0f3dff0c8a78
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,0387a6e2d6972bb06c2aab80bef9437c
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE DERECHO,2b4513adb31444eb0fc1dabe7bd56ef4
3105c9fd85b6cfd224f8d1b92970ab2f,ESCUELA UNIVERSITARIA DE TURISMO ALTAMIRA,526c5956cee234c71cb88459e94dffa1
3105c9fd85b6cfd224f8d1b92970ab2f,FACULTAD DE EDUCACION,9a841e640f492b5b066dcdc3b0dbc72c
3105c9fd85b6cfd224f8d1b92970ab2f,"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS",21a500bf27899bfac52c35541ee7d88c
3105c9fd85b6cfd224f8d1b92970ab2f,ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA,500e5776c8175963bc4431d45b80afe7
3105c9fd85b6cfd224f8d1b92970ab2f,ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION,5037feee91b0a3af120ac6eb24389562
3105c9fd85b6cfd224f8d1b92970ab2f,ESCUELA TECNICA SUPERIOR DE NAUTICA,84cc13c337fb504bc292e8934c23be7f
