Code,Ambit,Degree,Academic Year,Academic Level,University Wikidata,University,Center,AnecaAssessmentReportDate,courseCredits,homepage,BasicTrainingCredits,CouncilOfUniversitiesReportDate,TeachingModality,Language,NewStudentsPosts
G-HISPANICOS,Arts and Humanities,Estudios Hispánicos,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,Centro Internacional de Estudios Superiores del Español (CIESE-Comillas),2011-05-26T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=136,72,2011-08-06T00:00:00Z,Presencial,ESPAÑOL,50
G-HISTORIA,Arts and Humanities,Historia,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE FILOSOFÍA Y LETRAS,2009-10-06T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=70,60,2009-01-06T00:00:00Z,Presencial,ESPAÑOL,65
G-FISICA,Science,Física,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE CIENCIAS,2009-05-06T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=67,60,2009-01-06T00:00:00Z,Presencial,ESPAÑOL,48
G-MATEMATICA,Science,Matemáticas,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE CIENCIAS,2009-05-25T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=68,60,2009-01-06T00:00:00Z,Presencial,ESPAÑOL,48
G-BIOMEDICAS,Health Sciences,Ciencias Biomédicas,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE MEDICINA,2020-10-03T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=211,60,2020-05-19T00:00:00Z,Presencial,ESPAÑOL,40
G-ENFERMERIA,Health Sciences,Enfermería,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE ENFERMERÍA,2009-11-26T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=120,66,2009-11-30T00:00:00Z,Presencial,ESPAÑOL,83
G-FISIOTER,Health Sciences,Fisioterapia,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA',2009-05-29T00:00:00Z,240,https://www.eug.es/estudios/grado-en-fisioterapia-torrelavega,60,2009-01-06T00:00:00Z,Presencial,ESPAÑOL,160
G-LOGOPEDIA,Health Sciences,Logopedia,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA',2011-11-25T00:00:00Z,240,https://www.eug.es/estudios/grado-en-logopedia,60,2012-01-06T00:00:00Z,Presencial,ESPAÑOL,40
G-MEDICINA,Health Sciences,Medicina,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE MEDICINA,2009-05-29T00:00:00Z,360,https://web.unican.es/estudios/detalle-estudio?p=66,60,2009-01-06T00:00:00Z,Presencial,ESPAÑOL,124
G-ADE,Law and Economics,Administración y Dirección de Empresas,2025-2026,Grado,University of Cantabria,Universidad de Cantabria,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,2009-11-30T00:00:00Z,240,https://web.unican.es/estudios/detalle-estudio?p=116,60,2010-01-22T00:00:00Z,Presencial,ESPAÑOL,175
