identifier;title;Center;AnecaAssessmentReportDate;courseCredits;isInteruniversity;isReserachOriented;isProfessionOriented;homepage;BasicTrainingCredits;ElectiveCredits;CompulsoryCredits;ExternalInternshipCredits;FinalProjectCredits;CouncilOfUniversitiesReportDate;BoePublicationDate;BocPublicationDate;TeachingModality;language;NewStudentsPosts;TeachingStaff
"G-HISPANICOS";"Grado en Estudios Hispánicos";"Centro Internacional de Estudios Superiores del Español (CIESE-Comillas)";26/05/2011;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=136";72,00;30,00;126,00;0,00;12,0;08/06/2011;26/10/2012;23/03/2012;"Presencial";"ESPAÑOL";"50";"8 - No definido; 2 - Colaboradores; 1 - Profesor Ayudante Doctor;"
"G-HISTORIA";"Grado en Historia";"FACULTAD DE FILOSOFÍA Y LETRAS";10/06/2009;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=70";60,00;42,00;126,00;0,00;12,0;01/06/2009;06/01/2010;16/10/2009;"Presencial";"ESPAÑOL";"65";"7 - No definido; 13 - Catedrático de Universidad; 1 - Investigador Doctor; 1 - Profesor Asociado; 11 - Profesor Ayudante Doctor; 9 - Profesor Contratado Doctor; 2 - Profesor de Sustitución; 3 - Profesor Permanente Laboral; 9 - Profesor Titular de Universidad; 12 - Programas de Formación; 3 - Programas de RR.HH. I+D+i;"
"G-FISICA";"Grado en Física";"FACULTAD DE CIENCIAS";05/06/2009;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=67";60,00;36,00;126,00;0,00;18,0;01/06/2009;05/01/2010;10/07/2009;"Presencial";"ESPAÑOL";"48";"15 - No definido; 17 - Catedrático de Universidad; 2 - Profesor Asociado; 7 - Profesor Ayudante Doctor; 8 - Profesor Contratado Doctor; 1 - Profesor Emérito; 4 - Profesor Permanente Laboral; 3 - Profesor Permanente Laboral I3; 20 - Profesor Titular de Universidad; 3 - Programas de Formación; 2 - Programas de RR.HH. I+D+i; 1 - Responsable de División;"
"G-MATEMATICA";"Grado en Matemáticas";"FACULTAD DE CIENCIAS";25/05/2009;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=68";60,00;48,00;120,00;0,00;12,0;01/06/2009;05/01/2010;10/07/2009;"Presencial";"ESPAÑOL";"48";"9 - No definido; 11 - Catedrático de Universidad; 5 - Profesor Asociado; 12 - Profesor Ayudante Doctor; 7 - Profesor Contratado Doctor; 3 - Profesor de Sustitución; 4 - Profesor Permanente Laboral; 1 - Profesor Titular  Escuela Universitaria; 21 - Profesor Titular de Universidad; 1 - Programas de Formación; 1 - Programas de RR.HH. I+D+i; 1 - Responsable de División;"
"G-BIOMEDICAS";"Grado en Ciencias Biomédicas";"FACULTAD DE MEDICINA";10/03/2020;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=211";60,00;30,00;126,00;18,00;6,0;19/05/2020;17/09/2020;16/07/2020;"Presencial";"ESPAÑOL";"40";"81 - No definido; 19 - Catedrático de Universidad; 1 - Especialista Técnico; 1 - Investigador Titulado Universitario; 49 - Profesor Asociado; 11 - Profesor Ayudante Doctor; 9 - Profesor Contratado Doctor; 4 - Profesor de Sustitución; 1 - Profesor Emérito; 6 - Profesor Permanente Laboral; 34 - Profesor Titular de Universidad; 1 - Programas de Formación; 4 - Programas de RR.HH. I+D+i; 1 - Responsable de División; 1 - Tecnico Titulados Universitarios; 3 - Titulado/a Universitario;"
"G-ENFERMERIA";"Grado en Enfermería";"FACULTAD DE ENFERMERÍA";26/11/2009;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=120";66,00;0,00;84,00;84,00;6,0;30/11/2009;19/09/2011;03/09/2010;"Presencial";"ESPAÑOL";"83";"123 - No definido; 3 - Catedrático de Universidad; 43 - Profesor Asociado; 8 - Profesor Ayudante Doctor; 2 - Profesor Contratado Doctor; 3 - Profesor de Sustitución; 2 - Profesor Permanente Laboral; 1 - Profesor Titular  Escuela Universitaria; 14 - Profesor Titular de Universidad; 1 - Responsable de División;"
"G-FISIOTER";"Grado en Fisioterapia";"ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA'";29/05/2009;240,00;False;False;False;"https://www.eug.es/estudios/grado-en-fisioterapia-torrelavega";60,00;36,00;96,00;36,00;12,0;01/06/2009;05/01/2010;10/07/2009;"Presencial";"ESPAÑOL";"160";
"G-LOGOPEDIA";"Grado en Logopedia";"ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA'";25/11/2011;240,00;False;False;False;"https://www.eug.es/estudios/grado-en-logopedia";60,00;48,00;102,00;18,00;12,0;01/06/2012;08/02/2013;07/09/2012;"Presencial";"ESPAÑOL";"40";
"G-MEDICINA";"Grado en Medicina";"FACULTAD DE MEDICINA";29/05/2009;360,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=66";60,00;6,00;288,00;0,00;6,0;01/06/2009;05/01/2010;16/10/2009;"Presencial";"ESPAÑOL";"124";"443 - No definido; 20 - Catedrático de Universidad; 1 - Colaboradores; 1 - Especialista Técnico; 117 - Profesor Asociado; 11 - Profesor Ayudante Doctor; 7 - Profesor Contratado Doctor; 4 - Profesor de Sustitución; 1 - Profesor Emérito; 4 - Profesor Permanente Laboral; 35 - Profesor Titular de Universidad; 1 - Programas de Formación; 3 - Programas de RR.HH. I+D+i; 1 - Responsable de División;"
"G-ADE";"Grado en Administración y Dirección de Empresas";"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";30/11/2009;240,00;False;False;False;"https://web.unican.es/estudios/detalle-estudio?p=116";60,00;30,00;144,00;0,00;6,0;22/01/2010;19/09/2011;03/09/2010;"Presencial";"ESPAÑOL";"175";"12 - No definido; 10 - Catedrático de Universidad; 28 - Profesor Asociado; 16 - Profesor Ayudante Doctor; 11 - Profesor Contratado Doctor; 9 - Profesor de Sustitución; 3 - Profesor Permanente Laboral; 2 - Profesor Titular  Escuela Universitaria; 32 - Profesor Titular de Universidad; 1 - Programas de Formación;"
