Academic Year,University,University Wikidata,Municipality Wikidata,Municipality,Centre,Degree,Ambit,Academic Level,Credits,Offered Credits
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA SUPERIOR DE INGENIERÍA INFORMÁTICA DE ALBACETE,INGENIERIA INFORMATICA,Engineering,GRADO,240,492
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,BIOTECNOLOGIA,Engineering,GRADO,240,252
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,INGENIERIA AGRICOLA Y AGROALIMENTARIA,Engineering,GRADO,240,330
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,INGENIERIA FORESTAL Y MEDIO NATURAL,Engineering,GRADO,240,276
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,INGENIERIA ELECTRICA,Engineering,GRADO,240,276
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,Engineering,GRADO,240,294
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,INGENIERIA MECANICA,Engineering,GRADO,240,312
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,DERECHO-ECONOMIA,Law and Economics,GRADO,376.5,144
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,ECONOMIA-DERECHO,Law and Economics,GRADO,372,388.5
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,ADMINISTRACION Y DIRECCION DE EMPRESAS,Law and Economics,GRADO,240,322.5
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,ECONOMIA,Law and Economics,GRADO,240,318
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,DERECHO-ECONOMIA,Law and Economics,GRADO,372,388.5
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,CRIMINOLOGIA,Social Sciences,GRADO,240,246
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,DERECHO,Law and Economics,GRADO,240,307.5
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE EDUCACIÓN DE ALBACETE,EDUCACION PRIMARIA-EDUCACION INFANTIL,Social Sciences,MAESTRO,363,459
2024-25,Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha,Albacete,ALBACETE,FACULTAD DE EDUCACIÓN DE ALBACETE,EDUCACION INFANTIL,Social Sciences,MAESTRO,240,459
