AÑO ACADÉMICO,CAMPUS,CENTRO,TITULACIÓN,RAMA DE ENSEÑANZA,TIPO_ESTUDIO,CRÉDITOS NECESARIOS,CRÉDITOS OFERTADOS,PRECIO CRÉDITO 1ª MATRÍCULA,PRECIO CRÉDITO 2ª MATRÍCULA,PRECIO CRÉDITO 3ª MATRÍCULA,PRECIO CRÉDITO 4ª MATRÍCULA
2024-25,ALBACETE,ESCUELA SUPERIOR DE INGENIERÍA INFORMÁTICA DE ALBACETE,GRADO EN INGENIERIA INFORMATICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,492,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,GRADO EN BIOTECNOLOGIA,INGENIERÍA Y ARQUITECTURA,GRADO,240,252,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,GRADO EN INGENIERIA AGRICOLA Y AGROALIMENTARIA,INGENIERÍA Y ARQUITECTURA,GRADO,240,330,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA Y DE MONTES Y BIOTECNOLOGÍA DE ALBACETE,GRADO EN INGENIERIA FORESTAL Y MEDIO NATURAL,INGENIERÍA Y ARQUITECTURA,GRADO,240,276,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,GRADO EN INGENIERIA ELECTRICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,276,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,294,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE ALBACETE,GRADO EN INGENIERIA MECANICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,312,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,DOBLE GRADO DERECHO-ECONOMIA,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,"376,5",144,,,,
2024-25,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,DOBLE GRADO ECONOMIA-DERECHO,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,372,"388,5",,,,
2024-25,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,"322,5","12,13","24,26","52,56","72,78"
2024-25,ALBACETE,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES DE ALBACETE,GRADO EN ECONOMIA,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,318,"12,13","24,26","52,56","72,78"
2024-25,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,DOBLE GRADO DERECHO-ECONOMIA,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,372,"388,5",,,,
2024-25,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,GRADO EN CRIMINOLOGIA,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,246,"12,13","24,26","52,56","72,78"
2024-25,ALBACETE,FACULTAD DE DERECHO DE ALBACETE,GRADO EN DERECHO,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,"307,5","12,13","24,26","52,56","72,78"
2024-25,ALBACETE,FACULTAD DE EDUCACIÓN DE ALBACETE,DOBLE GRADO  MAESTRO EN EDUCACION PRIMARIA-MAESTRO EN EDUCACION INFANTIL,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,363,459,,,,
2024-25,ALBACETE,FACULTAD DE EDUCACIÓN DE ALBACETE,GRADO EN MAESTRO EN EDUCACION INFANTIL,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,459,"14,58","29,16","63,18","87,47"
2024-25,ALBACETE,FACULTAD DE EDUCACIÓN DE ALBACETE,GRADO EN MAESTRO EN EDUCACION PRIMARIA,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,432,"14,58","29,16","63,18","87,47"
2024-25,ALBACETE,FACULTAD DE ENFERMERÍA DE ALBACETE,GRADO EN ENFERMERIA,CIENCIAS DE LA SALUD,GRADO,240,258,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,FACULTAD DE FARMACIA DE ALBACETE,GRADO EN FARMACIA,CIENCIAS DE LA SALUD,GRADO,300,"322,5","18,87","37,73","81,76","113,2"
2024-25,ALBACETE,FACULTAD DE HUMANIDADES DE ALBACETE,GRADO EN HUMANIDADES Y ESTUDIOS SOCIALES,ARTES Y HUMANIDADES,GRADO,240,282,"12,13","24,26","52,56","72,78"
2024-25,ALBACETE,FACULTAD DE MEDICINA DE ALBACETE,GRADO EN MEDICINA,CIENCIAS DE LA SALUD,GRADO,360,384,"18,87","37,73","81,76","113,2"
2024-25,ALBACETE,FACULTAD DE MEDICINA DE ALBACETE,GRADO EN PSICOLOGIA,CIENCIAS DE LA SALUD,GRADO,240,120,"14,58","29,16","63,18","87,47"
2024-25,ALBACETE,FACULTAD DE RELACIONES LABORALES Y RECURSOS HUMANOS DE ALBACETE,GRADO EN RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,CIENCIAS SOCIALES Y JURÍDICAS,GRADO,240,291,"12,13","24,26","52,56","72,78"
2024-25,CIUDAD REAL,ESCUELA DE INGENIERÍA MINERA E INDUSTRIAL DE ALMADÉN,GRADO EN INGENIERIA ELECTRICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,"271,5","18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA DE INGENIERÍA MINERA E INDUSTRIAL DE ALMADÉN,GRADO EN INGENIERIA MECANICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,"271,5","18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA DE INGENIERÍA MINERA E INDUSTRIAL DE ALMADÉN,GRADO EN INGENIERIA MINERA Y ENERGETICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,288,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA SUPERIOR DE INFORMÁTICA DE CIUDAD REAL,GRADO EN INGENIERIA INFORMATICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,498,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA TÉCNICA SUPERIOR DE INGENIEROS AGRÓNOMOS DE CIUDAD REAL,GRADO EN ENOLOGIA,CIENCIAS,GRADO,240,246,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA TÉCNICA SUPERIOR DE INGENIEROS AGRÓNOMOS DE CIUDAD REAL,GRADO EN INGENIERIA AGRICOLA Y AGROALIMENTARIA,INGENIERÍA Y ARQUITECTURA,GRADO,240,"334,5","18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS DE CIUDAD REAL",GRADO EN INGENIERIA CIVIL Y TERRITORIAL,INGENIERÍA Y ARQUITECTURA,GRADO,240,246,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS DE CIUDAD REAL",GRADO EN MATEMATICAS,CIENCIAS,GRADO,240,120,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE CIUDAD REAL,GRADO EN INGENIERIA ELECTRICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,270,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE CIUDAD REAL,GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,270,"18,87","37,73","81,76","113,2"
2024-25,CIUDAD REAL,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL DE CIUDAD REAL,GRADO EN INGENIERIA MECANICA,INGENIERÍA Y ARQUITECTURA,GRADO,240,282,"18,87","37,73","81,76","113,2"
