UniversityID,Campus,Faculty,FacultyID
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Escuela Politécnica Superior,43342d8761b05d4e4f644f5ce364c7cd
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Ciencias,5aa89c7c58e1f19101c5e8cc03b23372
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Ciencias de la Salud,f921a09e12f17ed6eeff834c0547457c
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Ciencias Económicas y Empresariales,e1093a1e338895b3aa7cc9fa53069d23
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Derecho,98f394722d47c37452079e3e4377547a
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Educación,fe8ea443c7900681952215f533745654
f9f0a05fbac13ce20a2af52247c2b93f,Burgos,Facultad de Humanidades y Comunicación,31ae09155e08904a62b953a3476bd843
f9f0a05fbac13ce20a2af52247c2b93f,,Escuela Politécnica Superior,43342d8761b05d4e4f644f5ce364c7cd
c8b4be930789e86c8d8b17d773af6d7e,León,Escuela de Ingeniería Agraria y Forestal,19379b73b3b7ab8db4d1b3b0b92c4e3f
c8b4be930789e86c8d8b17d773af6d7e,León,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",ddca0f084c851a01517835d5bd122ecf
c8b4be930789e86c8d8b17d773af6d7e,León,Escuela Superior y Técnica de Ingenieros de Minas,9952fa217aab3225a9450c1dd24ff66b
c8b4be930789e86c8d8b17d773af6d7e,León,Escuela Universitaria de Trabajo Social,47bb3a3a9d09115de1b4c1b4cd407db0
c8b4be930789e86c8d8b17d773af6d7e,León,Facultad de Ciencias Biológicas y Ambientales,fe2fbde5936b071cd86eec32718c53be
c8b4be930789e86c8d8b17d773af6d7e,León,Facultad de Ciencias de la Actividad Física y del Deporte,010a719fb876dabd413a8cdcd2521d8e
c8b4be930789e86c8d8b17d773af6d7e,León,Facultad de Ciencias de la Salud,48d729a2d82d7dfa63a093f960271a46
