University Acronym,University,Campus,Centre,Degree,Academic Level,Ambit,Academic Year
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Arquitectura Técnica,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería Agroalimentaria y del Medio Rural,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería Civil,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería de la Salud,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería de Organización Industrial,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería Electrónica Industrial y Automática,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería Informática,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,Ingeniería Mecánica,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,PCEO Ingeniería Agroalimentaria y del Medio Rural/Ingeniería de Organización Industrial,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,PCEO Ingeniería Civil/Arquitectura Técnica,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Escuela Politécnica Superior,PCEO Ingeniería Mecánica y Ingeniería Electrónica Industrial y Automática,Grado,Engineering,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias,Ciencia y Tecnología de los Alimentos,Grado,Health Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias,Química,Grado,Science,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias de la Salud,Enfermería,Grado,Health Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias de la Salud,Psicología,Grado,Health Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias de la Salud,Terapia Ocupacional,Grado,Health Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias Económicas y Empresariales,Administración y Dirección de Empresas,Grado,Law and Economics,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias Económicas y Empresariales,Finanzas y Contabilidad,Grado,Law and Economics,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Ciencias Económicas y Empresariales,Turismo,Grado,Law and Economics,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Derecho,Ciencia Política y Gestión Pública,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Derecho,Derecho,Grado,Law and Economics,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Derecho,Relaciones Laborales y Recursos Humanos,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Derecho,PCEO Derecho y Administración y Dirección de Empresas,Grado,Law and Economics,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Derecho,PCEO Derecho y Ciencia Política y Gestión Pública,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Educación,Educación Social,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Educación,Maestro de Educación Infantil,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Educación,Maestro de Educación Primaria,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Educación,Pedagogía,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Humanidades y Comunicación,Comunicación Audiovisual,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Humanidades y Comunicación,Diseño de Videojuegos,Grado,Social Sciences,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Humanidades y Comunicación,Español: Lengua y Literatura,Grado,Arts and Humanities,2023-2024
UBU,Universidad de Burgos,Burgos,Facultad de Humanidades y Comunicación,Historia y Patrimonio,Grado,Arts and Humanities,2023-2024
UBU,Universidad de Burgos,,Escuela Politécnica Superior,Ingeniería de Empresa Digital,Grado,Engineering,2023-2024
ULE,Universidad de León,León,Escuela de Ingeniería Agraria y Forestal,Ingeniería Agraria,Grado,Engineering,2023-2024
ULE,Universidad de León,León,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Ingeniería Aeroespacial,Grado,Engineering,2023-2024
ULE,Universidad de León,León,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Ingeniería de Datos e Inteligencia Artificial,Grado,Engineering,2023-2024
ULE,Universidad de León,León,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Ingeniería Eléctrica,Grado,Engineering,2023-2024
