Universidad;Campus;Centro;Denominación de la Titulación;Rama
UBU;Burgos;Escuela Politécnica Superior;Grado en Arquitectura Técnica;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería Agroalimentaria y del Medio Rural;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería Civil;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería de la Salud;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería de Organización Industrial;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería Electrónica Industrial y Automática;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería Informática;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;Grado en Ingeniería Mecánica;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;PCEO Grado en Ingeniería Agroalimentaria y del Medio Rural/Grado en Ingeniería de Organización Industrial;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;PCEO Grado en Ingeniería Civil/Grado en Arquitectura Técnica;Ingeniería y Arquitectura
UBU;Burgos;Escuela Politécnica Superior;PCEO Grado en Ingeniería Mecánica y Grado en Ingeniería Electrónica Industrial y Automática;Ingeniería y Arquitectura
UBU;Burgos;Facultad de Ciencias;Grado en Ciencia y Tecnología de los Alimentos;Ciencias de la Salud
UBU;Burgos;Facultad de Ciencias;Grado en Química;Ciencias
UBU;Burgos;Facultad de Ciencias de la Salud;Grado en Enfermería;Ciencias de la Salud
UBU;Burgos;Facultad de Ciencias de la Salud;Grado en Psicología;Ciencias de la Salud
UBU;Burgos;Facultad de Ciencias de la Salud;Grado en Terapia Ocupacional;Ciencias de la Salud
UBU;Burgos;Facultad de Ciencias Económicas y Empresariales;Grado en Administración y Dirección de Empresas;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Ciencias Económicas y Empresariales;Grado en Finanzas y Contabilidad;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Ciencias Económicas y Empresariales;Grado en Turismo;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Derecho;Grado en Ciencia Política y Gestión Pública;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Derecho;Grado en Derecho;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Derecho;Grado en Relaciones Laborales y Recursos Humanos;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Derecho;PCEO Grado en Derecho y Grado en Administración y Dirección de Empresas;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Derecho;PCEO Grado en Derecho y Grado en Ciencia Política y Gestión Pública;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Educación;Grado en Educación Social;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Educación;Grado en Maestro de Educación Infantil;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Educación;Grado en Maestro de Educación Primaria;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Educación;Grado en Pedagogía;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Humanidades y Comunicación;Grado en Comunicación Audiovisual;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Humanidades y Comunicación;Grado en Diseño de Videojuegos;Ciencias Sociales y Jurídicas
UBU;Burgos;Facultad de Humanidades y Comunicación;Grado en Español: Lengua y Literatura;Artes y Humanidades
UBU;Burgos;Facultad de Humanidades y Comunicación;Grado en Historia y Patrimonio;Artes y Humanidades
UBU;;Escuela Politécnica Superior;Grado en Ingeniería de Empresa Digital;Ingeniería y Arquitectura
ULE;León;Escuela de Ingeniería Agraria y Forestal;Grado en Ingeniería Agraria;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería Aeroespacial;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería de Datos e Inteligencia Artificial;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería Eléctrica;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería en Electrónica Industrial y Automática;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería Informática;Ingeniería y Arquitectura
ULE;León;Escuela de Ingenierías Industrial, Informática y Aeroespacial;Grado en Ingeniería Mecánica;Ingeniería y Arquitectura
ULE;León;Escuela Superior y Técnica de Ingenieros de Minas;Grado en Ingeniería de la Energía;Ingeniería y Arquitectura
ULE;León;Escuela Superior y Técnica de Ingenieros de Minas;Grado en Ingeniería Minera;Ingeniería y Arquitectura
ULE;León;Escuela Superior y Técnica de Ingenieros de Minas;PCEO Grado en Ingeniería Eléctrica y Grado en Ingeniería de la Energía;Ingeniería y Arquitectura
ULE;León;Escuela Superior y Técnica de Ingenieros de Minas;PCEO Grado en Ingeniería Minera y Grado en Ingeniería de la Energía;Ingeniería y Arquitectura
ULE;León;Escuela Universitaria de Trabajo Social;Grado en Trabajo Social;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Biológicas y Ambientales;Grado en Biología;Ciencias
ULE;León;Facultad de Ciencias Biológicas y Ambientales;Grado en Biotecnología;Ciencias
ULE;León;Facultad de Ciencias Biológicas y Ambientales;Grado en Ciencias Ambientales;Ciencias
ULE;León;Facultad de Ciencias Biológicas y Ambientales;PCEO Grado en Ingeniería Forestal y del Medio Natural y Grado Ciencias Ambientales;Ciencias
ULE;León;Facultad de Ciencias de la Actividad Física y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias de la Salud;Grado en Enfermería;Ciencias de la Salud
ULE;León;Facultad de Ciencias del Trabajo;Grado en Relaciones Laborales y Recursos Humanos;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Administración y Dirección de Empresas;Ciencias Sociales y Jurídicas
