Academic Year,Codi Oferta,Codi CIF,University,UniversityID,Acronymn,Type,Modality,Address,Municipality,Province,Degree,DegreeID,Knowledge Area,Knowledge Area ID,Faculty,Faculty ID,Academic Level,Academic Level ID,Correspondència Codi SAC,Via d’accés,Cut-Off,Number of Places
2024-2025,930,Q5850017,Universidad Pompeu Fabra,3bd27a309cbe4e2d7f35ec99b74525c0,UPF,Publica,Presencial,"PlaÃ§a de la MercÃ¨, 10-12",Barcelona,Barcelona,Dret,23a4ae2dc83b8d80709c75b3c1052179,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Fernando Garcia Benavides,267432d9cb30fd75626b17c164300e7c,Grado,d6d85d89b4612501521435bd3f620a9a,373,Pau/cfgs/FP,"11,103",260
2024-2025,1075,Q0818001,Universidad de Barcelona,7ce4c67f7247673210d9b6d8aa5e7570,UB,Publica,Presencial,"Gran Via de Les Corts Catalanes, 585",Barcelona,Barcelona,Estudis Literaris,45ae6ebccd045ff16bb0530ab0887fed,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,Mapi Ballesteros Panizo,34172971328e919115cbff02f4552b31,Grado,d6d85d89b4612501521435bd3f620a9a,164,Pau/cfgs/FP,"7,300",100
2024-2025,1169,Q7550001,Universidad de Lleida,bf0d31e1fd4ee242c0fe00c2ee08b759,UDL,Publica,Presencial,"Plaza VÃ­ctor Siurana, 1",Lleida,Lleida,Dret,9ab3f943987e6efd0b465cd4c015f539,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Maria Teresa Areces Pinol,a6e51ad578295b9ad93f7958dab0c2fd,Grado,d6d85d89b4612501521435bd3f620a9a,426,Pau/cfgs/FP,"7,766",115
2024-2025,4565,Q0818001,Universidad de Barcelona,7ce4c67f7247673210d9b6d8aa5e7570,UB,Publica,Presencial,"Gran Via de Les Corts Catalanes, 585",Barcelona,Barcelona,Gestió d'Informació i Documentació Digital,6fc536df659160571e10e5abc0fb8ae8,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Xavier Fageda,39ac702fc6cc383b0d8920398581fedf,Grado,d6d85d89b4612501521435bd3f620a9a,164,Pau/cfgs/FP,"6,760",60
2024-2025,926,Q5850017,Universidad Pompeu Fabra,3bd27a309cbe4e2d7f35ec99b74525c0,UPF,Publica,Presencial,"PlaÃ§a de la MercÃ¨, 10-12",Barcelona,Barcelona,Administració i Direcció d'Empreses,afd70b4dd4bcfed5c412108c237fca26,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Oriol Amat Salas,9aa29076f04a03bbe98d9a40e209c10a,Grado,d6d85d89b4612501521435bd3f620a9a,373,Pau/cfgs/FP,"11,316",170
2024-2025,1082,Q0818002,Universidad AutÃ³noma de Barcelona,91aa5268851f200c64bd1a238ed37fcf,UAB,Publica,Presencial,Campus de Bellaterra,Cerdanyola del Vallès,Barcelona,"Enginyeria en Organització Industrial ""EU Salesiana de Sarrià""",7f2d106e76f91d7c506d078bc2877691,IngenierÃ­a y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025","Godia Casablancas, Francesc",a777440b794aab85b212b4396f338f3f,Grado,d6d85d89b4612501521435bd3f620a9a,244,Pau/cfgs/FP,"6,160",45
2024-2025,930,Q5850017,Universidad Pompeu Fabra,3bd27a309cbe4e2d7f35ec99b74525c0,UPF,Publica,Presencial,"PlaÃ§a de la MercÃ¨, 10-12",Barcelona,Barcelona,Dret,23a4ae2dc83b8d80709c75b3c1052179,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Fernando Garcia Benavides,267432d9cb30fd75626b17c164300e7c,Grado,d6d85d89b4612501521435bd3f620a9a,373,Pau/cfgs/FP,"11,103",260
2024-2025,1134,Q0818001,Universidad de Barcelona,7ce4c67f7247673210d9b6d8aa5e7570,UB,Publica,Presencial,"Gran Via de Les Corts Catalanes, 585",Barcelona,Barcelona,Estadística,f17c39cc463fb8a4b6b9dceb520d21db,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,Marti Duocastella Sola,b5fea1fdaa3d6e420882ad7ac7d881f5,Grado,d6d85d89b4612501521435bd3f620a9a,164,Pau/cfgs/FP,"10,550",50
2024-2025,934,Q6750002,Universitat de Girona,26e6f2790707f868f9d05141e6f2f906,UDG,Publica,Presencial,"Plaza Sant DomÃ¨nec, 3. Edificio Les Ã€ligues",Girona,Girona,Dret,9345a1397724fed60c7a6be97dc03f1b,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Dr. Pilar Albertin Carbo,d83774012d99175688ee300634000c10,Grado,d6d85d89b4612501521435bd3f620a9a,403,Pau/cfgs/FP,"8,820",155
2024-2025,1076,Q0818001,Universidad de Barcelona,7ce4c67f7247673210d9b6d8aa5e7570,UB,Publica,Presencial,"Gran Via de Les Corts Catalanes, 585",Barcelona,Barcelona,Filologia Catalana,a75160b54f787c3e9cc1c6e626524b56,Ciencias Sociales y Juridicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",Germa Bel,ba4df1e534e9376663a1c3edd227d4a6,Grado,d6d85d89b4612501521435bd3f620a9a,164,Pau/cfgs/FP,"5,000",70
