Curs acadèmic,Any,Codi Oferta,Nom de l’Oferta,Tipus d’estudi,Sigles Universitat responsable,Via d’accés,Nota de tall,Municipi,Nombre de places
2023-2024,2023,942,Turisme,Grau,UdG,Pau/cfgs/FP,5.000,Girona,105
2023-2024,2023,837,Medicina,Grau,UdG,Pau/cfgs/FP,12.676,Girona,92
2023-2024,2023,840,Matemàtiques,Grau,UAB,Pau/cfgs/FP,12.268,Cerdanyola del Vallès,60
2023-2024,2023,841,Biologia Humana,Grau,UPF,Pau/cfgs/FP,12.088,Barcelona,65
2023-2024,2023,842,Comunicació Audiovisual,Grau,UPF,Pau/cfgs/FP,12.020,Barcelona,80
2023-2024,2023,843,Humanitats,Grau,UPF,Pau/cfgs/FP,5.000,Barcelona,170
2023-2024,2023,864,Ciències de l'Activitat Física i de l'Esport,Grau,UVic,Pau/cfgs/FP,5.000,Vic,100
2023-2024,2023,870,Física,Grau,UAB,Pau/cfgs/FP,12.108,Cerdanyola del Vallès,70
2023-2024,2023,871,"Administració i Direcció d'Empreses ""EUNCET""",Grau,UPC,Pau/cfgs/FP,5.000,Terrassa,60
2023-2024,2023,872,Biotecnologia,Grau,UdL,Pau/cfgs/FP,10.503,Lleida,50
2023-2024,2023,875,Criminologia,Grau,UAB,Pau/cfgs/FP,9.540,Cerdanyola del Vallès,70
2023-2024,2023,876,Relacions Laborals,Grau,UAB,Pau/cfgs/FP,7.798,Cerdanyola del Vallès,125
2023-2024,2023,877,Antropologia Social i Cultural,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,80
2023-2024,2023,879,Història de l'Art,Grau,UAB,Pau/cfgs/FP,5.000,Cerdanyola del Vallès,80
2023-2024,2023,880,Musicologia,Grau,UAB,Pau/cfgs/FP,5.350,Cerdanyola del Vallès,60
2023-2024,2023,884,Educació Social,Grau,URV,Pau/cfgs/FP,8.290,Tarragona,55
2023-2024,2023,885,Pedagogia,Grau,URV,Pau/cfgs/FP,8.434,Tarragona,45
2023-2024,2023,886,Comunicació Audiovisual,Grau,URV,Pau/cfgs/FP,10.014,Tarragona,45
2023-2024,2023,887,Periodisme,Grau,URV,Pau/cfgs/FP,9.288,Tarragona,45
2023-2024,2023,888,Publicitat i Relacions Públiques,Grau,URV,Pau/cfgs/FP,9.814,Tarragona,45
2023-2024,2023,889,Bioquímica i Biologia Molecular,Grau,URV,Pau/cfgs/FP,11.124,Tarragona,45
2023-2024,2023,890,Biotecnologia,Grau,URV,Pau/cfgs/FP,11.067,Tarragona,40
2023-2024,2023,892,Biotecnologia,Grau,UVic,Pau/cfgs/FP,6.500,Vic,50
2023-2024,2023,894,Enginyeria Mecatrònica,Grau,UVic,Pau/cfgs/FP,5.000,Vic,40
2023-2024,2023,897,Teràpia Ocupacional (presencial/semipresencial),Grau,UVic,Pau/cfgs/FP,5.000,Vic,40
2023-2024,2023,898,Educació Infantil,Grau,UVic,Pau/cfgs/FP,5.000,Vic,90
2023-2024,2023,899,Educació Primària,Grau,UVic,Pau/cfgs/FP,5.000,Vic,70
2023-2024,2023,900,Educació Social,Grau,UVic,Pau/cfgs/FP,6.058,Vic,45
2023-2024,2023,901,Comunicació Audiovisual,Grau,UVic,Pau/cfgs/FP,5.000,Vic,40
2023-2024,2023,902,Periodisme,Grau,UVic,Pau/cfgs/FP,5.000,Vic,55
2023-2024,2023,905,"Disseny ""Eina""",Grau,UAB,Pau/cfgs/FP,5.000,Barcelona,150
2023-2024,2023,906,Biologia,Grau,UAB,Pau/cfgs/FP,10.952,Cerdanyola del Vallès,80
2023-2024,2023,907,Biologia Ambiental,Grau,UAB,Pau/cfgs/FP,10.764,Cerdanyola del Vallès,60
2023-2024,2023,908,Bioquímica,Grau,UAB,Pau/cfgs/FP,11.362,Cerdanyola del Vallès,60
2023-2024,2023,909,Biotecnologia,Grau,UAB,Pau/cfgs/FP,11.530,Cerdanyola del Vallès,80
2023-2024,2023,910,Educació Social,Grau,UAB,Pau/cfgs/FP,9.500,Cerdanyola del Vallès,80
2023-2024,2023,914,Estudis d'Àsia Oriental -Xinès-,Grau,UAB,Pau/cfgs/FP,7.344,Cerdanyola del Vallès,40
2023-2024,2023,917,Estudis d'Àsia Oriental -Japonès-,Grau,UAB,Pau/cfgs/FP,9.100,Cerdanyola del Vallès,40
2023-2024,2023,918,Biologia,Grau,UB,Pau/cfgs/FP,11.034,Barcelona,160
2023-2024,2023,919,Bioquímica,Grau,UB,Pau/cfgs/FP,11.794,Barcelona,60
2023-2024,2023,920,Biotecnologia,Grau,UB,Pau/cfgs/FP,11.812,Barcelona,80
2023-2024,2023,921,Ciències Ambientals,Grau,UB,Pau/cfgs/FP,10.048,Barcelona,60
2023-2024,2023,924,Relacions Laborals,Grau,UPF,Pau/cfgs/FP,7.729,Barcelona,180
2023-2024,2023,925,"Infermeria ""Escola Superior d'Infermeria del Mar""",Grau,UPF,Pau/cfgs/FP,10.096,Barcelona,85
2023-2024,2023,926,Administració i Direcció d'Empreses,Grau,UPF,Pau/cfgs/FP,11.282,Barcelona,170
2023-2024,2023,927,Economia,Grau,UPF,Pau/cfgs/FP,10.800,Barcelona,170
2023-2024,2023,928,Ciències Polítiques i de l'Administració,Grau,UPF,Pau/cfgs/FP,7.536,Barcelona,140
2023-2024,2023,929,Periodisme,Grau,UPF,Pau/cfgs/FP,11.315,Barcelona,80
2023-2024,2023,930,Dret,Grau,UPF,Pau/cfgs/FP,10.914,Barcelona,260
2023-2024,2023,934,Dret,Grau,UdG,Pau/cfgs/FP,8.453,Girona,155
2023-2024,2023,943,Educació Social,Grau,UdG,Pau/cfgs/FP,8.370,Girona,60
2023-2024,2023,944,Psicologia,Grau,UdG,Pau/cfgs/FP,9.680,Girona,80
2023-2024,2023,948,Psicologia,Grau,URV,Pau/cfgs/FP,9.502,Tarragona,125
2023-2024,2023,951,Treball Social,Grau,URV,Pau/cfgs/FP,7.400,Tarragona,85
2023-2024,2023,952,Anglès,Grau,URV,Pau/cfgs/FP,5.966,Tarragona,55
2023-2024,2023,953,Llengua i Literatura Hispàniques,Grau,URV,Pau/cfgs/FP,5.000,Tarragona,40
2023-2024,2023,954,Llengua i Literatura Catalanes,Grau,URV,Pau/cfgs/FP,5.000,Tarragona,40
2023-2024,2023,955,Medicina,Grau,URV,Pau/cfgs/FP,12.768,Reus,137
2023-2024,2023,956,Química,Grau,URV,Pau/cfgs/FP,9.206,Tarragona,60
2023-2024,2023,981,"Comunicació Audiovisual i Multimèdia ""ERAM""",Grau,UdG,Pau/cfgs/FP,5.000,Salt,50
2023-2024,2023,983,Enginyeria Electrònica Industrial i Automàtica,Grau,UdG,Pau/cfgs/FP,6.316,Girona,50
2023-2024,2023,984,Enginyeria Mecànica,Grau,UdG,Pau/cfgs/FP,6.742,Girona,90
2023-2024,2023,985,Enginyeria Química,Grau,UdG,Pau/cfgs/FP,7.458,Girona,40
2023-2024,2023,986,Fisioteràpia,Grau,UdG,Pau/cfgs/FP,7.440,Salt,150
2023-2024,2023,987,Ciències de l'Activitat Física i de l'Esport,Grau,UdG,Pau/cfgs/FP,6.449,Salt,90
