Code,Degree,University Wikidata,University,Academic Level,Ambit
2500813,Administración de Empresas,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Law and Economics
2504404,Bellas Artes / Bachelor in Fine Arts,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2500703,Biología,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Science
2500704,Bioquímica,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Science
2504526,Ciencias de la Actividad Física y del Deporte,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Social Sciences
2500843,Derecho,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Law and Economics
2503837,Dirección Hotelera,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Law and Economics
2500932,Economía,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Law and Economics
2500935,Edificación,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2500933,Educación Infantil,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Social Sciences
2500986,Educación Primaria,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Social Sciences
2500336,Educación Social,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Social Sciences
2500930,Enfermería,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Health Sciences
2500331,Estudios Ingleses,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2504674,Farmacia,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Health Sciences
2500701,Filosofía,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2500334,Física,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Science
2500931,Fisioterapia,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Health Sciences
2500702,Geografía,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Social Sciences
2500784,Historia del Arte,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2500511,Historia,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2502341,Ingeniería Agroalimentaria y del Medio Rural,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2502134,Ingeniería Electrónica Industrial y Automática,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2502135,Ingeniería Informática,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2502136,Ingeniería Telemática,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2500332,Lengua y Literatura Catalanas,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2500333,Lengua y Literatura Españolas,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Arts and Humanities
2500777,Matemáticas,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Engineering
2503367,Medicina,University of the Balearic Islands,Universitat de les Illes Balears,Grado,Health Sciences
