Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500377,Física,5b1e97dd9a955d3177eefb30c3808e95,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",58,0,0,15,43
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7001058,Química y Ingeniería Química,49f48dea4ed3a687e1e2311976a23972,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",20,0,0,9,11
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500723,Biotecnología,fb7a91254c8b3f5f5fcd5c3d97a3af9e,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",60,0,0,9,50
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500124,Comunicación Audiovisual,400cfa3eb77cfd6d88348e9beedfe7d0,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",59,5,15,35,2
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504166,Gestión de Información y Contenidos Digitales,499f9ce839e0a8dc6b12aa3f3ac942da,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",43,2,20,18,3
2024-2025,30013876,Facultad de Ciencias del Deporte,b79288486ea73b08bb75c9161366d3ce,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500853,Ciencias de la Actividad Física y del Deporte,2507ddc9273fdeef79284d8fe9ec73e0,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",98,0,0,88,4
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7000971,Educación Infantil y Educación Primaria,c68d5e7f77d8ff8b7e77de415f0e3342,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",71,0,0,0,66
2024-2025,30013876,Facultad de Ciencias del Deporte,b79288486ea73b08bb75c9161366d3ce,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7001072,Ciencias de la Actividad Física y del Deporte y Nutrición Humana y Dietética,5608788220a7bf8e0ef33d41db595017,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",19,0,0,15,3
2024-2025,30013281,Facultad de Turismo,2d3a5a7f976693ea91060ab6e229b53f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503589,Relaciones Internacionales,52e164088146995e48024c5b66167b65,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",103,20,36,37,10
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,a7512303bb72ec2d6ffcdfabcf24b51a,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2502499,Nutrición Humana y Dietética,049d1dcfd44c14542045ed5f52c7b17b,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",54,6,26,22,0
