Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,nota_corte
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4313649,Abogacía y Procura,b14528863ad65da680797824635eddc7,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.07
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312074,Anatomía Aplicada a la Clínica,2f42c8441223a67c7925ad5a453ef4d6,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",7.59
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4316158,Análisis Político Aplicado,9cc696b37b60be6d49d755c1b08fd5f4,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.21
2024-2025,30011387,Facultad de Ciencias del Trabajo,2f43d31867f2aad9e169b3a8d70abc4e,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315270,Asesoría Jurídico Laboral,61704bbd632299deb987e1b17cf80301,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.67
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315265,Auditoría de Cuentas,e4d2b95d7455870fd8c16bd2390ac197,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.34
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312088,"Bioderecho: Derecho, Ética y Ciencia",ab260c37f09ce7afbc677f6a36d19221,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.0
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4314633,Bioinformática,785fac4cd01fa6a4700aac1d8ffbc00c,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",5.0
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4310191,Biología Molecular y Biotecnología,dc616516f738690c76a4cd7a47d83dba,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",6.49
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312075,Bioética,e5fbad0904c47980b5b305082cc049df,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",7.09
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4318438,Ciberseguridad,f4b42274203c146611f9ecd6a78fdedc,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",6.61
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312067,Ciencias Forenses,2dd926b9dde45539596405b75749f6bb,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",6.59
