Code,Academic Year,Degree,University,Academic Level,Ambit
2500955,2024-2025,Administración y Dirección de Empresas,Universidad Politécnica de Cartagena,Grado,Ciencias Sociales y Jurídicas
2502066,2024-2025,Arquitectura Naval e Ingeniería de Sistemas Marinos,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2500086,2024-2025,Arquitectura,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2503197,2024-2025,Fundamentos de Arquitectura,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2502899,2024-2025,Ingeniería Agroalimentaria y de Sistemas Biológicos,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2504227,2024-2025,Ingeniería Biomédica,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2504087,2024-2025,Ingeniería Civil,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2500394,2024-2025,Ingeniería de Edificación,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2502069,2024-2025,Ingeniería de la Hortofruticultura y Jardinería,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2502072,2024-2025,Ingeniería de las Industrias Agroalimentarias,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2504141,2024-2025,Ingeniería de Recursos Minerales y Energía,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2501176,2024-2025,Ingeniería Eléctrica,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2500956,2024-2025,Ingeniería Electrónica Industrial y Automática,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2504182,2024-2025,Ingeniería en Diseño Industrial y Desarrollo de Producto,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2501480,2024-2025,Ingeniería en Organización Industrial,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2501006,2024-2025,Ingeniería en Sistemas de Telecomunicación,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2502077,2024-2025,Ingeniería en Tecnologías Industriales,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2501065,2024-2025,Ingeniería Mecánica,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2500991,2024-2025,Ingeniería Química Industrial,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2501177,2024-2025,Ingeniería Telemática,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
1500103,2024-2025,Tecnología y Operaciones Militares Aeroespaciales,Universidad Politécnica de Cartagena,Grado,Ingeniería y Arquitectura
2503650,2024-2025,Turismo,Universidad Politécnica de Cartagena,Grado,Ciencias Sociales y Jurídicas
4312751,2024-2025,Administración y Dirección de Empresas (MBA),Universidad Politécnica de Cartagena,Máster,Ciencias Sociales y Jurídicas
4312105,2024-2025,Administración y Dirección de Entidades de Economía Social,Universidad Politécnica de Cartagena,Máster,Ciencias Sociales y Jurídicas
4317177,2024-2025,Arquitectura,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4314672,2024-2025,Ciencia y Tecnología del Agua y del Terreno,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4317078,2024-2025,Dirección de Agronegocios,Universidad Politécnica de Cartagena,Máster,Ciencias Sociales y Jurídicas
4315845,2024-2025,Dirección de Entidades de la Economía Social,Universidad Politécnica de Cartagena,Máster,Ciencias Sociales y Jurídicas
4311461,2024-2025,Energías Renovables,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4312106,2024-2025,Gestión y Dirección de Empresas e Instituciones Turísticas,Universidad Politécnica de Cartagena,Máster,Ciencias Sociales y Jurídicas
4317578,2024-2025,Industria 4.0,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4314594,2024-2025,Ingeniería Agronómica,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4310259,2024-2025,Ingeniería Ambiental y de Procesos Químicos y Biotecnológicos,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4314062,2024-2025,Ingeniería Ambiental y de Procesos Sostenibles,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4312723,2024-2025,"Ingeniería de Caminos, Canales y Puertos",Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4317388,2024-2025,Ingeniería de Minas,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4312975,2024-2025,Ingeniería de Telecomunicación,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4310774,2024-2025,Ingeniería del Agua y del Terreno,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4313869,2024-2025,Ingeniería Industrial,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
3500365,2024-2025,Ingeniería Militar Aeroespacial,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4314675,2024-2025,Ingeniería Naval y Oceánica,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4316880,2024-2025,Ingeniería Telemática,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4310260,2024-2025,"Innovación, Desarrollo y Sostenibilidad Agroalimentaria",Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4317241,2024-2025,Metodología BIM para el Desarrollo de Proyectos de Infraestructuras,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4315343,2024-2025,Organización Industrial,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4312734,2024-2025,Patrimonio Arquitectónico,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4315811,2024-2025,Sistemas Electrónicos e Instrumentación,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4316381,2024-2025,Técnicas de Ayuda a la Decisión,Universidad Politécnica de Cartagena,Máster,Ciencias
4314225,2024-2025,Tecnología de Edificación,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
4311462,2024-2025,Tecnologías de la Información y Comunicaciones,Universidad Politécnica de Cartagena,Máster,Ingeniería y Arquitectura
