Academic Year,Centre Code,Centre,University,Academic Level,Degree Code,Degree,Ambit,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Grado,2500377,Física,Ciencias,58,0,0,15,43
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Doble Grado,7001058,Química y Ingeniería Química,Ciencias,20,0,0,9,11
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Grado,2500723,Biotecnología,Ciencias,60,0,0,9,50
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Grado,2500124,Comunicación Audiovisual,Ingeniería y Arquitectura,59,5,15,35,2
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Grado,2504166,Gestión de Información y Contenidos Digitales,Ingeniería y Arquitectura,43,2,20,18,3
2024-2025,30013876,Facultad de Ciencias del Deporte,Universidad de Murcia,Grado,2500853,Ciencias de la Actividad Física y del Deporte,Ciencias,98,0,0,88,4
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Doble Grado,7000971,Educación Infantil y Educación Primaria,Ciencias Sociales y Jurídicas,71,0,0,0,66
2024-2025,30013876,Facultad de Ciencias del Deporte,Universidad de Murcia,Doble Grado,7001072,Ciencias de la Actividad Física y del Deporte y Nutrición Humana y Dietética,Ciencias,19,0,0,15,3
2024-2025,30013281,Facultad de Turismo,Universidad de Murcia,Grado,2503589,Relaciones Internacionales,Ciencias Sociales y Jurídicas,103,20,36,37,10
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,Universidad de Murcia,Grado,2502499,Nutrición Humana y Dietética,Ciencias de la Salud,54,6,26,22,0
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Grado,2500369,Estudios Ingleses,Artes y Humanidades,147,18,40,66,22
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Grado,2500133,Farmacia,Ciencias de la Salud,57,0,0,14,42
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Grado,2500789,Ciencias Ambientales,Ciencias,38,11,18,9,0
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Grado,2500722,Biología,Ciencias,85,0,0,68,17
2024-2025,30011387,Facultad de Ciencias del Trabajo,Universidad de Murcia,Grado,2500805,Relaciones Laborales y Recursos Humanos (Murcia),Ciencias Sociales y Jurídicas,107,23,55,25,1
2024-2025,30011545,Isen Formación Universitaria,Universidad de Murcia,Grado,2500380,Educación Primaria (Cartagena),Ciencias Sociales y Jurídicas,68,10,24,33,1
