curso_academico_cod,curso_academico,tipo_centro,centro_cod,centro_cod_mec,centro,ciclo_titulacion_cod,ciclo_titulacion,titulacion_cod,titulacion_cod_mec,titulacion,especialidad,convocatoria_cod,nota_corte,nota_corte_mujer,nota_corte_hombre
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,347,4313649,Máster Universitario en Abogacía y Procura,No Aplica,J,6.07,6.07,6.94
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,347,4313649,Máster Universitario en Abogacía y Procura,No Aplica,M,6.56,6.56,6.56
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,347,4313649,Máster Universitario en Abogacía y Procura,No Aplica,S,5.0,5.82,5.0
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,347,4313649,Máster Universitario en Abogacía y Procura,No Aplica,T,5.0,5.82,5.0
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,263,4312074,Máster Universitario en Anatomía Aplicada a la Clínica,No Aplica,T,7.59,7.59,7.6
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,263,4312074,Máster Universitario en Anatomía Aplicada a la Clínica,No Aplica,S,7.59,7.59,8.58
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,263,4312074,Máster Universitario en Anatomía Aplicada a la Clínica,No Aplica,J,7.6,,7.6
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,263,4312074,Máster Universitario en Anatomía Aplicada a la Clínica,No Aplica,M,7.81,7.81,
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,323,4316158,Máster Universitario en Análisis Político Aplicado,No Aplica,S,6.21,6.56,6.21
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,323,4316158,Máster Universitario en Análisis Político Aplicado,No Aplica,M,7.61,7.61,8.44
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,323,4316158,Máster Universitario en Análisis Político Aplicado,No Aplica,J,6.82,7.81,6.82
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,323,4316158,Máster Universitario en Análisis Político Aplicado,No Aplica,T,6.21,6.56,6.21
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,316,4315270,Máster Universitario en Asesoría Jurídico Laboral,No Aplica,J,6.67,6.95,6.67
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,316,4315270,Máster Universitario en Asesoría Jurídico Laboral,No Aplica,M,6.86,,6.86
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,316,4315270,Máster Universitario en Asesoría Jurídico Laboral,No Aplica,T,6.03,6.27,6.03
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,316,4315270,Máster Universitario en Asesoría Jurídico Laboral,No Aplica,S,6.03,6.27,6.03
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,314,4315265,Máster Universitario en Auditoría de Cuentas,No Aplica,J,6.34,6.34,6.61
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,314,4315265,Máster Universitario en Auditoría de Cuentas,No Aplica,S,6.28,6.28,6.79
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,314,4315265,Máster Universitario en Auditoría de Cuentas,No Aplica,M,5.71,5.71,7.48
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,314,4315265,Máster Universitario en Auditoría de Cuentas,No Aplica,T,5.71,5.71,6.61
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,242,4312088,"Máster Universitario en Bioderecho: Derecho, Ética y Ciencia",No Aplica,S,7.0,7.7,7.0
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,242,4312088,"Máster Universitario en Bioderecho: Derecho, Ética y Ciencia",No Aplica,T,6.37,6.37,7.0
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,242,4312088,"Máster Universitario en Bioderecho: Derecho, Ética y Ciencia",No Aplica,M,6.37,6.37,
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,242,4312088,"Máster Universitario en Bioderecho: Derecho, Ética y Ciencia",No Aplica,J,7.32,7.32,
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,313,4314633,Máster Universitario en Bioinformática,No Aplica,J,5.0,5.0,6.55
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,313,4314633,Máster Universitario en Bioinformática,No Aplica,T,5.0,5.0,6.55
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,313,4314633,Máster Universitario en Bioinformática,No Aplica,S,6.72,8.41,6.72
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,202,4310191,Máster Universitario en Biología Molecular y Biotecnología,No Aplica,J,6.49,6.49,7.32
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,202,4310191,Máster Universitario en Biología Molecular y Biotecnología,No Aplica,T,6.49,6.49,7.32
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,264,4312075,Máster Universitario en Bioética,No Aplica,T,7.09,7.29,7.09
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,264,4312075,Máster Universitario en Bioética,No Aplica,M,7.09,7.29,7.09
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,264,4312075,Máster Universitario en Bioética,No Aplica,J,,,
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,M,Máster,346,4318438,Máster Universitario en Ciberseguridad / Master in Cybersecurity,No Aplica,J,6.61,,6.61
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,M,Máster,346,4318438,Máster Universitario en Ciberseguridad / Master in Cybersecurity,No Aplica,S,6.96,7.0,6.96
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,M,Máster,346,4318438,Máster Universitario en Ciberseguridad / Master in Cybersecurity,No Aplica,M,8.03,,8.03
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,M,Máster,346,4318438,Máster Universitario en Ciberseguridad / Master in Cybersecurity,No Aplica,T,6.61,7.0,6.61
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,236,4312067,Máster Universitario en Ciencias Forenses,No Aplica,S,6.59,6.59,7.56
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,236,4312067,Máster Universitario en Ciencias Forenses,No Aplica,J,6.34,6.34,6.88
2024,2024/2025,Centros propios,0E01,30010221,Facultad de Biología,M,Máster,236,4312067,Máster Universitario en Ciencias Forenses,No Aplica,T,6.34,6.34,6.88
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,M,Máster,306,4314678,Máster Universitario en Comunicación Móvil y Contenido Digital,No Aplica,T,6.59,6.59,7.01
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,M,Máster,306,4314678,Máster Universitario en Comunicación Móvil y Contenido Digital,No Aplica,J,7.18,8.03,7.18
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,M,Máster,306,4314678,Máster Universitario en Comunicación Móvil y Contenido Digital,No Aplica,S,6.59,6.59,7.01
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,341,4317821,Máster Universitario en Criminología y Delincuencia,No Aplica,T,5.0,7.12,5.0
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,341,4317821,Máster Universitario en Criminología y Delincuencia,No Aplica,M,7.21,,7.21
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,341,4317821,Máster Universitario en Criminología y Delincuencia,No Aplica,J,7.25,7.25,
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,M,Máster,341,4317821,Máster Universitario en Criminología y Delincuencia,No Aplica,S,5.0,7.12,5.0
2024,2024/2025,Centros propios,0E43,30011727,Facultad de Trabajo Social,M,Máster,331,4317038,Máster Universitario en Dependencia,No Aplica,T,6.17,6.76,6.17
2024,2024/2025,Centros propios,0E43,30011727,Facultad de Trabajo Social,M,Máster,331,4317038,Máster Universitario en Dependencia,No Aplica,S,6.76,6.76,
2024,2024/2025,Centros propios,0E43,30011727,Facultad de Trabajo Social,M,Máster,331,4317038,Máster Universitario en Dependencia,No Aplica,M,7.96,,7.96
2024,2024/2025,Centros propios,0E43,30011727,Facultad de Trabajo Social,M,Máster,331,4317038,Máster Universitario en Dependencia,No Aplica,J,6.17,7.61,6.17
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,246,4312434,Máster Universitario en Dirección de Empresas (MBA),No Aplica,S,6.52,6.52,6.92
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,246,4312434,Máster Universitario en Dirección de Empresas (MBA),No Aplica,T,6.09,6.09,6.3
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,246,4312434,Máster Universitario en Dirección de Empresas (MBA),No Aplica,M,6.11,6.11,6.34
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,M,Máster,246,4312434,Máster Universitario en Dirección de Empresas (MBA),No Aplica,J,6.09,6.09,6.3
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,319,4315156,Máster Universitario en Dirección y Gestión de Recursos Humanos,No Aplica,J,6.13,6.47,6.13
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,319,4315156,Máster Universitario en Dirección y Gestión de Recursos Humanos,No Aplica,T,5.85,5.85,6.02
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,319,4315156,Máster Universitario en Dirección y Gestión de Recursos Humanos,No Aplica,S,5.85,5.85,6.02
2024,2024/2025,Centros propios,0E38,30011387,Facultad de Ciencias del Trabajo,M,Máster,319,4315156,Máster Universitario en Dirección y Gestión de Recursos Humanos,No Aplica,M,6.46,6.46,6.52
2024,2024/2025,Centros adscritos,0E97,30014157,"Escuela de Negocios, Dirección y Administración ",M,Máster,335,4317167,Máster Universitario en Dirección y Gestión en Comercio Internacional / International Trade,No Aplica,T,6.89,6.89,7.0
2024,2024/2025,Centros adscritos,0E97,30014157,"Escuela de Negocios, Dirección y Administración ",M,Máster,335,4317167,Máster Universitario en Dirección y Gestión en Comercio Internacional / International Trade,No Aplica,S,6.89,6.89,7.0
2024,2024/2025,Centros adscritos,0E97,30014157,"Escuela de Negocios, Dirección y Administración ",M,Máster,335,4317167,Máster Universitario en Dirección y Gestión en Comercio Internacional / International Trade,No Aplica,J,7.0,8.6,7.0
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,M,Máster,249,4312094,"Máster Universitario en Educación y Museos: Patrimonio, Identidad y Mediación Cultural",No Aplica,J,6.18,6.18,7.53
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,M,Máster,249,4312094,"Máster Universitario en Educación y Museos: Patrimonio, Identidad y Mediación Cultural",No Aplica,T,6.18,6.18,7.14
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,M,Máster,249,4312094,"Máster Universitario en Educación y Museos: Patrimonio, Identidad y Mediación Cultural",No Aplica,S,6.54,6.54,
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,M,Máster,249,4312094,"Máster Universitario en Educación y Museos: Patrimonio, Identidad y Mediación Cultural",No Aplica,M,6.9,6.9,7.14
2024,2024/2025,Centros propios,0E44,30011821,Facultad de Enfermería,M,Máster,343,4318140,Máster Universitario en Enfermería en la Atención y Cuidados del Paciente Crítico,No Aplica,T,5.0,5.0,6.1
2024,2024/2025,Centros propios,0E44,30011821,Facultad de Enfermería,M,Máster,343,4318140,Máster Universitario en Enfermería en la Atención y Cuidados del Paciente Crítico,No Aplica,M,5.0,5.0,6.1
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,M,Máster,266,4312078,Máster Universitario en Envejecimiento,No Aplica,T,5.0,5.0,
