Code,Academic Year,Degree,University,Academic level,Ambit
2501666,2024-2025,Administración y Dirección de Empresas,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2503673,2024-2025,Biotecnología,Universidad Pública de Navarra,Grado,Ciencias
2503690,2024-2025,Ciencia de Datos,Universidad Pública de Navarra,Grado,Ciencias
2504719,2024-2025,Ciencias de la Actividad Física y del Deporte,Universidad Pública de Navarra,Grado,Ciencias de la Salud
2503689,2024-2025,Ciencias,Universidad Pública de Navarra,Grado,Ciencias
2501297,2024-2025,Derecho,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2501529,2024-2025,Economía,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2501665,2024-2025,Enfermería,Universidad Pública de Navarra,Grado,Ciencias de la Salud
2502408,2024-2025,Fisioterapia,Universidad Pública de Navarra,Grado,Ciencias de la Salud
2503751,2024-2025,Historia y Patrimonio,Universidad Pública de Navarra,Grado,Artes y Humanidades
2501489,2024-2025,Ingeniería Agroalimentaria y del Medio Rural,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2503691,2024-2025,Ingeniería Biomédica,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2502738,2024-2025,Ingeniería Eléctrica y Electrónica,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2502168,2024-2025,Ingeniería en Diseño Mecánico,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2501669,2024-2025,Ingeniería en Tecnologías de Telecomunicación,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2502493,2024-2025,Ingeniería en Tecnologías Industriales,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2501490,2024-2025,Ingeniería Informática,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2502737,2024-2025,Ingeniería Mecánica,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
1500101,2024-2025,Ingeniería Térmica,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2502752,2024-2025,Innovación de Procesos y Productos Alimentarios,Universidad Pública de Navarra,Grado,Ingeniería y Arquitectura
2500407,2024-2025,Maestro en Educación Infantil,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2500408,2024-2025,Maestro en Educación Primaria,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2503909,2024-2025,Medicina,Universidad Pública de Navarra,Grado,Ciencias de la Salud
2503750,2024-2025,Psicología,Universidad Pública de Navarra,Grado,Ciencias de la Salud
2501298,2024-2025,Relaciones Laborales y Recursos Humanos,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2501667,2024-2025,Sociología Aplicada,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
2501668,2024-2025,Trabajo Social,Universidad Pública de Navarra,Grado,Ciencias Sociales y Jurídicas
4313592,2024-2025,Acceso a la Abogacía y a la Procura,Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
4318503,2024-2025,"Asesoramiento Fiscal, Laboral y Contable",Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
3500105,2024-2025,Ciberseguridad,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4318489,2024-2025,Comunicaciones Avanzadas y Visión Artificial,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4313416,2024-2025,Dirección de Empresas,Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
3500311,2024-2025,Energías Renovables: Conversión Eléctrica e Integración en Red de Sistemas Eólicos y Fotovoltaicos,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4311914,2024-2025,Energías Renovables: Generación Eléctrica,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4318107,2024-2025,"Género, Mujeres e Igualdad",Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
4314534,2024-2025,Gestión por Procesos con Sistemas Integrados de Información (ERP),Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
3500106,2024-2025,Historia y Memoria,Universidad Pública de Navarra,Máster,Artes y Humanidades
4314005,2024-2025,Ingeniería Agronómica,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4315788,2024-2025,Ingeniería Biomédica,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4318490,2024-2025,Ingeniería Biomédica,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4312005,2024-2025,Ingeniería de Materiales y Fabricación,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4314856,2024-2025,Ingeniería de Telecomunicación,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4314617,2024-2025,Ingeniería Industrial,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4314552,2024-2025,Ingeniería Informática,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4312006,2024-2025,Ingeniería Mecánica Aplicada y Computacional,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4318486,2024-2025,International Business,Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
