Code,Academic Year,Degree,University,Academic Level,Ambit
2502384,2024-2025,Administración y Dirección de Empresas,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501469,2024-2025,Antropología Social,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501644,2024-2025,Arquitectura Técnica,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501460,2024-2025,Arte,University of the Basque Country,Grado,Artes y Humanidades
2501463,2024-2025,Biología,University of the Basque Country,Grado,Ciencias
2504556,2024-2025,Biomedical Engineering,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501464,2024-2025,Bioquímica y Biología Molecular,University of the Basque Country,Grado,Ciencias
2501465,2024-2025,Biotecnología,University of the Basque Country,Grado,Ciencias
2501470,2024-2025,Ciencia Política y Gestión Pública,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501466,2024-2025,Ciencia y Tecnología de los Alimentos,University of the Basque Country,Grado,Ciencias
2501467,2024-2025,Ciencias Ambientales,University of the Basque Country,Grado,Ciencias
2501471,2024-2025,Ciencias de la Actividad Física y del Deporte,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501472,2024-2025,Comunicación Audiovisual,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501461,2024-2025,Conservación y Restauración de Bienes Culturales,University of the Basque Country,Grado,Artes y Humanidades
2501462,2024-2025,Creación y Diseño,University of the Basque Country,Grado,Artes y Humanidades
2501473,2024-2025,Criminología,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501637,2024-2025,Derecho,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501638,2024-2025,Economía,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501639,2024-2025,Educación Infantil,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501640,2024-2025,Educación Primaria,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502024,2024-2025,Educación Social,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502012,2024-2025,Enfermería,University of the Basque Country,Grado,Ciencias de la Salud
2501392,2024-2025,Estudios Ingleses,University of the Basque Country,Grado,Artes y Humanidades
2501393,2024-2025,Estudios Vascos,University of the Basque Country,Grado,Artes y Humanidades
2501468,2024-2025,Farmacia,University of the Basque Country,Grado,Ciencias de la Salud
2502385,2024-2025,Filología,University of the Basque Country,Grado,Artes y Humanidades
2501394,2024-2025,Filosofía,University of the Basque Country,Grado,Artes y Humanidades
2502387,2024-2025,Finanzas y Seguros,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502388,2024-2025,Fiscalidad y Administración Pública,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502389,2024-2025,Física,University of the Basque Country,Grado,Ciencias
2502552,2024-2025,Fisioterapia,University of the Basque Country,Grado,Ciencias de la Salud
2502739,2024-2025,Fundamentos de Arquitectura,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501474,2024-2025,Geografía y Ordenación del Territorio,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501634,2024-2025,Geología,University of the Basque Country,Grado,Ciencias
2502390,2024-2025,Gestión de Negocios,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502026,2024-2025,Gestión y Marketing Empresarial,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501395,2024-2025,Historia del Arte,University of the Basque Country,Grado,Artes y Humanidades
2501633,2024-2025,Historia,University of the Basque Country,Grado,Artes y Humanidades
2502028,2024-2025,Ingeniería Ambiental,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502030,2024-2025,Ingeniería Civil,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502551,2024-2025,Ingeniería de Energías Renovables,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501643,2024-2025,Ingeniería de Tecnología de Minas y Energía,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502391,2024-2025,Ingeniería Eléctrica,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502393,2024-2025,Ingeniería Electrónica Industrial y Automática,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502392,2024-2025,Ingeniería Electrónica,University of the Basque Country,Grado,Ingeniería y Arquitectura
2503515,2024-2025,Ingeniería en Automoción,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501528,2024-2025,Ingeniería en Geomática y Topografía,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502751,2024-2025,Ingeniería en Innovación de Procesos y Productos,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501645,2024-2025,Ingeniería en Organización Industrial,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501646,2024-2025,Ingeniería en Tecnología de Telecomunicación,University of the Basque Country,Grado,Ingeniería y Arquitectura
2501647,2024-2025,Ingeniería en Tecnología Industrial,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502031,2024-2025,Ingeniería Informática de Gestión y Sistemas de Información,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502394,2024-2025,Ingeniería Informática,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502396,2024-2025,Ingeniería Mecánica,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502032,2024-2025,Ingeniería Química Industrial,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502398,2024-2025,Ingeniería Química,University of the Basque Country,Grado,Ciencias
2504060,2024-2025,Inteligencia Artificial,University of the Basque Country,Grado,Ingeniería y Arquitectura
1500197,2024-2025,Logopedia,University of the Basque Country,Grado,Ciencias de la Salud
2502395,2024-2025,Marina,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502027,2024-2025,Marketing,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501635,2024-2025,Matemáticas,University of the Basque Country,Grado,Ciencias
2502016,2024-2025,Medicina,University of the Basque Country,Grado,Ciencias de la Salud
2502397,2024-2025,Náutica y Transporte Marítimo,University of the Basque Country,Grado,Ingeniería y Arquitectura
2502504,2024-2025,Nutrición Humana y Dietética,University of the Basque Country,Grado,Ciencias de la Salud
2502018,2024-2025,Odontología,University of the Basque Country,Grado,Ciencias de la Salud
2501475,2024-2025,Pedagogía,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501476,2024-2025,Periodismo,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501636,2024-2025,Psicología,University of the Basque Country,Grado,Ciencias de la Salud
2501477,2024-2025,Publicidad y Relaciones Públicas,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2502505,2024-2025,Química,University of the Basque Country,Grado,Ciencias
2501641,2024-2025,Relaciones Laborales y Recursos Humanos,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501478,2024-2025,Sociología,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501642,2024-2025,Trabajo Social,University of the Basque Country,Grado,Ciencias Sociales y Jurídicas
2501396,2024-2025,Traducción e Interpretación,University of the Basque Country,Grado,Artes y Humanidades
4313713,2024-2025,Abogacía y Procura,University of the Basque Country,Máster,Ciencias Sociales y Jurídicas
4311616,2024-2025,Adquisición de Lenguas en Contextos Multilingües / Master in Language Acquisition in Multilingual Settings (LAMS),University of the Basque Country,Máster,Artes y Humanidades
4311618,2024-2025,Análisis Forense,University of the Basque Country,Máster,Ciencias de la Salud
4310238,2024-2025,Análisis y Procesamiento del Lenguaje/Hizkuntzaren Azterketa eta Prozesamendua,University of the Basque Country,Máster,Ingeniería y Arquitectura
4314540,2024-2025,Antropología Social,University of the Basque Country,Máster,Ciencias Sociales y Jurídicas
4315254,2024-2025,Arquitectura,University of the Basque Country,Máster,Ingeniería y Arquitectura
4313945,2024-2025,Arte Contemporáneo Tecnológico y Performativo,University of the Basque Country,Máster,Artes y Humanidades
4315255,2024-2025,Auditoría de Cuentas y Contabilidad Superior,University of the Basque Country,Máster,Ciencias Sociales y Jurídicas
4311621,2024-2025,"Biodiversidad, Funcionamiento y Gestión de Ecosistemas",University of the Basque Country,Máster,Ciencias
4311623,2024-2025,Calidad y Seguridad Alimentaria,University of the Basque Country,Máster,Ciencias de la Salud
4312995,2024-2025,Cerámica: Arte y Función,University of the Basque Country,Máster,Artes y Humanidades
4312557,2024-2025,"Ciencia Cognitiva y Humanidades: Lenguaje, Comunicación y Organización",University of the Basque Country,Máster,Ciencias Sociales y Jurídicas
4312558,2024-2025,Ciencia y Tecnología Cuánticas,University of the Basque Country,Máster,Ciencias
4311624,2024-2025,Ciencia y Tecnología Espacial,University of the Basque Country,Máster,Ingeniería y Arquitectura
4316008,2024-2025,Ciencias Actuariales y Financieras,University of the Basque Country,Máster,Ciencias Sociales y Jurídicas
4312401,2024-2025,Ciencias de la Actividad Física y del Deporte,University of the Basque Country,Máster,Ciencias
4313946,2024-2025,Computación de Altas Prestaciones,University of the Basque Country,Máster,Ingeniería y Arquitectura
