Academic Year,Code,Degree,DegreeID,UniversityID,AcademicLevelId,AmbitId
2024-2025,2501012,Administración y Dirección de Empresas,42a861baab308e5b8d89a4cc9b947543,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2504053,Arquitectura Técnica,05f493273a852bffb90c17464cf9fa7b,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2500224,Biología,82b7a4ea26cc0404323c974f93b14be1,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2024-2025,2503952,Ciencia e Ingeniería de Datos,cfa25cedb830fdbc95ab908cab2d3815,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2501092,Ciencias de la Actividad Física y del Deporte,01555ded7b9f03bdee9387db2467bd4c,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501013,Ciencias Empresariales,e0b261e341610c83fad04f28e69ad0d1,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501014,Comunicación Audiovisual,9e8bb798d0e9be3b6cf8f36b4c046b03,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2503862,"Creación Digital, Animación y Videojuegos",8e01a55482ad22cc2aa2b26633c249ce,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501015,Derecho,3830e41059c3dd2e7d8e1abf43e2e5b3,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501016,Economía,89b10ebc521f255d75fff2119fbe5cec,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501017,Educación Infantil,7b15c05096416c70f8528d714c6981d7,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501018,Educación Primaria,b95c95351b95c678ffa7a2e8eef8a9c3,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501221,Educación Social,c1a8defb4e3a84ca1d98c53dba7a378e,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501008,Enfermería,c1cf56fa96e2822ef441941a3abf6e35,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2024-2025,2500648,Español: Estudios Lingüísticos y Literarios,19ffd390af27878d4f1b06845c83fb05,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2024-2025,2503167,Estudios de Arquitectura,a9a52c2e44138af725004bcc9d9fb757,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2501009,Fisioterapia,0b22f2c9d2b1a13368cae7472d97abbb,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2024-2025,2500649,Gallego y Portugués: Estudios Lingüísticos y Literarios,4fffffc9d85b5c4fd52b3e95ede70361,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2024-2025,2503887,Gestión Digital de Información y Documentación,6338f4f08b86c1ac995b26e16f14632c,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2024-2025,2503730,Gestión Industrial de la Moda,003a7550d2f71556981ecddc49f0cad1,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501021,Ingeniería de Diseño Industrial y Desarrollo del Producto,71d3447d8922dd837c397b8a1eb024a1,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502206,Ingeniería de Obras Públicas,66e6b550c3688b55c43ac349aa764d36,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502207,Ingeniería Eléctrica,ecf14c5f8b6ca1a1c11391410f0003b3,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502203,Ingeniería Electrónica Industrial y Automática,ba90df96aaa6359afd62cc012a5b2141,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502209,Ingeniería en Tecnologías Industriales,8da78e8b891e7eb2fdfb60d38766d41d,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502210,Ingeniería Informática,4881aa95374868640be8da294368acfc,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502212,Ingeniería Mecánica,cb79f11ce947d736768f4645f4e616f7,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2502885,Ingeniería Naval y Oceánica,fc3df3279d52fadb6a91a25e01b9d698,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2500650,Inglés: Estudios Lingüísticos y Literarios,0e2b23f113bd0712b72b6ed4e7d6bff2,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2024-2025,2504532,Inteligencia Artificial,071a01266c33ee1372da23359c59dfb2,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2501010,Logopedia,6f7dc7f4bdccb9f6af15a296291de62a,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2024-2025,2504291,Máquinas Navales,a1b89e3ca9ec443e4f8a77a386f82a23,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2503895,Nanociencia y Nanotecnología,9a7e78e61fc870844c12c84079ce0ec3,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2024-2025,2502213,Náutica y Transporte Marítimo,8717c9d970813c44480ab02084ad52ef,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2503490,Paisaje,b03a7a9abd389497bda8575eecef2bf1,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2501011,Podología,2713fef5a662a352f0f4934131b7952e,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2024-2025,2500225,Química,c658a375133b63ddab789089b012b33a,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2024-2025,2504314,Relaciones Internacionales,c56cb9098a9a559ea0d16d26a40d5223,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2501019,Relaciones Laborales y Recursos Humanos,cef00e1292e2c5fdb3152f051013afdb,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2500094,Sociología,ec4b5f152f6cb7cef65776b0112d5a41,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2024-2025,2502214,Tecnología de la Ingeniería Civil,fd2a50670a394ec8f62b02fd2354ade2,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2024-2025,2500095,Terapia Ocupacional,cfc38d0ad12cb5db8d397e08c67bf5a3,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2024-2025,2501020,Turismo,bd30898f693cdd72f91388f0700b7f84,e97892b0ccf3c19ce40f9ef9d8ac91ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
