Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2502342,Administración y Dirección de Empresas,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500938,Arquitectura Técnica,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2504454,Bioquímica y Biología Molecular,Universidad Jaume I de Castellón,Grado,Ciencias
2024-2025,2504082,Ciencias de la Actividad Física y del Deporte,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500339,Comunicación Audiovisual,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502264,Criminología y Seguridad,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502265,Derecho,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502694,Diseño y Desarrollo de Videojuegos,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,1500388,Economía de la Empresa Internacional / Bachelor in International Business Economics,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502343,Economía,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502261,Enfermería,Universidad Jaume I de Castellón,Grado,Ciencias de la Salud
2024-2025,2500936,Estudios Ingleses / Bachelor in English Studies,Universidad Jaume I de Castellón,Grado,Artes y Humanidades
2024-2025,2502344,Finanzas y Contabilidad,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502698,Gestión y Administración Pública,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502345,Historia y Patrimonio,Universidad Jaume I de Castellón,Grado,Artes y Humanidades
2024-2025,2502346,Humanidades,Universidad Jaume I de Castellón,Grado,Artes y Humanidades
2024-2025,2502267,Ingeniería Eléctrica,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502268,Ingeniería en Diseño Industrial y Desarrollo de Productos,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502269,Ingeniería en Tecnologías Industriales,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502270,Ingeniería Informática,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502270,Ingeniería Informática,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502271,Ingeniería Mecánica,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502272,Ingeniería Química,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2504262,Inteligencia Robótica,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2501598,Maestro o Maestra en Educación Infantil,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501599,Maestro o Maestra en Educación Primaria,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500016,Marketing,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502274,Matemática Computacional,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502274,Matemática Computacional,Universidad Jaume I de Castellón,Grado,Ingeniería y Arquitectura
2024-2025,2502262,Medicina,Universidad Jaume I de Castellón,Grado,Ciencias de la Salud
2024-2025,2500340,Periodismo,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502263,Psicología,Universidad Jaume I de Castellón,Grado,Ciencias de la Salud
2024-2025,2500341,Publicidad y Comunicación Corporativa,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500708,Química,Universidad Jaume I de Castellón,Grado,Ciencias
2024-2025,2501265,Relaciones Laborales y Recursos Humanos,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500778,Traducción e Interpretación,Universidad Jaume I de Castellón,Grado,Artes y Humanidades
2024-2025,2500937,Turismo,Universidad Jaume I de Castellón,Grado,Ciencias Sociales y Jurídicas
2024-2025,4313555,Abogacía y Procura,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312532,Catálisis Homogénea,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4310724,Comunicación Intercultural y Enseñanza de Lenguas,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4311725,Cooperación al Desarrollo,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314639,Dirección de Empresas / Master in Management,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311733,Diseño y Fabricación,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4316895,Economía,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310150,Eficiencia Energética y Sostenibilidad,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4317808,"Enfermería de Urgencias, Emergencias y Cuidados Críticos",Universidad Jaume I de Castellón,Máster,Ciencias de la Salud
