Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501499,Administración y Dirección de Empresas,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501502,Arquitectura Técnica,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2502191,Biología,Universidad de Alicante,Grado,Ciencias
2024-2025,2502199,Ciencias de la Actividad Física y del Deporte,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502192,Ciencias del Mar,Universidad de Alicante,Grado,Ciencias
2024-2025,2501429,Criminología,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501430,Derecho,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501501,Economía,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502196,Enfermería,Universidad de Alicante,Grado,Ciencias de la Salud
2024-2025,2502406,Español: Lengua y Literaturas,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2502409,Estudios Árabes e Islámicos,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2502411,Estudios Franceses,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2502415,Estudios Ingleses,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2502418,Filología Catalana,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2503283,Física,Universidad de Alicante,Grado,Ciencias
2024-2025,2502965,Fundamentos de la Arquitectura,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2503658,Gastronomía y Artes Culinarias,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502421,Geografía y Ordenación del Territorio,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502193,Geología,Universidad de Alicante,Grado,Ciencias
2024-2025,2501568,Gestión y Administración Pública,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501566,Historia,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2501567,Humanidades,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2504772,Ingeniería Aeroespacial,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2502978,Ingeniería Biomédica,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2501433,Ingeniería Civil,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2504621,Ingeniería en Inteligencia Artificial,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2501434,Ingeniería en Sonido e Imagen en Telecomunicación,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2501435,Ingeniería Informática,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2501436,Ingeniería Multimedia,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2501437,Ingeniería Química,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2503138,Ingeniería Robótica,Universidad de Alicante,Grado,Ingeniería y Arquitectura
2024-2025,2504749,Logopedia,Universidad de Alicante,Grado,Ciencias de la Salud
2024-2025,2502200,Maestro en Educación Infantil,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502201,Maestro en Educación Primaria,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503662,Marketing,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502194,Matemáticas,Universidad de Alicante,Grado,Ciencias
2024-2025,2503834,Medicina,Universidad de Alicante,Grado,Ciencias de la Salud
2024-2025,2502197,Nutrición Humana y Dietética,Universidad de Alicante,Grado,Ciencias de la Salud
2024-2025,2502198,Óptica y Optometría,Universidad de Alicante,Grado,Ciencias de la Salud
2024-2025,2501569,Publicidad y Relaciones Públicas,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502195,Química,Universidad de Alicante,Grado,Ciencias
2024-2025,2503804,Relaciones Internacionales,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502424,Relaciones Laborales y Recursos Humanos,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501431,Sociología,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501432,Trabajo Social,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502428,Traducción e Interpretación,Universidad de Alicante,Grado,Artes y Humanidades
2024-2025,2502202,Turismo,Universidad de Alicante,Grado,Ciencias Sociales y Jurídicas
2024-2025,4313407,Abogacía y Procura,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313391,Administración y Dirección de Empresas,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312035,Arqueología Profesional y Gestión Integral del Patrimonio,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4314887,Arquitectura,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312051,Automática y Robótica,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312042,Biomedicina,Universidad de Alicante,Máster,Ciencias
2024-2025,4312043,Biotecnología para la Salud y la Sostenibilidad,Universidad de Alicante,Máster,Ciencias
2024-2025,4318352,Cálculo y Modelización Científica,Universidad de Alicante,Máster,Ciencias
2024-2025,4316674,Ciberseguridad,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4317380,Ciencia de Datos,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312044,Ciencia de Materiales,Universidad de Alicante,Máster,Ciencias
2024-2025,4317152,Comunicación Digital,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312838,Comunicación e Industrias Creativas,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317246,Conservación de la Biodiversidad y Restauración del Medio Marino y Terrestre,Universidad de Alicante,Máster,Ciencias
2024-2025,4311725,Cooperación al Desarrollo,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312047,Derecho Ambiental y de la Sostenibilidad,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4315478,Derecho de Daños,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311953,Desarrollo de Aplicaciones y Servicios Web,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4314665,Desarrollo de Software para Dispositivos Móviles,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312036,Desarrollo Local e Innovación Territorial,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4316419,Dirección y Planificación del Turismo,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312048,Economía Aplicada,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312049,Economía Cuantitativa,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500524,Economics with Data Science,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317813,Electroquímica. Ciencia y Tecnología,Universidad de Alicante,Máster,Ciencias
2024-2025,4313387,Electroquímica. Ciencia y Tecnología,Universidad de Alicante,Máster,Ciencias
2024-2025,4315592,Emergencias y Catástrofes,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4315526,Envejecimiento Activo y Salud,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4311950,"Español e Inglés como Segundas Lenguas, Lenguas Extranjeras",Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4318155,Estudios Ingleses Avanzados,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4312037,Estudios Literarios,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,3500546,"Estudios Políticos, Económicos y Sociales Contemporáneos de América Latina",Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4315449,Gestión Administrativa,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312836,Gestión Pesquera Sostenible,Universidad de Alicante,Máster,Ciencias
2024-2025,4311874,Gestión Sostenible y Tecnologías del Agua,Universidad de Alicante,Máster,Ciencias
2024-2025,4313942,Historia de la Ciencia y Comunicación Científica,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4312833,Historia de la Europa Contemporánea: Identidades e Integración,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4316097,Historia del Mundo Mediterráneo y sus Regiones. De la Prehistoria a la Edad Media,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4314602,Historia e Identidades en el Mediterráneo Occidental (Siglos XV-XIX),Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4318287,Ingeniería Biomédica,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4314181,"Ingeniería de Caminos, Canales y Puertos",Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312832,Ingeniería de Telecomunicación,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4313389,Ingeniería Geológica,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4312837,Ingeniería Informática,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4314686,Ingeniería Química,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4311949,Inglés y Español para Fines Específicos,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4316690,Innovación Social y Dinámicas de Cambio,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4318283,Inteligencia Artificial,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4314937,Investigación Criminal y Ciencias Forenses,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310484,Investigación Educativa,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4315545,Investigación en Ciencias de la Salud,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4315138,Nanociencia y Nanotecnología Molecular,Universidad de Alicante,Máster,Ciencias
2024-2025,4318581,Nuevas Tecnologías y Eficiencia Energética en Edificación,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4315579,Nutrición y Alimentación,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4314867,Optometría Avanzada y Salud Visual,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4314699,Paleontología Aplicada,Universidad de Alicante,Máster,Ciencias
2024-2025,4312038,Planificación y Gestión de Riesgos Naturales,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4318433,Prevención de la Violencia de Género e Intervención desde un Enfoque Interdisciplinar,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313392,Prevención de Riesgos Laborales,Universidad de Alicante,Máster,Ingeniería y Arquitectura
2024-2025,4310483,"Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas",Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312841,Química Ambiental y Sostenible,Universidad de Alicante,Máster,Ciencias
2024-2025,4312045,Química Médica,Universidad de Alicante,Máster,Ciencias
2024-2025,4313468,Salud Pública,Universidad de Alicante,Máster,Ciencias de la Salud
2024-2025,4311669,Sistema de Justicia Penal,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500062,Trabajo Social en el Ámbito Sanitario,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312039,Traducción Institucional,Universidad de Alicante,Máster,Artes y Humanidades
2024-2025,4317098,Turismo Cultural,Universidad de Alicante,Máster,Ciencias Sociales y Jurídicas
