Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2503990,Administración y Dirección de Empresas,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504342,Arquitectura Técnica y Edificación,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2500230,Biología,Universidad de Alcalá,Grado,Ciencias
2024-2025,2500231,Biología Sanitaria,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2504437,Ciencias Ambientales,Universidad de Alcalá,Grado,Ciencias
2024-2025,2502090,Ciencias de la Actividad Física y del Deporte,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2502093,Comunicación Audiovisual,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503334,Criminalística: Ciencias y Tecnologías Forenses,Universidad de Alcalá,Grado,Ciencias
2024-2025,2500034,Derecho,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503988,Economía,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503992,Economía y Negocios Internacionales,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502094,Educación Social,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500232,Enfermería,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2500226,Estudios Hispánicos,Universidad de Alcalá,Grado,Artes y Humanidades
2024-2025,2500007,Estudios Ingleses,Universidad de Alcalá,Grado,Artes y Humanidades
2024-2025,2504449,Farmacia,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2503993,Finanzas,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504094,Física e Instrumentación Espacial,Universidad de Alcalá,Grado,Ciencias
2024-2025,2500233,Fisioterapia,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2502726,Fundamentos de Arquitectura y Urbanismo,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2500227,Historia,Universidad de Alcalá,Grado,Artes y Humanidades
2024-2025,2500228,Humanidades,Universidad de Alcalá,Grado,Artes y Humanidades
2024-2025,2503893,Ingeniería de Computadores,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2502381,Ingeniería Electrónica de Comunicaciones,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2502382,Ingeniería en Electrónica y Automática Industrial,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2503894,Ingeniería en Sistemas de Información,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2502383,Ingeniería en Sistemas de Telecomunicación,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2503193,Ingeniería en Tecnologías de Telecomunicación,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2503933,Ingeniería en Tecnologías Industriales,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2503892,Ingeniería Informática,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2502386,Ingeniería Telemática,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2500229,Lenguas Modernas y Traducción,Universidad de Alcalá,Grado,Artes y Humanidades
2024-2025,2502095,Magisterio de Educación Infantil,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502096,Magisterio de Educación Primaria,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500045,Matemáticas y Computación,Universidad de Alcalá,Grado,Ingeniería y Arquitectura
2024-2025,2502092,Medicina,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2503042,Psicología,Universidad de Alcalá,Grado,Ciencias de la Salud
2024-2025,2500010,Química,Universidad de Alcalá,Grado,Ciencias
2024-2025,2503991,Turismo,Universidad de Alcalá,Grado,Ciencias Sociales y Jurídicas
2024-2025,4315357,Acceso a la Abogacía y la Procura,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316054,Acción Humanitaria Sanitaria,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4314966,Análisis Económico Aplicado,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317452,Analítica de Negocio y Big Data,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4311820,Antropología Física: Evolución y Diversidad Humanas,Universidad de Alcalá,Máster,Ciencias
2024-2025,4317893,Arqueología y Gestión del Patrimonio Arqueológico,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4315201,Arquitectura,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4317395,Asesoramiento y Control Presupuestario de Defensa,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313567,Atención a la Diversidad y Apoyos Educativos,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313528,Auditoría de Cuentas,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317196,Banca y Finanzas / Finance & Banking,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316981,Ciberseguridad,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4311219,Ciencia y Tecnología desde el Espacio,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4313570,Ciencias Actuariales y Financieras,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311220,Ciencias Policiales,Universidad de Alcalá,Máster,Ciencias
2024-2025,3500254,Ciencias y Tecnologías Analíticas y Bioanalíticas,Universidad de Alcalá,Máster,Ciencias
2024-2025,4311221,"Comunicación Intercultural, Interpretación y Traducción en los Servicios Públicos",Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4311356,"Contabilidad, Auditoría y sus Efectos en los Mercados de Capitales",Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317243,Desarrollo Ágil de Software para la Web,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4313953,Descubrimiento de Fármacos,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4310012,Dianas Terapéuticas en Señalización Celular: Investigación y Desarrollo,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4317350,Dirección de Organizaciones e Instalaciones de la Actividad Física y del Deporte,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310480,Dirección de Proyectos Informáticos,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4314021,"Documentación, Archivos y Bibliotecas",Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310626,Enseñanza del Inglés como Lengua Extranjera,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4311361,Estudios Clásicos,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4316295,Estudios Literarios y Culturales Hispánicos,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4315177,Estudios Norteamericanos,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4316042,Evolución Humana,Universidad de Alcalá,Máster,Ciencias
2024-2025,4314256,Farmacia y Tecnología Farmacéutica,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4318555,Fisioterapia en Salud de la Mujer y Salud Pélvica,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4310631,Fisioterapia Manual del Aparato Locomotor,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4310014,Formación de Profesores de Español como Lengua Extranjera,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4310479,"Formación del Profesorado de Educación Secundaria Obligatoria, Bachillerato, Formación Profesional y Enseñanza de Idiomas",Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317393,Formación Jurídico Militar,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312466,Genética y Biología Celular,Universidad de Alcalá,Máster,Ciencias
2024-2025,4316225,Gestión Cultural y de Industrias Creativas,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4315549,Gestión Integral de Inmuebles y Servicios en el Patrimonio Arquitectónico,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4310314,Hidrología y Gestión de los Recursos Hídricos,Universidad de Alcalá,Máster,Ciencias
2024-2025,4313758,Ingeniería de Telecomunicación,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4316833,Ingeniería Electrónica,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4313757,Ingeniería Industrial,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,3500259,Innovación Educativa para la Creación de Valor,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4318032,Inteligencia Artificial para el Sector de la Energía y las Infraestructuras,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4316431,Interpretación de Conferencias orientado a los Negocios,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4316947,Investigación en Ciencias de la Visión,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4316506,Investigación en Ciencias Sociosanitarias,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4316993,Investigación en Literaturas Anglófonas e Hispánicas Contemporáneas,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4315393,Mediterráneo Antiguo,Universidad de Alcalá,Máster,Artes y Humanidades
2024-2025,4312311,Memoria y Crítica de la Educación,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314442,Microbiología Aplicada a la Salud Pública e Investigación en Enfermedades Infecciosas,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4316140,Paleontología Avanzada,Universidad de Alcalá,Máster,Ciencias
2024-2025,4311227,Protección Internacional de los Derechos Humanos,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310877,Proyecto Avanzado de Arquitectura y Ciudad,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
2024-2025,4316256,Psicología General Sanitaria,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4312855,Psicopedagogía,Universidad de Alcalá,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317271,Química para la Sostenibilidad y Energía,Universidad de Alcalá,Máster,Ciencias
2024-2025,4311228,Restauración de Ecosistemas,Universidad de Alcalá,Máster,Ciencias
2024-2025,4317394,Sanidad Militar Operativa,Universidad de Alcalá,Máster,Ciencias de la Salud
2024-2025,4314864,Tecnologías de la Información Geográfica,Universidad de Alcalá,Máster,Ingeniería y Arquitectura
