"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_municipio","des_municipio","cod_campus","des_campus","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","28065","GETAFE","03602","Getafe","7700001","Grado Abierto UC3M en Ciencias Sociales y Humanidades","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2016","3","En proceso de extinción","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","16,92","40,02","82,3","113,71",,,"120","186"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","28074","LEGANÉS","03601","Leganés","7700002","Grado Abierto UC3M en Ingeniería","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2016","3","En proceso de extinción","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","19,43","45,25","92,86","128,57",,,"120","998"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28050461","Facultad de Ciencias Sociales y Jurídicas (Colmenarejo)","28044","COLMENAREJO","03603","Colmenarejo","2500030","Grado en Administración de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,3","113,71",,,"240","549"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","28065","GETAFE","03602","Getafe","2500030","Grado en Administración de Empresas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","16,92","40,02","82,3","113,71",,,"240","549"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","28074","LEGANÉS","03601","Leganés","2503783","Grado en Ciencia e Ingeniería de Datos","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2018","1","Activo","1","Estudio presencial","1","Se oferta en Inglés","19,43","45,25","92,86","128,57",,,"240","120"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","28065","GETAFE","03602","Getafe","2504235","Grado en Ciencia, Tecnología y Humanidades","1","Artes y Humanidades","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2021","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,3","113,71",,,"240","60"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28042292","Escuela Politécnica Superior. (Leganés)","28074","LEGANÉS","03601","Leganés","2504022","Grado en Ciencias","2","Ciencias","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2020","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","120"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28041822","Facultad de Ciencias Sociales y Jurídicas. (Getafe)","28065","GETAFE","03602","Getafe","2500024","Grado en Ciencias Políticas","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,3","113,71",,,"240","276"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28048385","Facultad de Humanidades, Comunicación y Documentación. (Getafe)","28065","GETAFE","03602","Getafe","2500025","Grado en Comunicación Audiovisual","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","2","Existen planes separados, uno de ellos en Inglés","19,43","45,25","92,86","128,57",,,"240","357"
"2024-25","036","Universidad Carlos III de Madrid","G","Grado","1","Centro","28050461","Facultad de Ciencias Sociales y Jurídicas (Colmenarejo)","28044","COLMENAREJO","03603","Colmenarejo","2500026","Grado en Derecho","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2008","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,3","113,71",,,"240","342"
