"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_municipio","des_municipio","cod_campus","des_campus","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027126","Facultad de Bellas Artes","28079","MADRID","01001","Ciudad Universitaria","2500811","GRADO EN BELLAS ARTES","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","378"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026821","Facultad de Óptica y Optometría","28079","MADRID","01001","Ciudad Universitaria","2500791","GRADO EN ÓPTICA Y OPTOMETRÍA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","312"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","28079","MADRID","01001","Ciudad Universitaria","2500693","GRADO EN INGENIERÍA MATEMÁTICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","342"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","28079","MADRID","01001","Ciudad Universitaria","2500691","GRADO EN MATEMÁTICAS","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","414"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027849","Facultad de Ciencias Matemáticas","28079","MADRID","01001","Ciudad Universitaria","2500833","GRADO EN MATEMÁTICAS Y ESTADÍSTICA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","253,5"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027035","Facultad de Medicina","28079","MADRID","01001","Ciudad Universitaria","2500812","GRADO EN MEDICINA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"360","678"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029044","Facultad de Psicología","28115","POZUELO DE ALARCÓN","01002","Somosaguas","2500310","GRADO EN LOGOPEDIA","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","312"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042383","Facultad de Ciencias de la Documentación","28079","MADRID","01001","Ciudad Universitaria","2500915","GRADO EN INFORMACIÓN Y DOCUMENTACIÓN","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","312"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027758","Facultad de Ciencias Físicas","28079","MADRID","01001","Ciudad Universitaria","2500689","GRADO EN FÍSICA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","438"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027734","Facultad de Ciencias Geológicas","28079","MADRID","01001","Ciudad Universitaria","2500690","GRADO EN GEOLOGÍA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","297"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28026997","Facultad de Ciencias Políticas y Sociología","28115","POZUELO DE ALARCÓN","01002","Somosaguas","2501209","GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (PLAN 2018)","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","318"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027722","Facultad de Ciencias Biológicas","28079","MADRID","01001","Ciudad Universitaria","2500487","GRADO EN BIOLOGÍA (PLAN 2018)","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","360"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027011","Facultad de Farmacia","28079","MADRID","01001","Ciudad Universitaria","2501382","GRADO EN FARMACIA (2019)","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"300","522"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042899","Facultad de Informática","28079","MADRID","01001","Ciudad Universitaria","2501384","GRADO EN INGENIERÍA INFORMÁTICA (2019)","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","456"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042899","Facultad de Informática","28079","MADRID","01001","Ciudad Universitaria","2501383","GRADO EN INGENIERÍA DE COMPUTADORES (2019)","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","396"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042899","Facultad de Informática","28079","MADRID","01001","Ciudad Universitaria","2501385","GRADO EN INGENIERÍA DEL SOFTWARE (2019)","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","396"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28042899","Facultad de Informática","28079","MADRID","01001","Ciudad Universitaria","2503208","GRADO EN DESARROLLO DE VIDEOJUEGOS (2019)","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2015","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","366"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027710","Facultad de Filología","28079","MADRID","01001","Ciudad Universitaria","2502086","GRADO EN LINGÜÍSTICA Y LENGUAS APLICADAS (2019)","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","1080"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027761","Facultad de Filosofía","28079","MADRID","01001","Ciudad Universitaria","2504018","GRADO EN CIENCIAS DE LAS RELIGIONES","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2021","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","336"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027001","Facultad de Derecho","28079","MADRID","01001","Ciudad Universitaria","2500828","GRADO EN DERECHO (2020)","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","760"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027001","Facultad de Derecho","28079","MADRID","01001","Ciudad Universitaria","2500916","GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (2020)","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","498"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029101","Facultad de Enfermería, Fisioterapia y Podología","28079","MADRID","01001","Ciudad Universitaria","2500309","GRADO EN ENFERMERÍA (2020)","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","333"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029101","Facultad de Enfermería, Fisioterapia y Podología","28079","MADRID","01001","Ciudad Universitaria","2501453","GRADO EN PODOLOGÍA (2020)","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","321"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029101","Facultad de Enfermería, Fisioterapia y Podología","28079","MADRID","01001","Ciudad Universitaria","2501381","GRADO EN FISIOTERAPIA (2020)","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","20,68","48,03","98,75","136,44",,,"240","255"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28027758","Facultad de Ciencias Físicas","28079","MADRID","01001","Ciudad Universitaria","2502735","GRADO EN INGENIERÍA ELECTRÓNICA DE COMUNICACIONES (2020)","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","45,25","92,86","128,57",,,"240","378"
"2024-25","010","Universidad Complutense de Madrid","G","Grado","1","Centro","28029044","Facultad de Psicología","28115","POZUELO DE ALARCÓN","01002","Somosaguas","2500692","GRADO EN PSICOLOGÍA (2020)","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","40,02","82,30","113,71",,,"240","384"
