Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501012,Administración y Dirección de Empresas,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504053,Arquitectura Técnica,Universidad de A Coruña,Grado,Ingeniería y Arquitectura
2024-2025,2500224,Biología,Universidad de A Coruña,Grado,Ciencias
2024-2025,2503952,Ciencia e Ingeniería de Datos,Universidad de A Coruña,Grado,Ingeniería y Arquitectura
2024-2025,2501092,Ciencias de la Actividad Física y del Deporte,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501013,Ciencias Empresariales,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501014,Comunicación Audiovisual,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503862,"Creación Digital, Animación y Videojuegos",Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501015,Derecho,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501016,Economía,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501017,Educación Infantil,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501018,Educación Primaria,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501221,Educación Social,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501008,Enfermería,Universidad de A Coruña,Grado,Ciencias de la Salud
2024-2025,2500648,Español: Estudios Lingüísticos y Literarios,Universidad de A Coruña,Grado,Artes y Humanidades
2024-2025,2503167,Estudios de Arquitectura,Universidad de A Coruña,Grado,Ingeniería y Arquitectura
2024-2025,2501009,Fisioterapia,Universidad de A Coruña,Grado,Ciencias de la Salud
2024-2025,2500649,Gallego y Portugués: Estudios Lingüísticos y Literarios,Universidad de A Coruña,Grado,Artes y Humanidades
2024-2025,2503887,Gestión Digital de Información y Documentación,Universidad de A Coruña,Grado,Artes y Humanidades
2024-2025,2503730,Gestión Industrial de la Moda,Universidad de A Coruña,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501021,Ingeniería de Diseño Industrial y Desarrollo del Producto,Universidad de A Coruña,Grado,Ingeniería y Arquitectura
2024-2025,2502206,Ingeniería de Obras Públicas,Universidad de A Coruña,Grado,Ingeniería y Arquitectura
