Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
1001000;Arquitecto;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1001000;Arquitecto;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5067000;Arquitecto Técnico;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4005000;Diplomado en Biblioteconomía y Documentación;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4011000;Diplomado en Ciencias Empresariales;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4021000;Diplomado en Educación Social;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4008000;Diplomado en Enfermería;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4009000;Diplomado en Fisioterapia;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4020000;Diplomado en Logopedia;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4023000;Diplomado en Máquinas Navales;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4024000;Diplomado en Navegación Marítima;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4013000;Diplomado en Podología;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4019000;Diplomado en Relaciones Laborales;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4017000;Diplomado en Terapia Ocupacional;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4027000;Diplomado en Turismo;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1004000;Ingeniero de Caminos, Canales y Puertos;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1004000;Ingeniero de Caminos, Canales y Puertos;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1017000;Ingeniero Naval y Oceánico;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1017000;Ingeniero Naval y Oceánico;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5092000;Ingeniero Técnico de Obras Públicas, Especialidad en Construcciones Civiles;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5047000;Ingeniero Técnico en Diseño Industrial;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5048000;Ingeniero Técnico en Informática de Gestión;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5049000;Ingeniero Técnico en Informática de Sistemas;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5098000;Ingeniero Técnico Industrial, Especialidad en Electricidad;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5097000;Ingeniero Técnico Industrial, Especialidad en Electrónica Industrial;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5124000;Ingeniero Técnico Naval, Especialidad en Estructuras Marinas;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5123000;Ingeniero Técnico Naval, Especialidad en Propulsión y Servicios del Buque;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3037000;Licenciado en Administración y Dirección de Empresas;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3037000;Licenciado en Administración y Dirección de Empresas;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3037000;Licenciado en Administración y Dirección de Empresas;Varias Universidades;Sólo Segundo Ciclo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3035000;Licenciado en Biología;Varias Universidades;Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3035000;Licenciado en Biología;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3078000;Licenciado en Ciencias de la Actividad Física y del Deporte;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3078000;Licenciado en Ciencias de la Actividad Física y del Deporte;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3065000;Licenciado en Comunicación Audiovisual;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3065000;Licenciado en Comunicación Audiovisual;Varias Universidades;Sólo Segundo Ciclo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3065000;Licenciado en Comunicación Audiovisual;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3024000;Licenciado en Derecho;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3024000;Licenciado en Derecho;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3068000;Licenciado en Documentación;Varias Universidades;Sólo Segundo Ciclo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3038000;Licenciado en Economía;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3038000;Licenciado en Economía;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3051000;Licenciado en Filología Gallega;Varias Universidades;Segundo Ciclo de Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3051000;Licenciado en Filología Gallega;Varias Universidades;Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3053000;Licenciado en Filología Hispánica;Varias Universidades;Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3053000;Licenciado en Filología Hispánica;Varias Universidades;Segundo Ciclo de Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3054000;Licenciado en Filología Inglesa;Varias Universidades;Segundo Ciclo de Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3054000;Licenciado en Filología Inglesa;Varias Universidades;Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3069000;Licenciado en Humanidades;Varias Universidades;Segundo Ciclo de Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3069000;Licenciado en Humanidades;Varias Universidades;Sólo Segundo Ciclo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3069000;Licenciado en Humanidades;Varias Universidades;Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3067000;Licenciado en Máquinas Navales;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3071000;Licenciado en Náutica y Transporte Marítimo;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3073000;Licenciado en Psicopedagogía;Varias Universidades;Sólo Segundo Ciclo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3073000;Licenciado en Psicopedagogía;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Primer Ciclo de Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3041000;Licenciado en Sociología;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3041000;Licenciado en Sociología;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4036000;Maestro-Especialidad de Audición y Lenguaje;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4033000;Maestro-Especialidad de Educación Física;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4030000;Maestro-Especialidad de Educación Infantil;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
