Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,4313676,Alta Dirección Pública,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310143,Alta Especialización en Plásticos y Caucho,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
2024-2025,4315884,Biodiversidad en Áreas Tropicales y su Conservación,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
2024-2025,4317698,Bioética Clínica,Universidad Internacional Menéndez Pelayo,Máster,Ciencias de la Salud
2024-2025,4317788,Biología Sintética Integrativa,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
2024-2025,4316323,Ciencia de Datos/Master in Data Science,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
2024-2025,4313677,"Cooperación Internacional y Gestión de Políticas Públicas, Programas y Proyectos de Desarrollo",Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312777,Derecho Constitucional,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317065,Dirección y Liderazgo Públicos,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311260,Economía y Finanzas,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500361,Enseñanza del Español como Lengua Extranjera,Universidad Internacional Menéndez Pelayo,Máster,Artes y Humanidades
2024-2025,4310718,Enseñanza del Español como Lengua Extranjera,Universidad Internacional Menéndez Pelayo,Máster,Artes y Humanidades
2024-2025,4316426,Física de Partículas y del Cosmos,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
2024-2025,4312531,Gestión Internacional de la Empresa / MBA in International Management,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313675,Gobierno y Administración Pública,Universidad Internacional Menéndez Pelayo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311727,Historia Contemporánea,Universidad Internacional Menéndez Pelayo,Máster,Artes y Humanidades
2024-2025,4315883,Investigación en Inteligencia Artificial,Universidad Internacional Menéndez Pelayo,Máster,Ingeniería y Arquitectura
2024-2025,4318565,Tecnologías Cuánticas / Master in Quantum Technologies,Universidad Internacional Menéndez Pelayo,Máster,Ciencias
