Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
4000156;Doctor en Economía  en Programa Oficial de Posgrado en Economía y Finanzas;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001729;Doctor en Programa Oficial de Posgrado en Alta Especialización en Plásticos y Caucho;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001730;Doctor en Programa Oficial de Posgrado en Biodiversidad en Áreas Tropicales y su Conservación;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001731;Doctor en Programa Oficial de Posgrado en Cambio Global;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001734;Doctor en Programa Oficial de Posgrado en Cristalografía y Cristalización;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001733;Doctor en Programa Oficial de Posgrado en Estudios Fónicos;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001732;Doctor en Programa Oficial de Posgrado en Estudios para la Igualdad de Género: Ciencias Humanas, Sociales y Jurídicas;Universidad Internacional Menéndez Pelayo;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
5601226;Programa de Doctorado en Ciencia y Tecnología por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5601205;Programa de Doctorado en Economía y Gobierno por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5310813;Programa Oficial de Doctorado en Alta Especialización en Plásticos y Cauchos;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5310814;Programa Oficial de Doctorado en Biodiversidad en Áreas Tropicales y su Conservación;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311413;Programa Oficial de Doctorado en Cambio Global;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311417;Programa Oficial de Doctorado en Cristalografía y Cristalización;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311414;Programa Oficial de Doctorado en Economía;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311415;Programa Oficial de Doctorado en Energías Renovables, Pilas de Combustible e Hidrógeno;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5310815;Programa Oficial de Doctorado en Estudios Fónicos;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311074;Programa Oficial de Doctorado en Historia Contemporánea;(Conjunto);Doctor - RD 1393/2007 (1);Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5311416;Programa Oficial de Doctorado en Igualdad de Género en Ciencias Humanas, Sociales y Jurídicas;Universidad Internacional Menéndez Pelayo;Doctor - RD 1393/2007 (1);;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4315925;Máster Universitario en Administración Civil del Estado por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4313676;Máster Universitario en Alta Dirección Pública por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;Ciencias sociales, trabajo social, relaciones laborales y recursos humanos, sociología, ciencia política y relaciones internacionales;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
3002179;Máster Universitario en Alta Especialización en Plásticos y Caucho (MAEPyC);Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4310143;Máster Universitario en Alta Especialización en Plásticos y Caucho por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 822/2021 (3);Ciencias;Química;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4313678;Máster Universitario en América Latina Contemporánea. Grandes Desigualdades y Expectativas por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
