Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2502178,Administración y Dirección de Empresas,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501390,Bellas Artes,Universidad Miguel Hernández de Elche,Grado,Artes y Humanidades
2024-2025,2501608,Biotecnología,Universidad Miguel Hernández de Elche,Grado,Ciencias
2024-2025,2504657,Ciencia de Datos e Inteligencia Artificial,Universidad Miguel Hernández de Elche,Grado,Ciencias
2024-2025,2502359,Ciencia y Tecnología de los Alimentos,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2501609,Ciencias Ambientales,Universidad Miguel Hernández de Elche,Grado,Ciencias
2024-2025,2501610,Ciencias de la Actividad Física y del Deporte,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2501451,Ciencias Políticas y Gestión Pública,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501614,Comunicación Audiovisual,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501615,Comunicación y Relaciones Públicas,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501616,Derecho,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503963,Dirección de Empresas en el Ámbito Digital / Digital Business,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500590,Enfermería,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2501617,Estadística Empresarial,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502357,Farmacia,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2501611,Fisioterapia,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2502626,Gestión Comercial y Marketing,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504738,"Gestión, Tecnología y Moda / Bachelor in Fashion Management and Technology",Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501622,Ingeniería Agroalimentaria y Agroambiental,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2501620,Ingeniería de Tecnologías de Telecomunicación,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2502180,Ingeniería Eléctrica,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2501619,Ingeniería Electrónica y Automática Industrial,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,1500599,Ingeniería en Tecnologías Industriales,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2502181,Ingeniería Informática en Tecnologías de la Información,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2501621,Ingeniería Mecánica,Universidad Miguel Hernández de Elche,Grado,Ingeniería y Arquitectura
2024-2025,2502358,Medicina,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2502986,Negocios Internacionales / International Business,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502632,"Organización de Eventos, Protocolo y Relaciones Institucionales",Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501618,Periodismo,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501612,Podología,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2501613,Psicología,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,2502179,Relaciones Laborales y Recursos Humanos,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503793,Seguridad Pública y Privada,Universidad Miguel Hernández de Elche,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502360,Terapia Ocupacional,Universidad Miguel Hernández de Elche,Grado,Ciencias de la Salud
2024-2025,4313458,Abogacía y Procura,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313990,Administración y Dirección de Empresas MBA,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310183,"Agroecología, Desarrollo Rural y Agroturismo",Universidad Miguel Hernández de Elche,Máster,Ingeniería y Arquitectura
2024-2025,4313989,Análisis y Prevención del Crimen,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311739,Asesoría Fiscal,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316645,Auditoría de Cuentas,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313460,Automatización y Telecontrol para la Gestión de Recursos Hídricos y Energéticos,Universidad Miguel Hernández de Elche,Máster,Ingeniería y Arquitectura
2024-2025,4314745,Biotecnología y Bioingeniería,Universidad Miguel Hernández de Elche,Máster,Ciencias
2024-2025,4314626,Contabilidad y Finanzas Avanzadas,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311725,Cooperación al Desarrollo,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500487,Derecho y Sociedad Digital,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313013,Dirección de Personas y Desarrollo Organizativo,Universidad Miguel Hernández de Elche,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313461,Energía Solar y Renovables,Universidad Miguel Hernández de Elche,Máster,Ingeniería y Arquitectura
2024-2025,4313464,Enfermedades Infecciosas y Salud Internacional,Universidad Miguel Hernández de Elche,Máster,Ciencias de la Salud
2024-2025,4317633,Estadística Computacional y Ciencia de Datos para la Toma de Decisiones / Computational Statistics and Data Science for Decision Making,Universidad Miguel Hernández de Elche,Máster,Ciencias
