Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
4004000;Diplomado en Estadística;Varias Universidades;Ciclo Corto;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4009000;Diplomado en Fisioterapia;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4013000;Diplomado en Podología;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4019000;Diplomado en Relaciones Laborales;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4017000;Diplomado en Terapia Ocupacional;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1002000;Ingeniero Agrónomo;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1002000;Ingeniero Agrónomo;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1019000;Ingeniero de Materiales;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1008000;Ingeniero de Telecomunicación;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1008000;Ingeniero de Telecomunicación;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5110000;Ingeniero Técnico Agrícola, Especialidad en Explotaciones Agropecuarias;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5111000;Ingeniero Técnico Agrícola, Especialidad en Hortofruticultura y Jardinería;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5112000;Ingeniero Técnico Agrícola, Especialidad en Industrias Agrarias y Alimentarias;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5103000;Ingeniero Técnico de Telecomunicación, Especialidad en Sistemas de Telecomunicación;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5102000;Ingeniero Técnico de Telecomunicación, Especialidad en Sistemas Electrónicos;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5048000;Ingeniero Técnico en Informática de Gestión;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5095000;Ingeniero Técnico Industrial, Especialidad en Mecánica;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
