Autonomous Community,AutonomousCommunityID
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Autónoma de Galicia,36c9dd2d648ee464ccc1cda98dbd3164
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Valenciana,ebecd3c89bf54582f6e072e963976347
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad de Castilla y León,a0f7a8202852ce0e0f142b573322d424
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Cantabria,61038c79670431ec95320e0d03ef593f
Comunidad Autónoma de Castilla-La Mancha,f8d50a595ff808735b2f0831b42b3f63
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Extremadura,79917ac54a232ec691a4c7e523fb577b
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad Autónoma de Canarias,59791401d0f9d997abbedee431a35bd0
Comunidad Autónoma de la Rioja,8237113b1f76019904333926a11d1a8b
Comunidad Autónoma de Canarias,59791401d0f9d997abbedee431a35bd0
Comunidad de Castilla y León,a0f7a8202852ce0e0f142b573322d424
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Región de Murcia,f7addc8a0cbd97af41ebcf85c95f8c47
Principado de Asturias,ede0a9bc22dbf48625ec4a81e15b1b13
Comunidad de Castilla y León,a0f7a8202852ce0e0f142b573322d424
Comunidad Autónoma de Galicia,36c9dd2d648ee464ccc1cda98dbd3164
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad de Castilla y León,a0f7a8202852ce0e0f142b573322d424
Comunidad Autónoma de Galicia,36c9dd2d648ee464ccc1cda98dbd3164
Comunidad Autónoma de Aragón,aaa14fba84fce91a0f86fa1dc7e7760a
Comunidad Autónoma del País Vasco,6416d8c1f2a1ea243de4fea0d8890fca
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Valenciana,ebecd3c89bf54582f6e072e963976347
Comunidad Valenciana,ebecd3c89bf54582f6e072e963976347
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Autónoma de Andalucía,af0e19cadfd0c907407a0ca54ecdf00a
Región de Murcia,f7addc8a0cbd97af41ebcf85c95f8c47
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad Foral de Navarra,41106cbc5ca73cb5f2a8e115f211f42a
Comunidad de Madrid,8787f1ddbfd7879289a047c3b7337232
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad Autónoma de Cataluña,0067ff123d296ce018cd360eaa123c81
Comunidad Autónoma de las Illes Balears,e2b0487f11c42469141f4a723e1e9a24
Comunidad Valenciana,ebecd3c89bf54582f6e072e963976347
Comunidad Valenciana,ebecd3c89bf54582f6e072e963976347
