Municipality,MunicipalityID,ProvinceID
Cerdanyola del Vallès,e04ece893bad3d202b27b4d794871500,dea56e47f1c62c30b83b70eb281a6c39
Madrid,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
Getafe,97607351b6327c59e5b58d20581e5a10,ed2539fe892d2c52c42a440354e8e3d5
Madrid,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
A Coruña,a7388c29b19e3614feba878558c8a4cc,a7388c29b19e3614feba878558c8a4cc
Alcalá de Henares,de64d9e294065fdb1fd0e31604c40251,ed2539fe892d2c52c42a440354e8e3d5
Sant Vicent del Raspeig,1f43582f8f04286902cb91c213ad1450,4280daa8edda936e79cd0c6781b35dec
Almería,b92cf93d30857a0bf7e36b5ecde73cc6,b92cf93d30857a0bf7e36b5ecde73cc6
Barcelona,dea56e47f1c62c30b83b70eb281a6c39,dea56e47f1c62c30b83b70eb281a6c39
Burgos,bef5f2941cf5fb21c09c48c553ce841b,bef5f2941cf5fb21c09c48c553ce841b
Cádiz,d1c96a38f655a21eeeb3b765905c3d62,d1c96a38f655a21eeeb3b765905c3d62
Santander,8fbbf95f1e5678899cb285b6051846a7,dcb6b8f42e2f8f6c4a7ac754d6ab5e5e
Ciudad Real,deae20b0dcaad78492b8e1664a0c87b6,deae20b0dcaad78492b8e1664a0c87b6
Córdoba,82bd82854e66f8cd81809b92fa8d627e,82bd82854e66f8cd81809b92fa8d627e
Badajoz,aaa987f19ba505d33fff6fabb9a0ca56,aaa987f19ba505d33fff6fabb9a0ca56
Granada,9d3ae5b21c7c818ad1a25289a9f05392,9d3ae5b21c7c818ad1a25289a9f05392
Huelva,52c5c619cd41b4df17507358dcd28112,52c5c619cd41b4df17507358dcd28112
Jaén,43947625c64e661b42d657f05dffe848,43947625c64e661b42d657f05dffe848
Santa Cruz de Tenerife,666db74cf1e60bf56dc48118aab2d2ef,666db74cf1e60bf56dc48118aab2d2ef
Logroño,af9851d419c15b880ee57962c83d5594,3bc8ca785707d6969c1d341c8ae118f9
Las Palmas de Gran Canaria,82c21e13fb779b79521be582fa892e3b,c89ea222a13ad9aec2cc98c232fe4661
León,576fce76a8d504e00604cfbf71456823,576fce76a8d504e00604cfbf71456823
Lleida,d13a94e9244fa8082eb6712ab963f7d5,d13a94e9244fa8082eb6712ab963f7d5
Málaga,e9a2d15392a3f86c028abcb66c58e6ed,e9a2d15392a3f86c028abcb66c58e6ed
Murcia,51788e90816f2fbc6a9642c459527d94,51788e90816f2fbc6a9642c459527d94
Oviedo,f0315c325f79fd9e007ab900b8fe163b,5ffbfd8b2e2330f8f0a2ed1ea8ce5ea2
Salamanca,848cded4ca550d5267e68a2c233140e7,848cded4ca550d5267e68a2c233140e7
Santiago de Compostela,d77f619c5dcb4f90bdccba914f865e5f,a7388c29b19e3614feba878558c8a4cc
Sevilla,ba5feb35eabd76f18fbe4b45531bc2ab,ba5feb35eabd76f18fbe4b45531bc2ab
Valladolid,fcec2d8942df87fdcd27550e6383982a,fcec2d8942df87fdcd27550e6383982a
Vigo,b737e588c11314cecf35749cb7684be2,3c0a1b2929c6c97bfba276f631d2db09
Zaragoza,7b8e7b0f084ec0ac5fda8eabc030f923,7b8e7b0f084ec0ac5fda8eabc030f923
Leioa,42dc29076d61743c60743a2c666bef77,c56b2d7b6d13f4c6e1be6bf933644c7d
Sevilla,ba5feb35eabd76f18fbe4b45531bc2ab,ba5feb35eabd76f18fbe4b45531bc2ab
Madrid,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
Castelló de la Plana,e51dada5eca4566e16b4ba7a21b32f4a,a2b703b543c46841e1c5dde0db8006f3
Elx,5a6fcaf6eb1c2c9f23d060750c46b23e,4280daa8edda936e79cd0c6781b35dec
Madrid,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
Sevilla,ba5feb35eabd76f18fbe4b45531bc2ab,ba5feb35eabd76f18fbe4b45531bc2ab
Cartagena,af406275919b43fc8a50e63073a4fb2b,51788e90816f2fbc6a9642c459527d94
Barcelona,dea56e47f1c62c30b83b70eb281a6c39,dea56e47f1c62c30b83b70eb281a6c39
Madrid,ed2539fe892d2c52c42a440354e8e3d5,ed2539fe892d2c52c42a440354e8e3d5
Barcelona,dea56e47f1c62c30b83b70eb281a6c39,dea56e47f1c62c30b83b70eb281a6c39
Pamplona,1fda8dfc8ee175b560d25549af393f40,89481b89789d514c24bf4bb95be7d5cd
Móstoles,30d55764f702e4deac3a9251fe7642ce,ed2539fe892d2c52c42a440354e8e3d5
Tarragona,92b4d96f4fd15d0ea4da987e6150dead,92b4d96f4fd15d0ea4da987e6150dead
Girona,db31870d6e036474b066f461a8097440,db31870d6e036474b066f461a8097440
Palma,217f4aacc91dba034f40937f47d52d8f,d79d42b14aa16371cb70dbd04078cd67
València,c06b6e7e884c0492386fb823f9cf157f,6d08049c823a804dfd93b5ed0bbd232c
València,c06b6e7e884c0492386fb823f9cf157f,6d08049c823a804dfd93b5ed0bbd232c
