Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2503225,Administración y Dirección de Empresas,Universidad Politécnica de Madrid,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501481,Arquitectura Naval,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502648,Biotecnología,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503943,Ciencia de Datos e Inteligencia Artificial,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503468,Ciencias Agrarias y Bioeconomía,Universidad Politécnica de Madrid,Grado,Ciencias
2024-2025,2500734,Ciencias de la Actividad Física y del Deporte,Universidad Politécnica de Madrid,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503020,Diseño de Moda,Universidad Politécnica de Madrid,Grado,Artes y Humanidades
2024-2025,2500800,Edificación,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502137,Fundamentos de la Arquitectura,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503799,Gestión y Operaciones del Transporte Aéreo,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502400,Ingeniería Aeroespacial,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503445,Ingeniería Agrícola,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502139,Ingeniería Agroambiental,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503450,Ingeniería Alimentaria,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502647,Ingeniería Biomédica,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502142,Ingeniería Civil y Territorial,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503027,Ingeniería de Computadores,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502494,Ingeniería de la Energía,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503426,Ingeniería de las Tecnologías de la Información Geoespacial,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502143,"Ingeniería de los Recursos Energéticos, Combustibles y Explosivos",Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500738,Ingeniería de Materiales,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502401,Ingeniería de Organización,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500736,Ingeniería de Sistemas de Telecomunicación,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500396,Ingeniería de Sonido e Imagen,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502144,Ingeniería de Tecnologías de Telecomunicación,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502145,Ingeniería del Medio Natural,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503028,Ingeniería del Software,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502402,Ingeniería Eléctrica,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500735,Ingeniería Electrónica de Comunicaciones,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502403,Ingeniería Electrónica Industrial y Automática,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502404,Ingeniería en Diseño Industrial y Desarrollo de Producto,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502146,Ingeniería en Tecnología Minera,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2504628,Ingeniería en Tecnologías Aeroespaciales,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503198,Ingeniería en Tecnologías Ambientales,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2501648,Ingeniería en Tecnologías Industriales,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502147,Ingeniería Forestal,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502148,Ingeniería Geológica,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2503444,Ingeniería Geomática,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500397,Ingeniería Informática,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2501482,Ingeniería Marítima,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2502150,Ingeniería Mecánica,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,1500143,Ingeniería Mineralúrgica y Metalúrgica de las Materias Primas,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2501483,Ingeniería Química,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
2024-2025,2500737,Ingeniería Telemática,Universidad Politécnica de Madrid,Grado,Ingeniería y Arquitectura
