Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
1001000;Arquitecto;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1001000;Arquitecto;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
5067000;Arquitecto Técnico;Varias Universidades;Ciclo Corto;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1003000;Ingeniero Aeronáutico;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1003000;Ingeniero Aeronáutico;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1002000;Ingeniero Agrónomo;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1002000;Ingeniero Agrónomo;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1004000;Ingeniero de Caminos, Canales y Puertos;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1004000;Ingeniero de Caminos, Canales y Puertos;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1019000;Ingeniero de Materiales;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1005000;Ingeniero de Minas;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1005000;Ingeniero de Minas;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1006000;Ingeniero de Montes;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1006000;Ingeniero de Montes;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1014000;Ingeniero de Organización Industrial;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1008000;Ingeniero de Telecomunicación;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1008000;Ingeniero de Telecomunicación;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1013000;Ingeniero en Automática y Electrónica Industrial;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1016000;Ingeniero en Geodesia y Cartografía;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1021000;Ingeniero Geólogo;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1021000;Ingeniero Geólogo;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1009000;Ingeniero Industrial;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1017000;Ingeniero Naval y Oceánico;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
