Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501651,Administración y Dirección de Empresas,Universitat Politècnica de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500739,Arquitectura Técnica,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2501484,Bellas Artes,Universitat Politècnica de València,Grado,Artes y Humanidades
2024-2025,2501649,Biotecnología,Universitat Politècnica de València,Grado,Ciencias
2024-2025,2503653,Ciencia de Datos,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2501650,Ciencia y Tecnología de los Alimentos,Universitat Politècnica de València,Grado,Ciencias
2024-2025,2500801,Ciencias Ambientales,Universitat Politècnica de València,Grado,Ciencias
2024-2025,1500345,Ciencias y Tecnologías del Mar,Universitat Politècnica de València,Grado,Ciencias
2024-2025,2504788,Comunicación Audiovisual,Universitat Politècnica de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501354,Comunicación Audiovisual,Universitat Politècnica de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501485,Conservación y Restauración de Bienes Culturales,Universitat Politècnica de València,Grado,Artes y Humanidades
2024-2025,2504265,Diseño Arquitectónico de Interiores,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2503654,Diseño y Desarrollo de Videojuegos y Experiencias Interactivas,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2503349,Diseño y Tecnologías Creativas,Universitat Politècnica de València,Grado,Artes y Humanidades
2024-2025,2503025,Fundamentos de la Arquitectura,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2504505,Gestión del Transporte y la Logística,Universitat Politècnica de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501486,Gestión y Administración Pública,Universitat Politècnica de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504381,Informática Industrial y Robótica,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2501653,Ingeniería Aeroespacial,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2501654,Ingeniería Agroalimentaria y del Medio Rural,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,1500325,Ingeniería Ambiental,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2502731,Ingeniería Biomédica,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2504565,Ingeniería Civil,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2502507,Ingeniería Civil,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
2024-2025,2502660,Ingeniería de la Energía,Universitat Politècnica de València,Grado,Ingeniería y Arquitectura
