Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501106,Administración y Dirección de Empresas,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500192,Biología,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,1500193,Bioquímica,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,1500207,Biotecnología,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,2500193,Ciencia Política y de la Administración,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501107,Comunicación Audiovisual,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503038,Criminología,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502227,Derecho,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501108,Economía,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501109,Educación Social,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500218,Empresa y Tecnología,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504480,Enfermería,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2502220,Farmacia,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2501096,Filología Clásica,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2500758,Filosofía,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2501102,Física,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,2503949,Geografía y Ordenación del Territorio,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504332,Gestión Cultural,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2504491,Gestión de Empresas Hosteleras,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,1500224,Historia del Arte,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,1500034,Historia,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2503101,Ingeniería Agrícola y Agroalimentaria,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2502232,Ingeniería Civil,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2502236,Ingeniería de Procesos Químicos Industriales,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2502235,Ingeniería Forestal y del Medio Natural,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2501112,Ingeniería Informática,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,1500194,Ingeniería Química,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2504532,Inteligencia Artificial,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2501305,Lengua y Literatura Españolas,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2501098,Lengua y Literatura Gallegas,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2501099,Lengua y Literatura Inglesas,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2501100,Lenguas y Literaturas Modernas,Universidad de Santiago de Compostela,Grado,Artes y Humanidades
2024-2025,2502228,Maestro de Educación Infantil,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502229,Maestro de Educación Primaria,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500172,Matemáticas,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,2502221,Medicina,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2502222,Nutrición Humana y Dietética,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2502223,Odontología,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2502224,Óptica y Optometría,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2503490,Paisaje,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2501110,Pedagogía,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501111,Periodismo,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500462,Psicología,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,2501104,Química,Universidad de Santiago de Compostela,Grado,Ciencias
2024-2025,2500975,Relaciones Laborales y Recursos Humanos,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503954,Robótica,Universidad de Santiago de Compostela,Grado,Ingeniería y Arquitectura
2024-2025,2502230,Trabajo Social,Universidad de Santiago de Compostela,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502225,Veterinaria,Universidad de Santiago de Compostela,Grado,Ciencias de la Salud
2024-2025,4313724,Abogacía y Procura,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310351,Acuicultura,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4317354,Arqueología y Ciencias de la Antigüedad,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,3500657,"Atención Sanitaria, Gestión y Cuidados",Universidad de Santiago de Compostela,Máster,Ciencias de la Salud
2024-2025,3500266,Biociencias Moleculares,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4316672,"Biodiversidad Terrestre: Caracterización, Conservación y Gestión",Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,3500262,Biofabricación,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4312997,Biología Marina,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4318542,Ciencia y Tecnologías de Información Cuántica,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4316445,Computación de Altas Prestaciones / High Performance Computing,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
2024-2025,4316885,"Condicionantes Genéticos, Nutricionales y Ambientales del Crecimiento y Desarrollo NUTRENVIGEN G+D Factors",Universidad de Santiago de Compostela,Máster,Ciencias de la Salud
2024-2025,4317810,Derecho Transnacional de la Empresa y de las Tecnologías Digitales,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317739,Desafíos de las Ciudades,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
2024-2025,4311753,Desarrollo Económico e Innovación,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312425,Dirección de Actividades Educativas en la Naturaleza,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311754,Dirección de Empresas,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500274,Dirección de Proyectos,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
2024-2025,4315112,Dirección y Gestión Contable y Financiera,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500268,Economía Circular,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316577,Economía,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316632,"Energías Renovables, Cambio Climático y Desarrollo Sostenible",Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,3500286,Enseñanza de Español como Lengua Extranjera o Segunda Lengua,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4313558,"Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías",Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314246,Estudios de la Literatura y de la Cultura,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4314355,Estudios Ingleses Avanzados y sus Aplicaciones,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4311758,Estudios Internacionales,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311760,"Estudios Medievales Europeos. Imágenes, Textos y Contextos",Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4315923,Filosofía. Conocimiento y Ciudadanía,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4314596,Física,Universidad de Santiago de Compostela,Máster,Ciencias
2024-2025,4316711,Genómica y Genética,Universidad de Santiago de Compostela,Máster,Ciencias de la Salud
2024-2025,4317745,Gerontología,Universidad de Santiago de Compostela,Máster,Ciencias de la Salud
2024-2025,3500684,Gestión del Arte y el Patrimonio Cultural,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4314274,"Gestión del Patrimonio Artístico y Arquitectónico, Museos y Mercado del Arte",Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4318459,Gestión Sostenible del Agua,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
2024-2025,4312031,Gestión y Dirección Laboral,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4318112,Gobierno Local y Políticas Públicas Innovadoras,Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,4318228,Historia Contemporánea,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4311727,Historia Contemporánea,Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4314595,"Historia Moderna: ""Monarquía de España"" Siglos XVI-XVIII",Universidad de Santiago de Compostela,Máster,Artes y Humanidades
2024-2025,4315428,"Igualdad, Género y Educación",Universidad de Santiago de Compostela,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500276,Ingeniería Agronómica,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
2024-2025,4318113,Ingeniería Ambiental,Universidad de Santiago de Compostela,Máster,Ingeniería y Arquitectura
