Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501492,Administración y Dirección de Empresas,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500882,Biología,Universitat de València,Grado,Ciencias
2024-2025,2500883,Bioquímica y Ciencias Biomédicas,Universitat de València,Grado,Ciencias
2024-2025,2501308,Biotecnología,Universitat de València,Grado,Ciencias
2024-2025,2503664,Ciencia de Datos,Universitat de València,Grado,Ingeniería y Arquitectura
2024-2025,2500884,Ciencia y Tecnología de los Alimentos,Universitat de València,Grado,Ciencias de la Salud
2024-2025,2500766,Ciencias Ambientales,Universitat de València,Grado,Ciencias
2024-2025,2500764,Ciencias de la Actividad Física y del Deporte,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2503186,Ciencias Gastronómicas,Universitat de València,Grado,Ciencias
2024-2025,2502260,Ciencias Políticas y de la Administración Pública,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500763,Comunicación Audiovisual,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501493,Criminología,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501684,Derecho,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501407,Economía,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500878,Educación Social,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502255,Enfermería,Universitat de València,Grado,Ciencias de la Salud
2024-2025,2501401,"Estudios Hispánicos, Lengua Española y sus Literaturas",Universitat de València,Grado,Artes y Humanidades
2024-2025,2501402,Estudios Ingleses,Universitat de València,Grado,Artes y Humanidades
2024-2025,2500767,Farmacia,Universitat de València,Grado,Ciencias de la Salud
2024-2025,2501403,Filología Catalana,Universitat de València,Grado,Artes y Humanidades
2024-2025,2501404,Filología Clásica,Universitat de València,Grado,Artes y Humanidades
2024-2025,2500760,Filosofía,Universitat de València,Grado,Artes y Humanidades
2024-2025,2501494,Finanzas y Contabilidad,Universitat de València,Grado,Ciencias Sociales y Jurídicas
2024-2025,2502252,Física,Universitat de València,Grado,Ciencias
