Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
4005000;Diplomado en Biblioteconomía y Documentación;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4011000;Diplomado en Ciencias Empresariales;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4021000;Diplomado en Educación Social;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4008000;Diplomado en Enfermería;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4009000;Diplomado en Fisioterapia;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4020000;Diplomado en Logopedia;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4029000;Diplomado en Nutrición Humana y Dietética;Varias Universidades;Ciclo Corto;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4016000;Diplomado en Óptica y Optometría;Varias Universidades;Ciclo Corto;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4013000;Diplomado en Podología;Varias Universidades;Ciclo Corto;Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4019000;Diplomado en Relaciones Laborales;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4010000;Diplomado en Trabajo Social;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4027000;Diplomado en Turismo;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1012000;Ingeniero en Electrónica;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Sólo Segundo Ciclo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1011000;Ingeniero en Informática;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1015000;Ingeniero Químico;Varias Universidades;Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
1015000;Ingeniero Químico;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
