Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,2501116,Administración y Dirección de Empresas,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500096,Bellas Artes,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2501085,Biología,Universidad de Vigo,Grado,Ciencias
2024-2025,2501114,Ciencia y Tecnología de los Alimentos,Universidad de Vigo,Grado,Ciencias
2024-2025,2502238,Ciencias Ambientales,Universidad de Vigo,Grado,Ciencias
2024-2025,2501117,Ciencias de la Actividad Física y del Deporte,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501086,Ciencias del Mar,Universidad de Vigo,Grado,Ciencias
2024-2025,2502239,Comercio,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500466,Comunicación Audiovisual,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501118,Derecho,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501122,Dirección y Gestión Pública,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2504328,Diseño,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2501119,Economía,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501120,Educación Infantil,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501121,Educación Primaria,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501203,Educación Social,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501202,Enfermería,Universidad de Vigo,Grado,Ciencias de la Salud
2024-2025,2504338,Filología Aplicada Gallega y Española,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2501115,Fisioterapia,Universidad de Vigo,Grado,Ciencias de la Salud
2024-2025,2500996,Geografía e Historia,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2503357,Ingeniería Aeroespacial,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502241,Ingeniería Agraria,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2503668,Ingeniería Biomédica,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,1500280,Ingeniería de la Automoción,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502242,Ingeniería de la Energía,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502243,Ingeniería de los Recursos Mineros y Energéticos,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502244,Ingeniería de Tecnologías de Telecomunicación,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502245,Ingeniería Eléctrica,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502246,Ingeniería en Electrónica Industrial y Automática,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502247,Ingeniería en Organización Industrial,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502248,Ingeniería en Química Industrial,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502249,Ingeniería en Tecnologías Industriales,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502250,Ingeniería Forestal,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2501126,Ingeniería Informática,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2502251,Ingeniería Mecánica,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2504532,Inteligencia Artificial,Universidad de Vigo,Grado,Ingeniería y Arquitectura
2024-2025,2500771,Lenguas Extranjeras,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2500467,Publicidad y Relaciones Públicas,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501087,Química,Universidad de Vigo,Grado,Ciencias
2024-2025,2504314,Relaciones Internacionales,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501123,Relaciones Laborales y Recursos Humanos,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2501124,Trabajo Social,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,2500888,Traducción e Interpretación,Universidad de Vigo,Grado,Artes y Humanidades
2024-2025,2501125,Turismo,Universidad de Vigo,Grado,Ciencias Sociales y Jurídicas
2024-2025,4313699,Abogacía y Procura,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310351,Acuicultura,Universidad de Vigo,Máster,Ciencias
2024-2025,4314012,Administración Integrada de Empresas y Responsabilidad Social Corporativa,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317354,Arqueología y Ciencias de la Antigüedad,Universidad de Vigo,Máster,Artes y Humanidades
2024-2025,4316672,"Biodiversidad Terrestre: Caracterización, Conservación y Gestión",Universidad de Vigo,Máster,Ciencias
2024-2025,3500262,Biofabricación,Universidad de Vigo,Máster,Ciencias
2024-2025,4312997,Biología Marina,Universidad de Vigo,Máster,Ciencias
2024-2025,4312439,Biotecnología Avanzada,Universidad de Vigo,Máster,Ciencias
2024-2025,4316520,Ciberseguridad,Universidad de Vigo,Máster,Ingeniería y Arquitectura
2024-2025,3500201,"Ciencia del Ejercicio, Preparación Física y Readaptación Deportiva",Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4315071,Ciencia y Tecnología Agroalimentaria y Ambiental,Universidad de Vigo,Máster,Ciencias
2024-2025,4312601,Ciencia y Tecnología de Conservación de Productos de la Pesca,Universidad de Vigo,Máster,Ciencias
2024-2025,4318542,Ciencia y Tecnologías de Información Cuántica,Universidad de Vigo,Máster,Ciencias
2024-2025,4310382,Comercio Internacional,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4316521,Comunicación en Medios Sociales y Creación de Contenidos Digitales,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,3500686,Creación Artística Contemporánea,Universidad de Vigo,Máster,Artes y Humanidades
2024-2025,4317739,Desafíos de las Ciudades,Universidad de Vigo,Máster,Ingeniería y Arquitectura
2024-2025,4311035,Dificultades de Aprendizaje y Procesos Cognitivos,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312604,Dirección de Arte en Publicidad,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313079,Dirección de Pymes,Universidad de Vigo,Máster,Ciencias Sociales y Jurídicas
2024-2025,4317228,Dirección e Innovación de la Cadena de Suministro,Universidad de Vigo,Máster,Ingeniería y Arquitectura
2024-2025,4310625,Dirección Integrada de Proyectos,Universidad de Vigo,Máster,Ingeniería y Arquitectura
